"points","all_attributes","BranchNumber","ConsumerID","Date","ConsumptionTime"
"6171","0.2677908241406075","0.18555611456386395","0.18555611456386395","0.0","0.1820974865688775"
"12342","0.9466880894813423","0.049913760159087925","0.04991376015908793","0.9466880894813424","0.02430431837212904"
"18513","0.9191189318546484","0.0633766106124816","0.0633766106124816","0.9184727622731359","0.042869303084117925"
"24684","0.9215815233781001","0.19328874940859006","0.19328874940859003","0.881897626869746","0.2063621286563271"
"30855","0.9395393199191551","0.16987679353084362","0.16987679353084362","0.8431376486157407","0.21388227741622426"
"37026","0.9676554561507973","0.0515086289763393","0.05150862897633931","0.8376548256348254","0.04515246691348389"
"43197","0.2538168168772005","0.05038854512297351","0.05038854512297351","0.16439936510576023","0.035795045100008124"
"49368","0.8048219377522478","0.04766829623229538","0.04766829623229538","0.7867677205414658","0.03870889288342446"
"55539","0.9620237565509586","0.08956865240941392","0.08956865240941392","0.7527005192829745","0.04846622138039324"
"61710","0.940527118273968","0.0836102580677733","0.08361025806777331","0.7346261818316049","0.052914646578232166"
"67881","0.9206240453781602","0.04729004542019464","0.047290045420194646","0.7085153895011487","0.03245394064535052"
"74052","0.9238497093420779","0.09723358212147194","0.09723358212147194","0.6332301542777168","0.20883936250746588"
"80223","0.5036038743298175","0.0779599767338942","0.07795997673389421","0.34997542416094235","0.2293919812946862"
"86394","0.6768886529998256","0.06531018800479152","0.06531018800479152","0.6201254486177492","0.0897602074950825"
"92565","0.9912594977678612","0.10203622105537515","0.10203622105537515","0.589840686833956","0.2137074584488439"
"98736","0.9813452037839642","0.07262143224616652","0.07262143224616653","0.5514596021122068","0.28034118107127304"
"104907","0.9582146456713342","0.06809845204060277","0.06809845204060276","0.5432700957492979","0.1292868925811552"
"111078","0.9347723003738093","0.046848526066574483","0.046848526066574483","0.5200697980929412","0.04002867255693024"
"117249","0.5174770501142398","0.047856845801865625","0.047856845801865625","0.4796781242357036","0.03262914997870863"
"123420","0.504908778821952","0.05357670050669039","0.05357670050669039","0.4630459692510994","0.03313011823618324"
"129591","0.9452989489304887","0.06585231463087184","0.06585231463087184","0.5359727650307488","0.05537050037509626"
"135762","0.9720811395125176","0.055264675939545246","0.05526467593954525","0.5581494853374744","0.051416999647820774"
"141933","0.998123727808526","0.050512441162503155","0.05051244116250315","0.5900246244267141","0.05263627405645759"
"148104","0.9755382367168348","0.03597422142932663","0.03597422142932664","0.6147410800963108","0.02771501745493952"
"154275","0.6644874643245926","0.056446099768237015","0.056446099768237015","0.6370771747549886","0.05772993529549868"
"160446","0.3832370829854004","0.06488128256058551","0.06488128256058552","0.3075648502141381","0.05127200815523282"
"166617","0.9274008245462154","0.07164971547709267","0.07164971547709269","0.6944624491473064","0.03860497269934409"
"172788","0.9372249434075005","0.056215035114901564","0.05621503511490157","0.716862122106227","0.048896293970900215"
"178959","0.9501308662708761","0.16644329533416335","0.16644329533416335","0.7129743697338385","0.21057063460184255"
"185130","0.9830761784474692","0.01778268128961013","0.01778268128961013","0.7785362033767447","0.013693921652133524"
"191301","0.989880146356941","0.17627859600694934","0.17627859600694934","0.7900241309437502","0.1529320208130459"
"197472","0.8330095692530938","0.049771549816955765","0.04977154981695576","0.831800310999472","0.04556718562251676"
"203643","0.3978931389184935","0.19823156156290903","0.19823156156290903","0.10982274813221696","0.22232022977761645"
