"points","all_attributes","BranchNumber_ConsumerID","BranchNumber_Date","BranchNumber_ConsumptionTime","ConsumerID_Date","ConsumerID_ConsumptionTime","Date_ConsumptionTime"
"43197","0.1333106685390274","0.023321121579730323","0.09074746615757269","0.0660708942470979","0.0907474661575727","0.06607089424709789","0.10253896378279641"
"86394","0.1804964137743826","0.016398930896133618","0.147776678529891","0.047298763576477144","0.14777667852989107","0.04729876357647714","0.1472311539477065"
"129591","0.1916257933611557","0.033429515117279054","0.09788026023772677","0.06344019112680219","0.09788026023772678","0.06344019112680216","0.15811337514969556"
"172788","0.28672889160277365","0.054483687802494685","0.21708165517208844","0.10576577807741964","0.21708165517208855","0.10576577807741964","0.2630823833997952"
"215985","0.2250881889149202","0.04423625685772783","0.1944985698354963","0.07255136990198931","0.19449856983549627","0.0725513699019893","0.19651331884726173"
"259182","0.20591855353926708","0.024691607282418527","0.17868055372985603","0.04570597075386786","0.178680553729856","0.045705970753867856","0.16979791892548463"
"302379","0.19923430556291674","0.021814803105583355","0.14217472321664495","0.056321627989568204","0.14217472321664495","0.056321627989568225","0.1651025465992262"
"345576","0.20695348957689264","0.02404098111084352","0.1190424525943777","0.0636043431698935","0.11904245259437773","0.0636043431698935","0.18067809068838012"
"388773","0.1718756501118771","0.03570078088782839","0.12620688812950198","0.06945280598050074","0.126206888129502","0.06945280598050071","0.14493829898454524"
"431970","0.23653415791518184","0.04496484053108463","0.21391012788254357","0.08976619413755593","0.21391012788254357","0.08976619413755593","0.20993404022522255"
"475167","0.2211694502344382","0.02959187711596777","0.18187709258699736","0.07268418809324186","0.18187709258699727","0.07268418809324187","0.17177815991006262"
"518364","0.1948660683263627","0.024828035601021266","0.14863560977013254","0.06171335664576399","0.1486356097701326","0.06171335664576399","0.16705833453368632"
"561561","0.19279264673467442","0.022394377195314976","0.11133802660093077","0.05643773532700799","0.11133802660093077","0.05643773532700799","0.16285939680713257"
"604758","0.26074138962642235","0.024914823152369397","0.18960109289461885","0.057942988074033634","0.18960109289461885","0.05794298807403364","0.24096907036482756"
"647955","0.2204790826246391","0.04188904424654029","0.16361424568792293","0.07360817438696551","0.16361424568792296","0.0736081743869655","0.1907312844591924"
"691152","0.30670213500926774","0.024798731735394278","0.2965046866667779","0.058793410015849874","0.29650468666677804","0.0587934100158499","0.2951223669523737"
"734349","0.22383459445455373","0.04309465698844918","0.19273723724583386","0.059593392723454416","0.19273723724583386","0.0595933927234544","0.1818319585722877"
"777546","0.20878747270947282","0.04602209292316959","0.14920860801836267","0.08707525141116036","0.14920860801836267","0.08707525141116038","0.17312418825705547"
"820743","0.13209573159514107","0.02240905829586462","0.08978475030902307","0.05352324735790478","0.08978475030902305","0.05352324735790477","0.09147645296930014"
"863940","0.14390795834673092","0.024733610774833093","0.09839725877799457","0.05603116147807513","0.09839725877799455","0.05603116147807514","0.11808844564193213"
"907137","0.31765607726412015","0.04278264591854118","0.29905721265983304","0.06491852132028728","0.29905721265983315","0.0649185213202873","0.30125854088138293"
"950334","0.18383560737576918","0.029007277418844554","0.15628020101511667","0.0679967238112862","0.15628020101511675","0.06799672381128623","0.14917661410816876"
"993531","0.23347280664817166","0.02941173297281228","0.19170890614617506","0.06607178211963691","0.191708906146175","0.06607178211963688","0.21107742368315033"
"1036728","0.17779246619877923","0.025572597350776036","0.09536319704104897","0.06532225143170804","0.09536319704104898","0.06532225143170804","0.14555245447769224"
"1079925","0.3438058563359281","0.036762781019791774","0.2901799865135826","0.06393575316939268","0.2901799865135826","0.06393575316939269","0.31581880781241756"
