"points","all_attributes","BranchNumber_ConsumerID_Date","BranchNumber_ConsumerID_ConsumptionTime","BranchNumber_Date_ConsumptionTime","ConsumerID_Date_ConsumptionTime"
"100000","0.17901000000000106","0.1517599999999999","0.05280000000000007","0.17901000000000125","0.1790100000000011"
"200000","0.2597900000000008","0.24346000000000012","0.03441000000000001","0.25979000000000096","0.2597900000000011"
"300000","0.17660000000000087","0.13674999999999998","0.032770000000000035","0.17660000000000087","0.17660000000000103"
"400000","0.23166000000000053","0.22302000000000005","0.03233000000000003","0.2316600000000007","0.2316600000000006"
"500000","0.1954400000000013","0.17524000000000017","0.03545000000000002","0.19544000000000153","0.1954400000000013"
"600000","0.1860200000000011","0.16109000000000015","0.03500000000000001","0.1860200000000009","0.18602000000000113"
"700000","0.27616000000000007","0.2661500000000002","0.03521","0.27616000000000074","0.27616"
"800000","0.18830000000000072","0.14611000000000007","0.03566000000000003","0.1883000000000011","0.18830000000000072"
"900000","0.24217000000000108","0.22001000000000004","0.04931000000000003","0.24217000000000136","0.24217000000000116"
"1000000","0.167120000000001","0.14237000000000014","0.06526000000000005","0.16712000000000113","0.1671200000000009"
