"points","all_attributes","BranchNumber","ConsumerID","Date","ConsumptionTime"
"50000","0.28532000000000185","0.021759999999999984","0.02176","0.26291999999999993","0.016000000000000007"
"100000","0.29064000000000106","0.06945999999999998","0.06945999999999998","0.24326","0.0822"
"150000","0.2873400000000011","0.06842","0.06841999999999998","0.21052000000000004","0.07248"
"200000","0.39318000000000225","0.02337999999999998","0.023379999999999998","0.36346000000000006","0.014440000000000005"
"250000","0.2865400000000012","0.03456000000000002","0.03456000000000001","0.20045999999999997","0.03183999999999999"
"300000","0.26734000000000147","0.019280000000000002","0.019280000000000002","0.19601999999999994","0.013919999999999991"
"350000","0.2730600000000014","0.02122","0.02122","0.25105999999999995","0.02314000000000002"
"400000","0.26884000000000147","0.04910000000000001","0.049100000000000005","0.22544000000000003","0.04786000000000001"
"450000","0.308540000000002","0.07097999999999999","0.07097999999999999","0.28812","0.07545999999999999"
"500000","0.2724800000000014","0.03328","0.03328","0.2339","0.03664000000000003"
"550000","0.22982000000000138","0.03689999999999999","0.03690000000000001","0.18186","0.04420000000000002"
"600000","0.3101800000000029","0.024699999999999993","0.024699999999999993","0.25394","0.026899999999999983"
"650000","0.2916800000000019","0.07306000000000003","0.07306000000000001","0.20814","0.07700000000000001"
"700000","0.37800000000000056","0.0692","0.06919999999999998","0.3365000000000001","0.06441999999999999"
"750000","0.257620000000001","0.04053999999999998","0.04053999999999998","0.20648000000000002","0.03214"
"800000","0.2809800000000014","0.020639999999999988","0.020639999999999988","0.21306000000000005","0.013139999999999995"
"850000","0.26736000000000076","0.03611999999999999","0.03612","0.22282000000000005","0.037559999999999996"
"900000","0.3007600000000012","0.06710000000000002","0.0671","0.2784","0.06962"
"950000","0.26264000000000176","0.03677999999999999","0.03678","0.23409999999999997","0.040119999999999996"
"1000000","0.3344800000000014","0.08418","0.08418000000000002","0.28678000000000003","0.07219999999999999"
"1050000","0.3175400000000017","0.08786000000000001","0.08786000000000002","0.27042","0.06582000000000002"
"1100000","0.2928400000000021","0.024779999999999976","0.024779999999999972","0.25756","0.024339999999999997"
