"Distance","mean","sd","max_val","max_att","min_val","min_att","Attributes"
"0.0","0.0","0.0","0.0","_-0.236907=*_class=1","0.0","_-0.236907=*_class=1","_-0.236907","1"
"0.0","0.0","0.0","0.0","_-5.056975=*_class=1","0.0","_-5.056975=*_class=1","_-5.056975","1"
"0.0","0.0","0.0","0.0","_-0.571480=*_class=1","0.0","_-0.571480=*_class=1","_-0.571480","1"
"0.0","0.0","0.0","0.0","_7.512213=*_class=1","0.0","_7.512213=*_class=1","_7.512213","1"
"0.0","0.0","0.0","0.0","_-3.791499=*_class=1","0.0","_-3.791499=*_class=1","_-3.791499","1"
"0.0","0.0","0.0","0.0","_6.915721=*_class=1","0.0","_6.915721=*_class=1","_6.915721","1"
"0.0","0.0","0.0","0.0","_3.555169=*_class=1","0.0","_3.555169=*_class=1","_3.555169","1"
"0.0","0.0","0.0","0.0","_-0.545079=*_class=1","0.0","_-0.545079=*_class=1","_-0.545079","1"
"0.0","0.0","0.0","0.0","_-1.200617=*_class=1","0.0","_-1.200617=*_class=1","_-1.200617","1"
"0.0","0.0","0.0","0.0","_0.342575=*_class=1","0.0","_0.342575=*_class=1","_0.342575","1"
"0.0","0.0","0.0","0.0","_1.896047=*_class=1","0.0","_1.896047=*_class=1","_1.896047","1"
"0.0","0.0","0.0","0.0","_6.261430=*_class=1","0.0","_6.261430=*_class=1","_6.261430","1"
"0.0","0.0","0.0","0.0","_1.340477=*_class=1","0.0","_1.340477=*_class=1","_1.340477","1"
"0.0","0.0","0.0","0.0","_2.118983=*_class=1","0.0","_2.118983=*_class=1","_2.118983","1"
"0.0","0.0","0.0","0.0","_-2.344130=*_class=1","0.0","_-2.344130=*_class=1","_-2.344130","1"
"0.0","0.0","0.0","0.0","_13540.673800=*_class=1","0.0","_13540.673800=*_class=1","_13540.673800","1"
"0.0","0.0","0.0","0.0","_2.160130=*_class=1","0.0","_2.160130=*_class=1","_2.160130","1"
"0.0","0.0","0.0","0.0","_-1.438976=*_class=1","0.0","_-1.438976=*_class=1","_-1.438976","1"
"0.0","0.0","0.0","0.0","_685.399400=*_class=1","0.0","_685.399400=*_class=1","_685.399400","1"
"0.0","0.0","0.0","0.0","_-4.847512=*_class=1","0.0","_-4.847512=*_class=1","_-4.847512","1"
"0.0","0.0","0.0","0.0","_3037.039000=*_class=1","0.0","_3037.039000=*_class=1","_3037.039000","1"
"0.0","0.0","0.0","0.0","_3.605537=*_class=1","0.0","_3.605537=*_class=1","_3.605537","1"
"0.0","0.0","0.0","0.0","_-3.082212=*_class=1","0.0","_-3.082212=*_class=1","_-3.082212","1"
"0.0","0.0","0.0","0.0","_1.868245=*_class=1","0.0","_1.868245=*_class=1","_1.868245","1"
"0.0","0.0","0.0","0.0","_0.218904=*_class=1","0.0","_0.218904=*_class=1","_0.218904","1"
"0.0","0.0","0.0","0.0","_0.806830=*_class=1","0.0","_0.806830=*_class=1","_0.806830","1"
"0.0","0.0","0.0","0.0","_2.949381=*_class=1","0.0","_2.949381=*_class=1","_2.949381","1"
"0.0","0.0","0.0","0.0","_-0.204467=*_class=1","0.0","_-0.204467=*_class=1","_-0.204467","1"
"0.0","0.0","0.0","0.0","_2.006883=*_class=1","0.0","_2.006883=*_class=1","_2.006883","1"
"0.0","0.0","0.0","0.0","_-2.658358=*_class=1","0.0","_-2.658358=*_class=1","_-2.658358","1"
"0.0","0.0","0.0","0.0","_0.580818=*_class=1","0.0","_0.580818=*_class=1","_0.580818","1"
"0.0","0.0","0.0","0.0","_0.152483=*_class=1","0.0","_0.152483=*_class=1","_0.152483","1"
"0.0","0.0","0.0","0.0","_5.695234=*_class=1","0.0","_5.695234=*_class=1","_5.695234","1"
"0.0","0.0","0.0","0.0","_1.445783=*_class=1","0.0","_1.445783=*_class=1","_1.445783","1"
"0.0","0.0","0.0","0.0","_2.057165=*_class=1","0.0","_2.057165=*_class=1","_2.057165","1"
"0.0","0.0","0.0","0.0","_0.649457=*_class=1","0.0","_0.649457=*_class=1","_0.649457","1"
"0.0","0.0","0.0","0.0","_0.532422=*_class=1","0.0","_0.532422=*_class=1","_0.532422","1"
"0.0","0.0","0.0","0.0","_0.527291=*_class=1","0.0","_0.527291=*_class=1","_0.527291","1"
"0.0","0.0","0.0","0.0","_0.728443=*_class=1","0.0","_0.728443=*_class=1","_0.728443","1"
"0.0","0.0","0.0","0.0","_-0.164646=*_class=1","0.0","_-0.164646=*_class=1","_-0.164646","1"
"0.0","0.0","0.0","0.0","_0.535883=*_class=1","0.0","_0.535883=*_class=1","_0.535883","1"
"0.0","0.0","0.0","0.0","_-0.584313=*_class=1","0.0","_-0.584313=*_class=1","_-0.584313","1"
"0.0","0.0","0.0","0.0","_0.165138=*_class=1","0.0","_0.165138=*_class=1","_0.165138","1"
"0.0","0.0","0.0","0.0","_-2.694967=*_class=1","0.0","_-2.694967=*_class=1","_-2.694967","1"
"0.0","0.0","0.0","0.0","_3.972203=*_class=1","0.0","_3.972203=*_class=1","_3.972203","1"
"0.0","0.0","0.0","0.0","_1.786704=*_class=1","0.0","_1.786704=*_class=1","_1.786704","1"
