"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.474853125","1.519530000000001E-4","3.1279011644863103E-4","0.005041","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"200","0.4865828124999999","1.5570649999999977E-4","2.814350337055575E-4","0.004677","x1=v1_x2=v2_x3=v1_x4=v1_x5=v1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5","x1_x2_x3_x4_x5","NA"
"300","0.4776635416666667","1.528523333333334E-4","2.701323558760024E-4","0.005041","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"400","0.5075351562500001","1.6241125E-4","3.159847907264364E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"500","0.5005240624999999","1.6016769999999968E-4","2.970753319905331E-4","0.004677","x1=v1_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"600","0.4977856770833335","1.5929141666666636E-4","3.091636876029943E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"700","0.513459375","1.6430699999999993E-4","3.25531286926413E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"800","0.4950660156249998","1.584211249999993E-4","2.903777053127561E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"900","0.4816871527777777","1.541398888888885E-4","2.9469277329874046E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"1000","0.4960553124999998","1.5873769999999904E-4","3.0071921006653385E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1100","0.4959063920454544","1.5869004545454485E-4","2.9684454450766486E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"1200","0.49080182291666674","1.5705658333333274E-4","2.9563239738374206E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1300","0.4905194711538461","1.5696623076922998E-4","2.8785999569133647E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"1400","0.4859416294642857","1.555013214285708E-4","2.8490772217079413E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1500","0.4881501041666664","1.562080333333326E-4","2.8950599369758007E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"1600","0.49238769531250004","1.5756406249999963E-4","3.021648267004289E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1700","0.4920151654411766","1.574448529411771E-4","2.9255497110002764E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"1800","0.4964796875000002","1.5887349999999916E-4","3.044214259472902E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"1900","0.4915541940789471","1.5729734210526342E-4","2.9393326155134766E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"2000","0.4916402343749997","1.5732487500000003E-4","3.028153064150248E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"2100","0.49654665178571433","1.5889492857142887E-4","2.963467207824521E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"2200","0.49363828124999964","1.5796425000000013E-4","2.9769601361953455E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
"2300","0.49435903532608705","1.5819489130434848E-4","3.0149072325521544E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v2_x2=v1_x3=v2_x4=v3_x5=v2","x1_x2_x3_x4_x5","NA"
"2400","0.4936759765624997","1.5797631250000013E-4","3.022711729657145E-4","0.005489","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2","x1_x2_x3_x4_x5","NA"
