"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.49228079999999996","1.0609499999999999E-4","1.2956344132618138E-4","7.0775E-4","x1=v1_x2=v2_x3=v4_x4=v3_x5=v1_class=class2","0.0","x1=v4_x2=v1_x3=v1_x4=v2_x5=v4_class=class5","x1_x2_x3_x4_x5_class","*"
"200","0.4323842000000001","9.318625000000002E-5","1.6583555947797914E-4","0.001739","x1=v2_x2=v2_x3=v1_x4=v5_x5=v1_class=class1","0.0","x1=v5_x2=v5_x3=v1_x4=v1_x5=v2_class=class3","x1_x2_x3_x4_x5_class","*"
"300","0.5274326666666669","1.1367083333333338E-4","1.9787672725276809E-4","0.00229225","x1=v2_x2=v2_x3=v1_x4=v4_x5=v1_class=class1","0.0","x1=v3_x2=v5_x3=v2_x4=v2_x5=v2_class=class2","x1_x2_x3_x4_x5_class","*"
"400","0.5064443999999999","1.0914749999999998E-4","1.6482190051985627E-4","0.001039","x1=v2_x2=v4_x3=v1_x4=v4_x5=v1_class=class4","0.0","x1=v4_x2=v5_x3=v2_x4=v5_x5=v1_class=class2","x1_x2_x3_x4_x5_class","*"
"500","0.5719588799999998","1.2326699999999998E-4","2.2848951755006293E-4","0.002476","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","0.0","x1=v5_x2=v4_x3=v2_x4=v2_x5=v5_class=class4","x1_x2_x3_x4_x5_class","*"
"600","0.48688964637681176","1.049331134432784E-4","1.8811032786266878E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v2_x3=v1_x4=v1_x5=v2_class=class1","x1_x2_x3_x4_x5_class","*"
"700","0.5101945142857142","1.0995571428571426E-4","2.3590095724013865E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v3_x2=v3_x3=v4_x4=v1_x5=v5_class=class3","x1_x2_x3_x4_x5_class","*"
"800","0.45379413478260877","9.780046008245879E-5","1.6454156697565114E-4","0.0027170000000000002","x1=v1_x2=v2_x3=v1_x4=v1_x5=v1_class=class3","0.0","x1=v4_x2=v4_x3=v2_x4=v1_x5=v5_class=class1","x1_x2_x3_x4_x5_class","*"
"900","0.48932924444444476","1.0545888888888895E-4","1.8520894831821822E-4","0.002476","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","0.0","x1=v5_x2=v2_x3=v3_x4=v2_x5=v2_class=class5","x1_x2_x3_x4_x5_class","*"
"1000","0.4583206400000008","9.877600000000017E-5","1.6732521193935657E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v4_x2=v1_x3=v3_x4=v4_x5=v4_class=class5","x1_x2_x3_x4_x5_class","*"
"1100","0.49826323636363656","1.0738431818181823E-4","2.1441098367368353E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v5_x2=v2_x3=v2_x4=v4_x5=v2_class=class2","x1_x2_x3_x4_x5_class","*"
"1200","0.46721075652173893","1.006919733883058E-4","1.8698938238613917E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v1_x3=v5_x4=v2_x5=v4_class=class5","x1_x2_x3_x4_x5_class","*"
