"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"2400","0.7273161333333314","1.5674916666666625E-4","2.579918060474672E-4","0.0050555","x1=v1_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2500","0.7304306560000005","1.5742040000000008E-4","2.5733094207525744E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"2600","0.7513703692307692","1.6193326923076923E-4","3.223001760636419E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","5.0E-7","x1=v1_x2=v4_x3=v3_x4=v4_x5=v2_class=class2","x1_x2_x3_x4_x5_class","NA"
"2700","0.753574666666667","1.6240833333333338E-4","2.882140099134221E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","5.0E-7","x1=v2_x2=v4_x3=v4_x4=v5_x5=v3_class=class4","x1_x2_x3_x4_x5_class","NA"
"2800","0.7596906285714277","1.6372642857142837E-4","2.893807524353667E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"2900","0.7589128000000014","1.6355879310344857E-4","2.731808388017654E-4","0.0045895","x1=v1_x2=v2_x3=v1_x4=v3_x5=v1_class=class2","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"3000","0.7479741866666667","1.6120133333333335E-4","2.772499503634723E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","5.0E-7","x1=v1_x2=v5_x3=v2_x4=v3_x5=v3_class=class2","x1_x2_x3_x4_x5_class","NA"
"3100","0.7412946322580648","1.5976177419354845E-4","2.7291869605510524E-4","0.0050555","x1=v1_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"3200","0.7579498000000006","1.6335125000000014E-4","2.879411071383454E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.999999999999986E-7","x1=v5_x2=v5_x3=v3_x4=v1_x5=v5_class=class4","x1_x2_x3_x4_x5_class","NA"
"3300","0.7305047272727277","1.5743636363636373E-4","2.6770927576593264E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
"3400","0.7514384470588238","1.6194794117647065E-4","2.7643790319618465E-4","0.0054035","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","5.0E-7","x1=v2_x2=v5_x3=v5_x4=v2_x5=v2_class=class4","x1_x2_x3_x4_x5_class","NA"
"3500","0.7573301942857146","1.6321771428571435E-4","3.0003768535414097E-4","0.005868","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","4.99999999999985E-7","x1=v4_x2=v1_x3=v1_x4=v1_x5=v2_class=class5","x1_x2_x3_x4_x5_class","NA"
