"SampleSize","Distance","mean","sd","max_val","max_att","min_val","min_att","attributes","class_values"
"100","0.537658227826087","1.1587461806596712E-4","2.0423522677362433E-4","0.002883","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","0.0","x1=v4_x2=v5_x3=v5_x4=v5_x5=v2_class=class1","x1_x2_x3_x4_x5_class","*"
"200","0.5267017539130435","1.1351330903298358E-4","2.100355476942063E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v3_x2=v4_x3=v1_x4=v1_x5=v5_class=class1","x1_x2_x3_x4_x5_class","*"
"300","0.4775047199999999","1.0291049999999986E-4","1.8369285316214833E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v1_x3=v3_x4=v1_x5=v1_class=class5","x1_x2_x3_x4_x5_class","*"
"400","0.5023952669565219","1.0827484201649174E-4","2.0521535879445548E-4","0.002883","x1=v2_x2=v2_x3=v1_x4=v3_x5=v1_class=class1","0.0","x1=v4_x2=v5_x3=v4_x4=v1_x5=v2_class=class4","x1_x2_x3_x4_x5_class","*"
"500","0.5196896215652174","1.1200207361319334E-4","2.2081301333727054E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v5_x2=v1_x3=v5_x4=v2_x5=v4_class=class5","x1_x2_x3_x4_x5_class","*"
"600","0.4935892692753624","1.0637699768865558E-4","1.9232105281275408E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v5_x2=v4_x3=v1_x4=v2_x5=v4_class=class5","x1_x2_x3_x4_x5_class","*"
"700","0.4823503622360249","1.039548194474193E-4","1.9087060587606665E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v3_x3=v2_x4=v5_x5=v4_class=class5","x1_x2_x3_x4_x5_class","*"
"800","0.5143872704347829","1.1085932552473757E-4","2.088767103952443E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v3_x2=v4_x3=v1_x4=v1_x5=v5_class=class1","x1_x2_x3_x4_x5_class","*"
"900","0.5124845057004832","1.1044924691820797E-4","2.0705142887990878E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v4_x2=v3_x3=v4_x4=v5_x5=v3_class=class1","x1_x2_x3_x4_x5_class","*"
"1000","0.5145390314782607","1.1089203264617708E-4","2.1016240238607106E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v5_x2=v5_x3=v4_x4=v3_x5=v2_class=class2","x1_x2_x3_x4_x5_class","*"
"1100","0.514195036679842","1.1081789583617325E-4","2.1007946454558817E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v3_x2=v4_x3=v4_x4=v2_x5=v2_class=class4","x1_x2_x3_x4_x5_class","*"
"1200","0.5159690982608692","1.1120023669415313E-4","2.1216666139921078E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class2","0.0","x1=v3_x2=v5_x3=v4_x4=v4_x5=v5_class=class4","x1_x2_x3_x4_x5_class","*"
"1300","0.5125129747157193","1.1045538248183621E-4","2.0969227671090285E-4","0.0031235","x1=v2_x2=v2_x3=v1_x4=v1_x5=v1_class=class1","0.0","x1=v5_x2=v2_x3=v5_x4=v1_x5=v1_class=class4","x1_x2_x3_x4_x5_class","*"
