"points","all_attributes","band7_band5_band6","band7_band5_brightness","band7_band5_band3","band7_band5_NDWI","band7_band5_band4","band7_band5_NDVI","band7_band5_band1","band7_band5_band2","band7_band6_brightness","band7_band6_band3","band7_band6_NDWI","band7_band6_band4","band7_band6_NDVI","band7_band6_band1","band7_band6_band2","band7_brightness_band3","band7_brightness_NDWI","band7_brightness_band4","band7_brightness_NDVI","band7_brightness_band1","band7_brightness_band2","band7_band3_NDWI","band7_band3_band4","band7_band3_NDVI","band7_band3_band1","band7_band3_band2","band7_NDWI_band4","band7_NDWI_NDVI","band7_NDWI_band1","band7_NDWI_band2","band7_band4_NDVI","band7_band4_band1","band7_band4_band2","band7_NDVI_band1","band7_NDVI_band2","band7_band1_band2","band5_band6_brightness","band5_band6_band3","band5_band6_NDWI","band5_band6_band4","band5_band6_NDVI","band5_band6_band1","band5_band6_band2","band5_brightness_band3","band5_brightness_NDWI","band5_brightness_band4","band5_brightness_NDVI","band5_brightness_band1","band5_brightness_band2","band5_band3_NDWI","band5_band3_band4","band5_band3_NDVI","band5_band3_band1","band5_band3_band2","band5_NDWI_band4","band5_NDWI_NDVI","band5_NDWI_band1","band5_NDWI_band2","band5_band4_NDVI","band5_band4_band1","band5_band4_band2","band5_NDVI_band1","band5_NDVI_band2","band5_band1_band2","band6_brightness_band3","band6_brightness_NDWI","band6_brightness_band4","band6_brightness_NDVI","band6_brightness_band1","band6_brightness_band2","band6_band3_NDWI","band6_band3_band4","band6_band3_NDVI","band6_band3_band1","band6_band3_band2","band6_NDWI_band4","band6_NDWI_NDVI","band6_NDWI_band1","band6_NDWI_band2","band6_band4_NDVI","band6_band4_band1","band6_band4_band2","band6_NDVI_band1","band6_NDVI_band2","band6_band1_band2","brightness_band3_NDWI","brightness_band3_band4","brightness_band3_NDVI","brightness_band3_band1","brightness_band3_band2","brightness_NDWI_band4","brightness_NDWI_NDVI","brightness_NDWI_band1","brightness_NDWI_band2","brightness_band4_NDVI","brightness_band4_band1","brightness_band4_band2","brightness_NDVI_band1","brightness_NDVI_band2","brightness_band1_band2","band3_NDWI_band4","band3_NDWI_NDVI","band3_NDWI_band1","band3_NDWI_band2","band3_band4_NDVI","band3_band4_band1","band3_band4_band2","band3_NDVI_band1","band3_NDVI_band2","band3_band1_band2","NDWI_band4_NDVI","NDWI_band4_band1","NDWI_band4_band2","NDWI_NDVI_band1","NDWI_NDVI_band2","NDWI_band1_band2","band4_NDVI_band1","band4_NDVI_band2","band4_band1_band2","NDVI_band1_band2"
"1991977","0.1051481903247699","0.05038592167872217","0.05281610173377645","0.05092236985778114","0.0543736862136796","0.06037040671048535","0.06330039536858754","0.05538824129468508","0.0547489502363496","0.048314772696619226","0.044137840813491314","0.050268231897792004","0.05000951490314377","0.055802785031471985","0.04298819456142762","0.042545392224137106","0.048047006909817794","0.05788708825800977","0.05824124845226324","0.06572501659699537","0.05003885867648389","0.04999754373418152","0.050838018765670505","0.04642044367538862","0.05679814493084728","0.04194065978715672","0.04073980298452852","0.0621181474256429","0.06043238139013072","0.049262875038897445","0.050410873672599395","0.06180431085117635","0.04626905444260089","0.0469339440932316","0.054933586059944625","0.05573420002645164","0.037174170356156354","0.051702455324238596","0.0519821367698452","0.050184676824470906","0.059954117997389304","0.06103264671812162","0.054392359417575434","0.055172869911082334","0.05308458836689159","0.05260093968122703","0.06541519573810745","0.06424864306413178","0.05148703186340819","0.05420396696880487","0.05264355093206544","0.05593463758932398","0.058881334441970176","0.05191541348879923","0.051462281750077846","0.05994250965718605","0.059046258543051205","0.05195641007907612","0.05553221562563884","0.06068524559379364","0.06352418025867197","0.06226475287723907","0.0624188143613318","0.06219323536016475","0.05123662063513575","0.0464911847805374","0.0522614178462041","0.05517618246821045","0.06181463561107781","0.045153859379181","0.04605806695338395","0.05117596456095573","0.04798506498590414","0.05673289190594805","0.041967460205382064","0.04143488132237055","0.05931115767990936","0.06044337217634558","0.05094837246054716","0.05233814650927562","0.059441508873927996","0.04749442463477313","0.04862746689138545","0.05650756524898607","0.056916938699081945","0.03889742103490786","0.055232805666922","0.05674685665225288","0.06549432746229408","0.04613273421035187","0.04740050953264674","0.06460893056254026","0.0641400220931177","0.05548998960860029","0.0574120137142593","0.06856759087519668","0.06050116002276079","0.06032858191971533","0.0657633992222301","0.06517998205443572","0.04319586152146963","0.05499658880909151","0.05690595585739711","0.04757617561163743","0.04829479698658807","0.056039761125567605","0.04546171408330609","0.04696610569019612","0.05401964450447794","0.054739486666719926","0.03717600351490044","0.06307986706540497","0.05485392815366408","0.056282508476411065","0.0537040929541177","0.05606086109715179","0.04465572540792959","0.05641511506336705","0.0581263278296653","0.04385411153883301","0.05138758679126936"
"3983954","0.11909992792272893","0.06925432275004917","0.06869399340518546","0.0700336306470105","0.07298915748472681","0.0718663178221421","0.07730733680053446","0.0727445170218104","0.0717900020185862","0.05636918769737483","0.049562805011001","0.05519277659750148","0.055167644095004575","0.06508544846353966","0.04892322293415998","0.04875435782074731","0.06200868288375964","0.06540648626383312","0.06813782227318","0.07557583158445032","0.0632644596979302","0.06327288009866704","0.054351017687549234","0.051976470977309265","0.06257763604857912","0.046726748104598315","0.04587455044484563","0.056234348210415605","0.06273405676976616","0.052320974860953516","0.05278562478987513","0.06012770309712398","0.05097282632703977","0.049764696898332184","0.06092840113855246","0.05941014352220326","0.04288634653768341","0.06641528853135396","0.07164318625978942","0.06412728572251682","0.07134562064173186","0.07787307811195769","0.07371773028295943","0.0714577745867066","0.06692316288992886","0.06814220820017222","0.07618068833320599","0.08116272870451376","0.06862375970248907","0.06890786312546682","0.07079633403089272","0.07182899142979843","0.07322210392187066","0.06289060732578099","0.06276589995074777","0.07724478456298531","0.07697749053957054","0.07166578180703216","0.07253518545491386","0.07648327828939194","0.0763440388152953","0.07524345673113357","0.0790583687991088","0.0778870837977824","0.0629540260764799","0.0546763280327902","0.060234140170672607","0.061411070963475436","0.07290268479398615","0.05691224559126362","0.05578611870139649","0.060996798802852324","0.05506857919202512","0.06817929615996841","0.045840236137980495","0.0437430308862623","0.06051813490546684","0.06888853816455197","0.05883434588096233","0.05809629105144238","0.06479699999191277","0.05542550102197931","0.05353805169464623","0.07051551333956614","0.06816163918088292","0.04213422851315613","0.06684474942403985","0.06907924467189794","0.07606049950691278","0.05097183235413978","0.050569353780702056","0.07106319266757857","0.07726730832703071","0.06681440171935321","0.06712398154462931","0.07708437925493164","0.0681009958050235","0.06690343612758097","0.0768317096649938","0.07478073796906372","0.04976684159395371","0.05879681138114497","0.06609791190114052","0.055040698362006986","0.0548526023867067","0.06319002714184518","0.051170592284709354","0.0495090683087217","0.06369791094760131","0.061792930262120675","0.03679836191038947","0.06597407018353924","0.058147259547399154","0.057571647250374766","0.06455991452906383","0.0646143750084825","0.048600755392867484","0.06532697282839989","0.06441203935011336","0.04531214951654539","0.06006569567352252"
"5975931","0.12454801955195752","0.08191165209442776","0.08126371036022506","0.08308121314363513","0.08384609335054492","0.0872413123466533","0.08549321894683902","0.08102314385182437","0.08334621076588611","0.07123049458355467","0.0629051572701683","0.07618850188796802","0.06804574533016079","0.081234877064615","0.05871585994171243","0.06118740213663263","0.06989187090087677","0.08235442943379044","0.07742069440602446","0.08620265265612365","0.06819521915096984","0.07160958717856214","0.08081276221609546","0.06562478562942037","0.08231216730687078","0.055079750135332395","0.05645634297506754","0.08124409565367355","0.0819646585791391","0.07513494186567558","0.07822650205414289","0.08061063290654989","0.05984486701064297","0.06209085495426353","0.07719178399103732","0.08022377090129078","0.051409185526701144","0.0837239918414417","0.08675532810889855","0.08651030790913034","0.09179490618099703","0.09356795895465934","0.08367411057359425","0.08744631460567441","0.08087908518219963","0.08772657730916976","0.0878655003366553","0.08715906403490299","0.0781135727513611","0.0829688849188731","0.09192662503692033","0.08473006770794794","0.08129417215518248","0.07437919950848196","0.07758960062610286","0.10385141772008663","0.10192591944229447","0.08730349054549755","0.09305659409275327","0.10083863464167858","0.0858735214995317","0.08927979356979784","0.08258255162861977","0.08590254545291025","0.07477403431074797","0.07098111904302652","0.08547481607350084","0.08351233460755031","0.09293257291064784","0.06845252522818576","0.07314252550008712","0.0835090916144192","0.06912791226808185","0.0883860858196223","0.056739598964313645","0.059762518160979466","0.08712997963981907","0.08813616138394104","0.07653916821723794","0.08104916238069813","0.08682854448718724","0.0648077246073788","0.06763552608161492","0.08072019698139213","0.0861672733537645","0.053120205471244596","0.08779319923593155","0.0787199821219189","0.09089858519970336","0.059444921854838975","0.06155554737256979","0.09750363934077619","0.09665989241876373","0.08327665018845935","0.08868733776840905","0.09563277883363862","0.07522696579894904","0.0786180586460676","0.08587503487949066","0.09080453858664059","0.05867830893519597","0.07795166651893067","0.0834477489775115","0.07324221123039425","0.07748879462862511","0.08317763076948788","0.05710738596734157","0.060801109871590216","0.07447816823348628","0.07907371355068775","0.040416156147418746","0.08796610507960191","0.07174287180167868","0.07682250771194037","0.07407523455818846","0.07967214090963352","0.06718471651890098","0.07370392916298364","0.07892407101754344","0.051446428118596545","0.0706526491606686"
