"points","all_attributes","band7","band5","band6","brightness","band3","NDWI","band4","NDVI","band1","band2"
"1991977","0.17585092598960725","0.0018469088749518553","5.833400686855172E-4","0.0012254157553023975","4.1516543614711354E-4","0.002578845036865382","3.408673895331088E-4","0.0017952014506191494","4.196835606033733E-4","0.0023333602747421245","0.00957691780577788"
"3983954","0.2080852339158473","0.00221588903887944","0.0017269275699468567","0.0014437917706881243","4.2420168505963307E-4","1.2148734649043702E-4","7.670771299066181E-4","2.9016399285734795E-4","3.935788415227459E-4","0.0014176870516075107","0.003952856885395761"
"5975931","0.19238625747184468","8.890664902255208E-4","0.0016993168093808186","0.0014427877430311792","2.911680205143069E-4","0.0015713032831202178","4.0060703512140305E-4","8.288248308087887E-4","2.8765392371497833E-4","0.006420756866168623","0.0030673044919695275"
