"points","all_attributes","band7_band5","band7_band6","band7_brightness","band7_band3","band7_NDWI","band7_band4","band7_NDVI","band7_band1","band7_band2","band5_band6","band5_brightness","band5_band3","band5_NDWI","band5_band4","band5_NDVI","band5_band1","band5_band2","band6_brightness","band6_band3","band6_NDWI","band6_band4","band6_NDVI","band6_band1","band6_band2","brightness_band3","brightness_NDWI","brightness_band4","brightness_NDVI","brightness_band1","brightness_band2","band3_NDWI","band3_band4","band3_NDVI","band3_band1","band3_band2","NDWI_band4","NDWI_NDVI","NDWI_band1","NDWI_band2","band4_NDVI","band4_band1","band4_band2","NDVI_band1","NDVI_band2","band1_band2"
"1991977","0.20999840861616106","0.07849136812322634","0.0405767737278091","0.05268936338120369","0.04066814024459117","0.055004651158120796","0.05150661880132151","0.07007008615059311","0.04013299350343904","0.04208331722705634","0.07589143850556508","0.06350274124651037","0.07242001288167485","0.0658863029040998","0.079600316670323","0.07388589326081575","0.0632055490600544","0.07027992793089477","0.05105380232803891","0.044059745669754215","0.05262259554201681","0.05286808030414005","0.06817849804490715","0.04181273177350942","0.04314005633599183","0.04540614675771859","0.0514247905472804","0.05833952902066641","0.06303285630305971","0.0348914671203533","0.04215711325984186","0.05534401250616851","0.04770737814743845","0.061756737151081556","0.035517478364459024","0.03765304519078282","0.062026318576971516","0.05922257134495028","0.04842475590832626","0.05254829749540281","0.05964928309915226","0.048826868984933054","0.048675762822562724","0.05565877517662101","0.05687816676598174","0.03143158781451794"
"3983954","0.24327590127797172","0.092252571189326","0.04097386666613118","0.059017247689104844","0.04506377332670006","0.05377471727836215","0.05867889036871409","0.07608119973272784","0.04582633233215043","0.04523998018049404","0.09696899110782906","0.08791567372514845","0.08357425813651462","0.09129573283225659","0.09693083805686512","0.09343531576920817","0.0763266844948511","0.0839994638492312","0.05914325316005156","0.049700875060304434","0.05661561353369039","0.061876216442258124","0.08082623443945385","0.047182271682855784","0.04608888556444176","0.0470984353735008","0.06404240611211878","0.06944206685117349","0.07386731874916228","0.04211695215356403","0.046988494345065225","0.06266688822210296","0.05461257835808346","0.06641040534102552","0.03597682101751175","0.034131920197873776","0.06663179343938208","0.06514432646561684","0.054330446586481666","0.05662264172728902","0.06864235882241612","0.05162409003718416","0.04871793198415443","0.06375123809160448","0.0652949306141587","0.031279979638319126"
"5975931","0.2321141258157053","0.09432890038388997","0.055387185695417174","0.07374783945798571","0.05920399683329676","0.0882836498614191","0.068014841536825","0.097118591228714","0.05535656285188032","0.0568344915629046","0.09714369192013764","0.09365720588139322","0.09119834214953283","0.10708256169624447","0.10539228113577616","0.10906250423574167","0.08230466516430661","0.09024401386160583","0.07506813582686948","0.06064929464547031","0.08864560183174804","0.07617959444310854","0.09925014194441","0.05515023516837795","0.058534812399942376","0.0631352671240682","0.09230277257217327","0.08264553255383975","0.09946801594596724","0.05479782146078996","0.06301076769460691","0.08756828015584517","0.06993404040307695","0.09431685205200664","0.04312449390730917","0.042739951314698904","0.08687499905872408","0.09236401825924698","0.08445479039165613","0.08592117278462554","0.09177063791399198","0.06302130998500484","0.0636598715748224","0.09268078898501338","0.09388763022866227","0.04205570646649031"
