"points","all_attributes","date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"336","0.7886904761904743","0.035714285714285754","0.1547619047619048","0.17261904761904767","0.6220238095238096","0.1696428571428572","0.035714285714285754","0.035714285714285754","0.035714285714285754"
"672","0.5624999999999988","0.05357142857142852","0.13690476190476192","0.07142857142857142","0.08035714285714285","0.11607142857142858","0.05357142857142852","0.05357142857142852","0.05357142857142852"
"1008","0.7589285714285698","0.30952380952380953","0.3214285714285713","0.34523809523809523","0.613095238095238","0.4255952380952381","0.30952380952380953","0.30952380952380953","0.30952380952380953"
"1344","0.49107142857142755","0.08035714285714289","0.13988095238095233","0.11607142857142856","0.14583333333333334","0.11011904761904764","0.08035714285714289","0.08035714285714289","0.08035714285714289"
"1680","0.851190476190474","0.08035714285714282","0.18154761904761907","0.2708333333333333","0.6517857142857143","0.28869047619047616","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"2016","0.8779761904761882","0.005952380952380931","0.2678571428571428","0.21428571428571425","0.6547619047619049","0.2976190476190476","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"2352","0.7648809523809506","0.11309523809523811","0.2202380952380952","0.11309523809523811","0.4583333333333333","0.20833333333333337","0.11309523809523811","0.11309523809523811","0.11309523809523811"
"2688","0.6904761904761888","0.13095238095238096","0.3035714285714286","0.13095238095238093","0.32440476190476186","0.13988095238095238","0.13095238095238096","0.13095238095238096","0.13095238095238096"
"3024","0.7142857142857126","0.07142857142857142","0.3214285714285714","0.12500000000000003","0.369047619047619","0.18154761904761907","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"3360","0.7708333333333316","0.09523809523809523","0.33928571428571425","0.1547619047619048","0.47023809523809523","0.125","0.09523809523809523","0.09523809523809523","0.09523809523809523"
"3696","0.678571428571427","0.005952380952380931","0.2976190476190476","0.059523809523809534","0.22321428571428573","0.22619047619047616","0.005952380952380931","0.005952380952380931","0.005952380952380931"
"4032","0.6458333333333317","0.05059523809523814","0.23511904761904762","0.2410714285714286","0.16071428571428573","0.16666666666666666","0.05059523809523814","0.05059523809523814","0.05059523809523814"
"4368","0.8005952380952361","0.16666666666666666","0.23809523809523814","0.1845238095238095","0.5982142857142857","0.20833333333333334","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"4704","0.8392857142857124","0.0625","0.24702380952380953","0.16964285714285715","0.37202380952380953","0.19345238095238093","0.0625","0.0625","0.0625"
"5040","0.8244047619047601","0.017857142857142877","0.15476190476190477","0.17261904761904762","0.380952380952381","0.1904761904761905","0.017857142857142877","0.017857142857142877","0.017857142857142877"
"5376","0.8928571428571407","0.029761904761904767","0.3154761904761905","0.1130952380952381","0.30654761904761907","0.17559523809523814","0.029761904761904767","0.029761904761904767","0.029761904761904767"
"5712","0.8749999999999979","0.04166666666666666","0.23809523809523808","0.1607142857142857","0.4196428571428571","0.13392857142857142","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"6048","0.5714285714285703","0.08035714285714282","0.15773809523809523","0.12797619047619047","0.18452380952380953","0.16071428571428573","0.08035714285714282","0.08035714285714282","0.08035714285714282"
"6384","0.7797619047619029","0.07738095238095233","0.25595238095238093","0.10119047619047616","0.5","0.1547619047619048","0.07738095238095233","0.07738095238095233","0.07738095238095233"
