"points","all_attributes","date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"100","0.0","0.9486720142602496","0.26575367769485414","0.5181382147264499","0.13041716127010244","0.0","0.0","0.0","0.9999999999999996"
"200","0.0","0.8697142857142857","0.3146864190661659","0.6513334260676034","0.5487729401400289","0.0","0.0","0.0","0.9855696202531645"
"300","0.0","0.9230263157894736","0.3374709154470496","0.7448018832299205","0.5392608204873146","0.0","0.0","0.0","0.9999999999999998"
"400","0.0","0.8534403530127814","0.3973268622729431","0.07543630073357467","0.2469813655134716","0.0","0.0","0.0","0.9912096774193544"
"500","0.0","0.8261067261496224","0.3159672103102578","0.23307973219720027","0.34987000740867463","0.0","0.0","0.0","0.9999999999999997"
"600","0.0","0.7642160232681121","0.1161961268341908","0.1382588916459884","0.1291242932107554","0.0","0.0","0.0","0.975655737704918"
"700","0.0","0.8073808616088449","0.25086229827185336","0.134221824686941","0.2735901191731198","0.0","0.0","0.0","1.0000000000000002"
"800","0.0","0.841939393939394","0.2138080931716183","0.14780361757105945","0.23439822954143638","0.0","0.0","0.0","0.9902222222222223"
"900","0.0","0.8802979066022544","0.2318858146684234","0.32421497584541065","0.3302695798565364","0.0","0.0","0.0","0.9900909090909091"
"1000","0.0","0.9123076923076923","0.34354992833253706","0.5769780219780221","0.6998053033922599","0.0","0.0","0.0","0.9941666666666668"
"1100","0.0","0.9598232848232848","0.18960086460086456","0.1849664224664225","0.2038197538197538","0.0","0.0","0.0","0.9818681318681318"
"1200","0.0","0.9999999999999999","0.38232156506053566","0.02509615384615386","0.5898440366271248","0.0","0.0","0.0","1.0"
"1300","0.0","0.9561764705882354","0.2358747981405038","0.19853435672514624","0.45563494367045065","0.0","0.0","0.0","0.9890441176470588"
"1400","0.0","0.9204678362573098","0.1334603870788081","0.12160087719298246","0.15517265385686435","0.0","0.0","0.0","0.9898148148148147"
"1500","0.0","0.8916666666666666","0.12880252100840336","0.19058823529411761","0.2827591036414566","0.0","0.0","0.0","0.9999999999999996"
"1600","0.0","0.852904411764706","0.26939411764705884","0.21066176470588235","0.31192426470588236","0.0","0.0","0.0","1.0"
"1700","0.0","0.8921307692307692","0.19874358974358974","0.36596153846153845","0.5642211538461538","0.0","0.0","0.0","1.0000000000000002"
