"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"1461","0.5564681724845977","0.0657084188911704","0.013689253935660506","0.28405201916495554","0.21286789869952083","0.0","0.0","0.0"
"2922","0.47022587268993654","0.07597535934291577","0.012320328542094472","0.33127994524298426","0.06707734428473648","0.0","0.0","0.0"
"4383","0.44079397672826687","0.06981519507186858","0.01095140314852841","0.22929500342231346","0.10266940451745382","0.0","0.0","0.0"
"5844","0.6440793976728241","0.07186858316221766","0.012320328542094472","0.3394934976043806","0.3319644079397672","0.0","0.0","0.0"
"7305","0.437371663244352","0.0739219712525667","0.013004791238877475","0.19438740588637918","0.12046543463381246","0.0","0.0","0.0"
"8766","0.3463381245722102","0.0677618069815195","0.013004791238877475","0.08145106091718002","0.07802874743326488","0.0","0.0","0.0"
"10227","0.4572210814510604","0.07802874743326485","0.012320328542094472","0.2032854209445585","0.25051334702258726","0.0","0.0","0.0"
"11688","0.40862422997946546","0.06365503080082133","0.011635865845311427","0.16563997262149213","0.15263518138261467","0.0","0.0","0.0"
"13149","0.5325119780971933","0.07802874743326485","0.012320328542094472","0.14921286789869956","0.2197125256673511","0.0","0.0","0.0"
"14610","0.5660506502395608","0.0677618069815195","0.013004791238877489","0.47638603696098564","0.2073921971252567","0.0","0.0","0.0"
"16071","0.4161533196440783","0.0739219712525667","0.013004791238877489","0.14784394250513347","0.10130047912388773","0.07392197125256673","0.07392197125256672","0.07392197125256672"
"17532","0.9897330595482476","0.07186858316221766","0.013004791238877503","0.25188227241615335","0.2929500342231348","0.9260780287474333","0.9260780287474333","0.9240246406570842"
"18993","0.8350444900752837","0.06981519507186858","0.011635865845311441","0.3723477070499658","0.28952772073921973","0.3162217659137577","0.0910335386721424","0.21149897330595485"
"20454","0.6755646817248407","0.07597535934291577","0.011635865845311427","0.29637234770704995","0.03148528405201918","0.21013004791238876","0.05065023956194387","0.11362080766598219"
"21915","0.6714579055441419","0.0657084188911704","0.013004791238877489","0.24640657084188913","0.19644079397672826","0.11088295687885011","0.07597535934291581","0.08829568788501028"
"23376","0.8412046543463311","0.08008213552361393","0.013689253935660506","0.3463381245722108","0.24709103353867215","0.21629021218343597","0.21013004791238876","0.24229979466119095"
"24837","0.7446954140999258","0.0657084188911704","0.013689253935660506","0.22792607802874743","0.1649555099247091","0.21149897330595482","0.10746064339493497","0.05338809034907599"
"26298","0.7132101300479065","0.07597535934291577","0.012320328542094472","0.21286789869952086","0.1464750171115674","0.20739219712525664","0.08829568788501027","0.18138261464750174"
"27759","0.8117727583846619","0.06981519507186858","0.01095140314852841","0.3381245722108145","0.10130047912388773","0.35592060232717315","0.16837782340862423","0.3956194387405887"
"29220","0.6940451745379824","0.07186858316221766","0.012320328542094472","0.09993155373032167","0.09171800136892538","0.03627652292950033","0.20465434633812457","0.13278576317590693"
"30681","0.6002737850787087","0.0739219712525667","0.013004791238877475","0.03353867214236825","0.10951403148528405","0.07460643394934974","0.10130047912388776","0.06913073237508552"
"32142","0.64818617385352","0.0677618069815195","0.013004791238877475","0.04038329911019848","0.0787132101300479","0.14099931553730322","0.14305270362765227","0.29705681040383297"
"33603","0.721423682409303","0.07802874743326485","0.012320328542094472","0.08624229979466119","0.09308692676249146","0.08692676249144424","0.07734428473648185","0.09856262833675562"
"35064","0.7063655030800763","0.06365503080082133","0.011635865845311427","0.2635181382614648","0.2573579739904175","0.2648870636550308","0.18069815195071867","0.19301848049281312"
"36525","0.7275838466803496","0.07802874743326485","0.012320328542094472","0.19438740588637918","0.2731006160164271","0.14715947980835042","0.08555783709787816","0.10746064339493501"
"37986","0.6967830253251142","0.0677618069815195","0.013004791238877489","0.36892539356605064","0.1279945242984257","0.36344969199178645","0.12867898699520874","0.1649555099247091"
"39447","0.7364818617385293","0.0739219712525667","0.013004791238877489","0.1649555099247091","0.28815879534565364","0.05270362765229297","0.11225188227241616","0.049965776865160835"
"40908","0.7672826830937647","0.07186858316221766","0.013004791238877503","0.1916495550992471","0.2457221081451061","0.2005475701574264","0.18822724161533197","0.07255304585900067"
"42369","0.7351129363449624","0.06981519507186858","0.011635865845311441","0.1704312114989733","0.13073237508555785","0.11293634496919917","0.09308692676249145","0.12594113620807668"
"43830","0.683778234086237","0.07597535934291577","0.011635865845311427","0.12114989733059547","0.08008213552361394","0.08624229979466119","0.07939767282683093","0.07460643394934977"
