"points","all_attributes","day_period_nswprice","day_period_nswdemand","day_period_vicprice","day_period_vicdemand","day_period_transfer","day_nswprice_nswdemand","day_nswprice_vicprice","day_nswprice_vicdemand","day_nswprice_transfer","day_nswdemand_vicprice","day_nswdemand_vicdemand","day_nswdemand_transfer","day_vicprice_vicdemand","day_vicprice_transfer","day_vicdemand_transfer","period_nswprice_nswdemand","period_nswprice_vicprice","period_nswprice_vicdemand","period_nswprice_transfer","period_nswdemand_vicprice","period_nswdemand_vicdemand","period_nswdemand_transfer","period_vicprice_vicdemand","period_vicprice_transfer","period_vicdemand_transfer","nswprice_nswdemand_vicprice","nswprice_nswdemand_vicdemand","nswprice_nswdemand_transfer","nswprice_vicprice_vicdemand","nswprice_vicprice_transfer","nswprice_vicdemand_transfer","nswdemand_vicprice_vicdemand","nswdemand_vicprice_transfer","nswdemand_vicdemand_transfer","vicprice_vicdemand_transfer"
"22944","1.0","1.0","0.9999999999999998","0.9999999999999998","1.0","1.0","0.9999999999999998","1.0","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","0.5067945075757576","0.48986742424242424","0.5056107954545455","0.5619554924242424","0.41896306818181817","0.4177320075757575","0.48525094696969695","0.3705492424242424","0.43364109848484844","0.41777935606060607","0.2837594696969697","0.3197679924242425","0.4268229166666666","0.292779356060606","0.3637547348484848","0.3345170454545454","0.27928503787878783","0.37391098484848484","0.36941287878787876","0.27485795454545453"
"22992","1.0","0.9999999999999998","1.0","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999999","1.0","1.0","1.0","1.0","1.0","0.9999999999999998","0.9999999999999999","0.9999999999999998","1.0","0.4187736742424243","0.33089488636363634","0.41754261363636364","0.3962594696969697","0.36479640151515147","0.39296875000000003","0.40305397727272724","0.31858428030303027","0.2950520833333333","0.38394886363636355","0.3341382575757576","0.38030303030303025","0.3904119318181818","0.295809659090909","0.3004261363636364","0.37133049242424243","0.27234848484848484","0.30044981060606063","0.3466145833333333","0.3061079545454545"
"23040","1.0","0.9999999999999999","1.0","0.9999999999999999","1.0","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","1.0","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.26081123737373735","0.2021598193473193","0.41723727661227655","0.46085251554001544","0.34928613053613045","0.46987300893550876","0.5931247571872571","0.4354543026418026","0.44582847707847695","0.578525641025641","0.23170405982905978","0.39756337412587406","0.4134615384615383","0.3577117327117326","0.31421790015540013","0.4477224164724164","0.3992327117327117","0.39509882478632474","0.44577384421134414","0.425954254079254"
"23088","0.9999999999999998","0.9999999999999998","1.0","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999999","0.7048611111111109","0.6336279461279462","0.6201073232323231","0.6857112794612793","0.8350694444444443","0.800347222222222","0.8724747474747473","0.7389520202020202","0.7958754208754207","0.8083964646464645","0.6618265993265992","0.5402988215488216","0.5777041245791246","0.6059027777777777","0.5700231481481481","0.4870580808080808","0.6818707912457912","0.7252735690235688","0.6124263468013468","0.5912247474747473"
"23136","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9999999999999999","0.7298611111111111","0.555315170940171","0.7112713675213675","0.6571314102564103","0.7315438034188033","0.7665064102564101","0.7890758547008547","0.6452457264957265","0.6435897435897435","0.7560897435897436","0.6554220085470084","0.6901175213675215","0.697729700854701","0.46143162393162396","0.5048878205128206","0.5801549145299145","0.6511752136752137","0.6977297008547008","0.7332532051282052","0.5801549145299145"
"23184","0.9999999999999998","0.9999999999999999","1.0","1.0","1.0","1.0","0.9999999999999998","1.0","0.9999999999999998","1.0","0.9999999999999998","1.0","1.0","1.0","1.0","1.0","0.7789772727272728","0.7789772727272728","0.8227272727272726","0.802840909090909","0.7789772727272728","0.8227272727272728","0.8219381313131312","0.8227272727272725","0.802840909090909","0.8418244949494949","0.6795454545454545","0.7630681818181819","0.7213068181818183","0.7034090909090909","0.7213068181818183","0.7034090909090909","0.7630681818181819","0.7213068181818183","0.7630681818181818","0.7232954545454544"
"23232","0.9999999999999997","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","1.0","0.9999999999999998","0.9999999999999999","0.7305871212121211","0.7601010101010099","0.7513415404040402","0.8717013888888888","0.7316919191919191","0.5797821969696969","0.8923611111111108","0.7672032828282827","0.8717013888888887","0.9072127525252525","0.6886205808080809","0.6473011363636364","0.8562973484848484","0.6148358585858587","0.7028251262626263","0.7648042929292931","0.6306976010101011","0.8267834595959596","0.8267834595959594","0.764804292929293"
"23280","0.9999999999999993","0.9999999999999999","0.9999999999999997","0.9999999999999997","0.9999999999999997","0.9999999999999997","0.9999999999999997","0.9999999999999997","0.9999999999999999","0.9999999999999997","0.9999999999999998","0.9999999999999999","0.9999999999999997","0.9999999999999997","0.9999999999999998","0.9999999999999999","0.7264309764309762","0.6927609427609426","0.7306397306397303","0.8253367003367","0.5997474747474747","0.5534511784511784","0.652356902356902","0.5997474747474747","0.6670875420875421","0.6397306397306397","0.5770202020202019","0.579124579124579","0.6654040404040402","0.5475589225589226","0.6148989898989898","0.6485690235690236","0.39057239057239046","0.523148148148148","0.4764309764309764","0.5105218855218854"
"23328","0.9999999999999992","0.9999999999999997","0.9999999999999997","0.9999999999999998","0.9999999999999996","0.9999999999999997","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999999","0.9999999999999998","0.9999999999999997","1.0000000000000002","0.9999999999999999","0.5266571969696968","0.7087962962962961","0.6221433080808078","0.540703914141414","0.6905355639730638","0.3182975589225589","0.2828072390572389","0.7303030303030301","0.7322074915824914","0.36231060606060606","0.6273253367003366","0.5589330808080807","0.4793665824915824","0.7279619107744106","0.6071917087542088","0.5383312289562289","0.7082965067340066","0.6085963804713803","0.3580965909090909","0.7092329545454545"
"23376","0.9999999999999996","0.9999999999999998","0.9999999999999998","1.0000000000000002","0.9999999999999999","0.9999999999999997","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.9999999999999998","0.9999999999999998","0.9999999999999999","0.9999999999999999","0.9999999999999999","0.3443223443223443","0.3447293447293447","0.3677248677248677","0.48453398453398455","0.40293040293040283","0.4285714285714285","0.5272690272690272","0.4576719576719577","0.5563695563695563","0.5687830687830688","0.32661782661782657","0.342083842083842","0.46947496947496936","0.3213268213268213","0.4778184778184777","0.5038665038665038","0.37118437118437114","0.48351648351648346","0.5299145299145299","0.5095645095645096"
