"points","all_attributes","date_day","date_period","date_nswprice","date_nswdemand","date_vicprice","date_vicdemand","date_transfer","day_period","day_nswprice","day_nswdemand","day_vicprice","day_vicdemand","day_transfer","period_nswprice","period_nswdemand","period_vicprice","period_vicdemand","period_transfer","nswprice_nswdemand","nswprice_vicprice","nswprice_vicdemand","nswprice_transfer","nswdemand_vicprice","nswdemand_vicdemand","nswdemand_transfer","vicprice_vicdemand","vicprice_transfer","vicdemand_transfer"
"1461","0.6110843419176473","0.10171363093860769","0.04061706098183439","0.28640635339793474","0.22900405405461532","0.0","0.0","0.0","0.15242010754046326","0.3618764414072117","0.3264683481643518","0.10171363093860769","0.10171363093860769","0.10171363093860769","0.3016231348843343","0.27270331416158955","0.04061706098183439","0.04061706098183439","0.04061706098183439","0.43256759532166333","0.28640635339793474","0.28640635339793474","0.28640635339793474","0.22900405405461535","0.22900405405461535","0.22900405405461535","0.0","0.0","0.0"
"2922","0.5255894617157041","0.10955779297828655","0.013612990133399573","0.3197306347590259","0.08178804438142548","0.0","0.0","0.0","0.1524462912495823","0.37964825927763","0.16807132927273866","0.10955779297828658","0.10955779297828658","0.10955779297828655","0.3318979006074384","0.11775305846184395","0.013612990133399573","0.013612990133399573","0.013612990133399573","0.35023361867118086","0.3197306347590259","0.3197306347590259","0.3197306347590259","0.08178804438142548","0.08178804438142548","0.08178804438142548","0.0","0.0","0.0"
"4383","0.5230797824754296","0.10422201052348673","0.05145070429867423","0.21180856787571883","0.1256696535609979","0.0","0.0","0.0","0.16998054474994423","0.32175316132162624","0.19853368979027738","0.10422201052348673","0.10422201052348673","0.10422201052348673","0.24127576579027732","0.14900376774163376","0.05145070429867423","0.05145070429867423","0.05145070429867423","0.26666674746793406","0.21180856787571883","0.21180856787571883","0.21180856787571886","0.1256696535609979","0.1256696535609979","0.1256696535609979","0.0","0.0","0.0"
"5844","0.6995841877935551","0.09413955736083357","0.06150888814681503","0.3449388183831685","0.3367925029423227","0.0","0.0","0.0","0.1394294987200696","0.3888402964742814","0.4107657298549462","0.09413955736083357","0.09413955736083357","0.09413955736083357","0.3586711577745752","0.39748282516443056","0.06150888814681503","0.06150888814681503","0.06150888814681503","0.5146321602130386","0.3449388183831685","0.3449388183831685","0.3449388183831685","0.3367925029423227","0.3367925029423227","0.33679250294232266","0.0","0.0","0.0"
"7305","0.4739413217869419","0.08742757816008045","0.08788164270389388","0.1971388397232603","0.14447561272067355","0.0","0.0","0.0","0.17122929691714595","0.23589023250478897","0.23336010397978202","0.08742757816008045","0.08742757816008045","0.08742757816008045","0.21433637362721075","0.2081949105925135","0.08788164270389387","0.08788164270389387","0.08788164270389388","0.25183032481399636","0.19713883972326032","0.19713883972326032","0.19713883972326035","0.14447561272067355","0.14447561272067355","0.14447561272067355","0.0","0.0","0.0"
"8766","0.8539891865785944","0.7914123398442617","0.7914123398442617","0.7914123398442618","0.7914123398442618","0.7914123398442618","0.7914123398442618","0.7914123398442618","0.20626932248092655","0.22916488698353438","0.23013021279285883","0.1320428785661967","0.1320428785661967","0.1320428785661967","0.15753842617672864","0.17826283990448127","0.0730241477600011","0.0730241477600011","0.0730241477600011","0.16183452336030335","0.0853484526461679","0.0853484526461679","0.0853484526461679","0.10207570528862554","0.10207570528862554","0.10207570528862552","0.0","0.0","0.0"
"10227","0.5793548794272951","0.25507444889571146","0.21226448184088476","0.29458410106036137","0.34988416201227407","0.21226448184088476","0.21226448184088476","0.21226448184088476","0.16658495490386988","0.27684981713933826","0.3017100108623591","0.10071770609771857","0.10071770609771856","0.10071770609771856","0.23235573590854808","0.2931644688739359","0.07478404205205796","0.07478404205205796","0.07478404205205796","0.2900765406430452","0.19467224690486196","0.19467224690486196","0.19467224690486196","0.25697987725876076","0.25697987725876076","0.25697987725876076","0.0","0.0","0.0"
"11688","0.4893714621972708","0.09813492370456828","0.0653360971949298","0.22931444765316744","0.18531364735687722","0.0","0.0","0.0","0.16428941528079155","0.24365643247585814","0.25720323636165754","0.09813492370456828","0.09813492370456828","0.09813492370456828","0.23688115971512308","0.20086225313343903","0.0653360971949298","0.0653360971949298","0.0653360971949298","0.2722395923236921","0.22931444765316744","0.22931444765316744","0.22931444765316744","0.18531364735687722","0.18531364735687722","0.18531364735687722","0.0","0.0","0.0"
"13149","0.5909375945560182","0.08356088935728946","0.0845991772241519","0.15798802065343154","0.22232577752897736","0.0","0.0","0.0","0.21209392229947666","0.240607911795716","0.3331521508561595","0.08356088935728946","0.08356088935728948","0.08356088935728945","0.21070403265261434","0.2699978686469459","0.0845991772241519","0.0845991772241519","0.0845991772241519","0.39820408021041115","0.15798802065343154","0.15798802065343154","0.15798802065343154","0.22232577752897736","0.22232577752897736","0.22232577752897736","0.0","0.0","0.0"
"14610","0.6012802880477794","0.08231734612317759","0.0678631649156356","0.5028301412891614","0.21106099788569874","0.0","0.0","0.0","0.16183846844554894","0.5173780803825019","0.29560704910864855","0.08231734612317759","0.08231734612317759","0.08231734612317759","0.5146846689155985","0.26769633515656605","0.0678631649156356","0.0678631649156356","0.0678631649156356","0.5109784038301702","0.5028301412891614","0.5028301412891614","0.5028301412891615","0.21106099788569874","0.21106099788569874","0.21106099788569874","0.0","0.0","0.0"
"16071","0.48494628942516427","0.13450094411684568","0.08635969575442151","0.164433465690588","0.10767533787486408","0.07475119091326618","0.07475119091326618","0.07475119091326618","0.19872991757189667","0.26211480295773515","0.19425118769082178","0.16356078086991852","0.16356078086991854","0.16356078086991852","0.23446794921382894","0.18272936082054808","0.12757965391996062","0.12757965391996062","0.12757965391996062","0.2374878066663091","0.21374547217868717","0.21374547217868717","0.21374547217868717","0.1583842850370915","0.1583842850370915","0.1583842850370915","0.07475119091326618","0.07475119091326618","0.07475119091326618"
"17532","0.9959393340275483","0.5908320737177457","0.5816233531771674","0.5882392749795178","0.6276996176973039","0.9374697805246177","0.9257423922181026","0.9250682817151321","0.2551308774053663","0.40870588491433685","0.4439595596560328","0.9326937702487339","0.9336832902530943","0.9248286451556292","0.2832974071385475","0.3763821007920908","0.9313455492427929","0.9292601358336035","0.9237032369548419","0.4897881856160592","0.9327227990261401","0.9343574007560647","0.9237032369548416","0.9349894566588499","0.9410985057857695","0.9336874937988375","0.9326937702487339","0.9326248336318919","0.9289645167323008"
"18993","0.8816093196249504","0.4237640116635051","0.42376401166350514","0.5497441663653939","0.4628511477288297","0.4704392649021184","0.4237640116635052","0.4237640116635052","0.17374529018379878","0.5242985998240877","0.3296878695879305","0.46237774601826576","0.22168740630611355","0.32545891612428757","0.5044858174536302","0.33645214599451134","0.43475003478525237","0.2319955969558584","0.2683914877017313","0.6420039038734022","0.5172782649280002","0.5881908340783354","0.5177273547882679","0.5635795495832662","0.3109176495130426","0.45149661756486226","0.5462043103750763","0.4625774283974584","0.35347523750193044"
"20454","0.7442304711610725","0.15212881362770997","0.1853970957002586","0.25434449130863634","0.08069978539875775","0.17763848651878122","0.13692486665881431","0.11917353746704913","0.2436330846057627","0.31363763290434","0.21230669255804496","0.25564322979214316","0.249501324747229","0.25690500931138377","0.31319591503193234","0.21667108657336293","0.28550074855119","0.22124877200217807","0.2700662616424353","0.2944508751688571","0.2711859283168605","0.34390129858824925","0.28882127461707247","0.24238078619352915","0.1890190932985083","0.24025536664134634","0.3181054682654906","0.2379232855132814","0.31788741892575323"
"21915","0.7407601272292665","0.1368611208186926","0.0853927007862674","0.2903203254557651","0.218064360217162","0.15386484388218402","0.10076205379700062","0.08119028551790408","0.20961942565431047","0.3625585396569138","0.31324613041647775","0.24171207753694857","0.18678415612574473","0.2173272776239109","0.32116117665598604","0.24271232838060197","0.18496334759332245","0.153893385604253","0.15923669464876034","0.3583488235190497","0.3083382833095877","0.3139440160321352","0.35751607464264257","0.2657083716468448","0.2522993783870265","0.25931455485344157","0.18831327660745653","0.2082657614590615","0.1896886682613198"
