"points","all_attributes","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer"
"48","0.49999999999999983","0.5","0.22916666666666669","0.08806818181818182","0.25156641604010027","0.22916666666666663","0.22916666666666663","0.22916666666666663"
"96","0.4999999999999999","0.5","0.4791666666666667","0.11931818181818181","0.484375182565972","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"144","0.5","0.5","0.29166666666666663","0.6589781746031746","0.1616934783053204","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"192","0.5","0.5","0.6666666666666667","0.2721908939014202","0.4720220690615427","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"240","0.5000000000000001","0.5","0.3958333333333333","0.2521929824561403","0.23660143097643097","0.0625","0.0625","0.0625"
"288","0.49999999999999994","0.5","0.6041666666666667","0.23958333333333331","0.3106841856060606","0.39583333333333337","0.39583333333333337","0.39583333333333337"
"336","0.5","0.5","0.10416666666666669","0.2144150152439024","0.19143629807692308","0.0625","0.0625","0.0625"
"384","0.5","0.5","0.39583333333333337","0.19373306233062332","0.13470219017094018","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"432","0.49999999999999994","0.5","0.125","0.02315705128205129","0.13708457341269842","0.04166666666666666","0.04166666666666666","0.04166666666666666"
"480","0.5","0.5","0.33333333333333337","0.19236492673992672","0.23321552579365076","0.20833333333333331","0.20833333333333331","0.20833333333333331"
"528","0.5000000000000001","0.5","0.39583333333333337","0.2678571428571428","0.19301215277777778","0.39583333333333326","0.39583333333333326","0.39583333333333326"
"576","0.5","0.5","0.3125","0.36805555555555564","0.36731150793650796","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"624","0.4999999999999999","0.5","0.20833333333333331","0.0625","0.26256200396825397","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"672","0.4999999999999999","0.5","0.1875","0.2917877906976744","0.15492918284738139","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"720","0.4999999999999999","0.5","0.14583333333333331","0.16129683462532302","0.13271780303030303","0.14583333333333331","0.14583333333333331","0.14583333333333331"
"768","0.49999999999999983","0.5","0.47916666666666663","0.2213919082125604","0.45280403828197946","0.47916666666666663","0.47916666666666663","0.47916666666666663"
"816","0.49999999999999994","0.5","0.3333333333333333","0.25407608695652173","0.3540426587301587","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"864","0.5","0.5","0.3333333333333334","0.4070601851851852","0.3247767857142857","0.0","0.0","0.0"
"912","0.5","0.5","0.4166666666666667","0.16666666666666669","0.09909060846560845","0.16666666666666669","0.16666666666666669","0.16666666666666669"
"960","0.5","0.5","0.45833333333333337","0.19053819444444448","0.29534366096866094","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"1008","0.5000000000000001","0.5","0.625","0.5755208333333333","0.6449652777777778","0.625","0.625","0.625"
"1056","0.49999999999999994","0.5","0.18750000000000003","0.21875","0.189217032967033","0.1875","0.1875","0.1875"
"1104","0.49999999999999983","0.5","0.18750000000000003","0.022023809523809525","0.1850759534583064","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"1152","0.4999999999999999","0.5","0.0625","0.02663690476190476","0.059961484593837544","0.06250000000000001","0.06250000000000001","0.06250000000000001"
"1200","0.49999999999999994","0.5","0.3541666666666667","0.020833333333333332","0.5140873015873016","0.1041666666666667","0.1041666666666667","0.1041666666666667"
"1248","0.4999999999999999","0.5","0.45833333333333337","0.020833333333333332","0.3228561856028962","0.0","0.0","0.0"
"1296","0.5","0.5","0.31250000000000006","0.03125","0.2479158968468179","0.1041666666666667","0.1041666666666667","0.1041666666666667"
"1344","0.49999999999999994","0.5","0.2708333333333333","0.041666666666666664","0.18565259971509973","0.10416666666666664","0.10416666666666664","0.10416666666666664"
"1392","0.5","0.5","0.12500000000000003","0.041666666666666664","0.18506276709401712","0.0","0.0","0.0"
"1440","0.49999999999999983","0.5","0.0625","0.0","0.11467172873422873","0.020833333333333356","0.020833333333333356","0.020833333333333356"
"1488","0.4999999999999998","0.5","0.08333333333333334","0.0","0.1535300925925926","0.08333333333333329","0.08333333333333329","0.08333333333333329"
"1536","0.5","0.5","0.3125","0.03219696969696969","0.384375","0.27083333333333337","0.27083333333333337","0.27083333333333337"
"1584","0.4999999999999998","0.5","0.18750000000000006","0.11335227272727273","0.30971817534317536","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"1632","0.4999999999999999","0.5","0.33333333333333337","0.043402777777777776","0.2767664627039627","0.33333333333333337","0.33333333333333337","0.33333333333333337"
"1680","0.49999999999999994","0.5","0.25","0.24270833333333333","0.48414606227106227","0.25","0.25","0.25"
"1728","0.49999999999999994","0.5","0.16666666666666669","0.09062500000000002","0.15890216973886329","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"1776","0.5","0.5","0.33333333333333337","0.32751736111111107","0.2950628840245776","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"1824","0.5","0.5","0.10416666666666666","0.07702020202020202","0.09659139924085577","0.062499999999999986","0.062499999999999986","0.062499999999999986"
"1872","0.4999999999999999","0.5","0.33333333333333337","0.1759370015948963","0.3618357487922706","0.12499999999999999","0.12499999999999999","0.12499999999999999"
"1920","0.4999999999999999","0.5","0.22916666666666666","0.15378289473684212","0.16718073593073596","0.0625","0.0625","0.0625"
"1968","0.49999999999999994","0.5","0.3333333333333333","0.09045251623376621","0.2830030212842713","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2016","0.4999999999999999","0.5","0.37500000000000006","0.39516019934366714","0.35754419191919196","0.29166666666666663","0.29166666666666663","0.29166666666666663"
"2064","0.4999999999999999","0.5","0.20833333333333337","0.3053595430107527","0.20807291666666666","0.20833333333333334","0.20833333333333334","0.20833333333333334"
"2112","0.4999999999999999","0.5","0.3541666666666667","0.34496527777777775","0.2763888888888889","0.27083333333333337","0.27083333333333337","0.27083333333333337"
"2160","0.49999999999999983","0.5","0.3541666666666667","0.20625000000000002","0.10416666666666666","0.10416666666666666","0.10416666666666666","0.10416666666666666"
"2208","0.49999999999999983","0.5","0.5208333333333334","0.03680555555555556","0.5842859686609687","0.5208333333333333","0.5208333333333333","0.5208333333333333"
"2256","0.49999999999999994","0.5","0.39583333333333337","0.10590277777777776","0.31438873626373626","0.22916666666666663","0.22916666666666663","0.22916666666666663"
"2304","0.5000000000000001","0.5","0.2916666666666667","0.0","0.3711608414733415","0.29166666666666663","0.29166666666666663","0.29166666666666663"
"2352","0.4999999999999998","0.5","0.5416666666666666","0.0","0.530499910968661","0.5416666666666667","0.5416666666666667","0.5416666666666667"
"2400","0.4999999999999996","0.5","0.4791666666666667","0.640357905982906","0.5082343514328809","0.47916666666666663","0.47916666666666663","0.47916666666666663"
