"point","drift"
"10000","0.559612743115145"
"20000","0.4106436966551105"
"30000","0.35653919911697346"
"40000","0.31723013028131486"
"50000","0.33743343925474006"
"60000","0.42245954035610017"
"70000","0.4763715052873794"
"80000","0.4226506409754719"
"90000","0.5862400940290904"
"100000","0.7542142980602031"
"110000","0.667314866537598"
"120000","0.8417290352644249"
"130000","0.6732845889926333"
"140000","0.6083270144128393"
"150000","0.5850632508878341"
"160000","0.5699345452713648"
"170000","0.6343809604987806"
"180000","0.6134279639306449"
"190000","0.7444671214981291"
"200000","0.5027887919042323"
"210000","0.42777275075429816"
"220000","0.44778482481736487"
"230000","0.4461135486359584"
"240000","0.41150438335723255"
"250000","0.43200910141228943"
"260000","0.4494381137335441"
"270000","0.46618296828341155"
"280000","0.444072844073741"
"290000","0.45332064414170486"
"300000","0.4493627959673892"
"310000","0.4572782520001379"
"320000","0.4421461339125174"
"330000","0.448598377345394"
"340000","0.4214300440305969"
"350000","0.43335861880475174"
"360000","0.4086111147284668"
"370000","0.3915409611982006"
"380000","0.3701326844342025"
"390000","0.39986904256685"
"400000","0.4073384382014674"
"410000","0.4096417466723853"
"420000","0.41113280809353203"
"430000","0.4253150797224166"
"440000","0.42998064527371455"
"450000","0.385757406451128"
"460000","0.4317256674782199"
"470000","0.6385527918189118"
"480000","0.41475034897817614"
"490000","0.3918820027351356"
"500000","0.406485916467411"
"510000","0.38020854104301954"
"520000","0.4522243458328239"
"530000","0.4204226834442595"
"540000","0.40384994486697245"
"550000","0.4795436236909999"
"560000","0.5421939537081476"
"570000","0.4962293880869308"
"580000","0.502778865148955"
"590000","0.5275709275147883"
"600000","0.7264425674690338"
"610000","0.5321007186852122"
"620000","0.5459932486590195"
"630000","0.536235839166714"
"640000","0.4878251852888161"
"650000","0.4709693868394086"
"660000","0.4665619008079328"
"670000","0.4801628825635398"
"680000","0.4548535160489085"
"690000","0.48334949592093596"
"700000","0.4264626503607968"
"710000","0.649305781692083"
"720000","0.8371900967018294"
"730000","0.6137428148125134"
"740000","0.5594588683605153"
"750000","0.5512561502662909"
"760000","0.5187645855050274"
"770000","0.5347781961773126"
"780000","0.5156617418475758"
"790000","0.5249177427183367"
"800000","0.5719774628783136"
"810000","0.49586146766191613"
"820000","0.5652664881824211"
"830000","0.5724616961482734"
"840000","0.5311501076093242"
"850000","0.5156505040971172"
"860000","0.493271788839722"
"870000","0.5531835172198799"
"880000","0.5401440457767032"
"890000","0.495111288924699"
"900000","0.5076461831610587"
"910000","0.48170432204209734"
"920000","0.5122290604373072"
"930000","0.4915258455673945"
"940000","0.5427686010045036"
"950000","0.5177464633870121"
"960000","0.5493590983369147"
"970000","0.5357226278479826"
"980000","0.49875862320237574"
"990000","0.481368051427293"
"1000000","0.6615282706595411"
"1010000","0.46478675355823695"
"1020000","0.4474877689414579"
"1030000","0.4419772803419407"
"1040000","0.3909761556547775"
"1050000","0.41041748073359735"
"1060000","0.41630846432990765"
"1070000","0.4164847175814705"
"1080000","0.3962513610216229"
"1090000","0.37379239070643744"
"1100000","0.3681740405742324"
"1110000","0.4051732194757732"
"1120000","0.42482356120118364"
"1130000","0.4183977284226019"
"1140000","0.37721987433953647"
"1150000","0.39323937120044666"
"1160000","0.42662710492412037"
"1170000","0.44999857811356486"
"1180000","0.4441891063740891"
