"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_Time_Length","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_Time_Length","AirportTo_Time_Length"
"17612","0.4555706849694","0.18505997041947564","0.18179952295848","0.10045015656946037","0.0914216903769593","0.2935352181075874","0.24338321894163278","0.1992695256246227","0.24043723626002073","0.1962203672898734","0.11288643312470978","0.3181205086790948","0.20770698688450961","0.18339238045746353","0.2039465913142887","0.1781936069241638","0.06256681534771932","0.3942688707071721","0.2597575643405399","0.208973781292909","0.2085408004596339"
"35659","0.3329437336027646","0.13640642983532808","0.13637782667606413","0.06062171364425936","0.05620188507827582","0.22670796561205422","0.17418187200457366","0.1478377633830305","0.17889715770454723","0.14864546151821745","0.07320001540776397","0.24764149140331657","0.1518151477791994","0.14563307427721336","0.1587323183305347","0.1392286421017293","0.04258446278842655","0.2950908726870677","0.20533960315568753","0.155333458462234","0.15529803309074044"
"53799","0.5822095954244828","0.23967359163911695","0.24338973595776148","0.16765532898223112","0.14908548344224687","0.3198130285948479","0.27697842187548055","0.22562956682814744","0.28767273267256566","0.2304000173664248","0.14354112691668294","0.3975812583254551","0.26270444189174325","0.24240353695087716","0.2705859987741024","0.23971806392107042","0.1089533597457642","0.45153947010427525","0.28976630786445157","0.24899121620229497","0.24915775906759208"
"68078","0.5872568997518863","0.23928765623982345","0.23910932045169442","0.16822648163142395","0.14035429121639315","0.331032539434397","0.28725072896708903","0.22456887615788831","0.29927941681957076","0.22575805478555144","0.14734233833884547","0.40700617347552215","0.27396970163614176","0.24007939957494234","0.2775327769754239","0.2363981851020215","0.11407463976925454","0.4604674600223699","0.29210202649644784","0.2494877775854955","0.25569073656405283"
"85189","0.4491884113156043","0.16799648978681736","0.16797285542150314","0.11474460841521575","0.06580480638410158","0.281249534891603","0.2467363204125126","0.18865897643974905","0.24910253561477536","0.18538805054232127","0.12615453164932436","0.312209751960453","0.21419289080250753","0.1747893081994359","0.2121214755166998","0.1743583375462473","0.08160323577079442","0.3763492010295181","0.24607867981384574","0.21055483567044497","0.21510507767197345"
"103138","0.43840355447963164","0.17429874009370294","0.17490780401520684","0.09956632058983697","0.08877381131470433","0.28225609209937474","0.23373148519640913","0.19023548805852863","0.23422731264465835","0.18951684469187186","0.11379142849861143","0.30528669614564274","0.19745212535737175","0.17028105029979634","0.19591292270631094","0.1684239976479557","0.053668839062011614","0.3814736853783557","0.24806756469900004","0.19877049551906772","0.20120773273488085"
"120388","0.3576312787379038","0.14835275955027794","0.15521458373882366","0.08031615165498021","0.07046764151692622","0.24206231986927249","0.1941180015550415","0.15925638187799618","0.20281019355108243","0.16714913158165712","0.09273653092735301","0.26579928162372296","0.17122780665469214","0.15249330503485925","0.17834019941606571","0.15933922846447113","0.058255350620519966","0.320940706791932","0.22112990819992498","0.17394124472976186","0.1828941355646869"
"137920","0.37406831343150226","0.15133525073338777","0.15476878519372173","0.07537491004764547","0.0723890719231223","0.2509879413080699","0.19657089555389023","0.16466543481989154","0.20764000723327525","0.16604851380827768","0.08894596642658815","0.27285581375695966","0.17445834974300573","0.15363119083101243","0.17899301392217748","0.15296889586223011","0.04902202436534528","0.3327657341852429","0.2229418423271965","0.17263204718644082","0.17968150252721393"
"155976","0.3540434168302494","0.14950425670337789","0.1521176496108968","0.07166595293679193","0.06473234698685808","0.241059525440917","0.1982173253997886","0.16270396799722445","0.20071982978251957","0.16634344281056523","0.08828371651687192","0.2623801665570924","0.17022848027013154","0.1512125855899925","0.17509890301652015","0.15421010679995453","0.05908202826056991","0.3178593260274123","0.22045840414625922","0.17444377099933406","0.18402262189858232"
"174115","0.5811522111551135","0.23906417587401974","0.24834570266927833","0.1624692813763332","0.15000970235690414","0.32568092180209574","0.27924250191326205","0.22265251020582927","0.2927399618266261","0.23066269555353663","0.14172779392343648","0.4031715238278204","0.263063030604497","0.23383100944516724","0.2718794977690334","0.24468496584692806","0.10481221247615655","0.45537183810446163","0.2911063574417289","0.24402546690877747","0.2552881327047906"
