"points","all_attributes","Airline_Flight","Airline_AirportFrom","Airline_AirportTo","Airline_Time","Airline_Length","Flight_AirportFrom","Flight_AirportTo","Flight_Time","Flight_Length","AirportFrom_AirportTo","AirportFrom_Time","AirportFrom_Length","AirportTo_Time","AirportTo_Length","Time_Length"
"17612","0.3950840797366955","0.15071646647124404","0.19528599277474032","0.194172898732726","0.15204362480429226","0.15173095231781863","0.17513458278829097","0.17438960671256123","0.14580448399170107","0.145804483991701","0.25080374394258276","0.18297902802334146","0.17505393939394737","0.17689404471059675","0.1760101733504522","0.145804483991701"
"35659","0.32785867710734057","0.037513102044160196","0.10841222255083077","0.10357241281478047","0.045219220864496326","0.042156206240608174","0.08992152916410973","0.08411557253817616","0.023988334636944865","0.030054001468296454","0.19195131736446078","0.08889004387600133","0.09183900496492373","0.09300490590873511","0.08360383756024972","0.01877999678531416"
"53799","0.5801473903317579","0.12969002597703827","0.16563416503661896","0.1661598597426786","0.11064797588273326","0.08911338329014637","0.16743919973148136","0.16768297141552882","0.08698728203799334","0.07843625919838332","0.2666524567539004","0.16961680644809324","0.14561414427073968","0.16988961438116262","0.1433363526502438","0.0702932533748414"
"68078","0.5941288285336683","0.13156861300639716","0.17905726953429507","0.1753115297250304","0.12637516747008198","0.09062702109229259","0.17605179700077628","0.17312901659653984","0.10281722187933383","0.07589380812967833","0.27716880829144047","0.1850535048650114","0.15206771108550346","0.18485480473174887","0.14813310628387336","0.09702650129261293"
"85189","0.45052130654716527","0.045095269719832534","0.1372323629734769","0.12929055977370932","0.10171485069162592","0.05302445917690953","0.11115445931994655","0.10897330747431483","0.06659000220102321","0.030016119900807","0.2292083168038323","0.14612220908285253","0.10968146786481939","0.14526239399608779","0.10916489049443191","0.06936915745659135"
"103138","0.39469006629901165","0.15390932279138714","0.19236691398575903","0.19080024320114522","0.15990953111109496","0.15350095802842356","0.16736142742601545","0.16299297284334588","0.14085637809542498","0.140856378095425","0.24705849181374875","0.17791827569417573","0.16855092326809926","0.1707695475344385","0.16715211941079414","0.14085637809542492"
"120388","0.34194540170030674","0.07238276344374016","0.12888369094029195","0.13126980725927137","0.08359245702268646","0.07622390857959113","0.10690551438859626","0.1109740598557666","0.0614009661835749","0.05168744854130087","0.20582207937782937","0.11746713091092975","0.10617923002906449","0.12033395827753364","0.1095061155253992","0.05521889910623058"
"137920","0.35541653007226626","0.07658734238328269","0.13436174080971688","0.13808007607028158","0.08221477612530229","0.07895950954825962","0.11300283519794109","0.1154843283718635","0.0628196825431484","0.06090638893513637","0.21127462248663673","0.1207752548387755","0.11413229720783523","0.12144972252017772","0.11632231753751969","0.0629020940353286"
"155976","0.3484048395978544","0.04616837234096577","0.12150549662976433","0.12296663255391291","0.06311215149159657","0.05393695812255495","0.09841853656410907","0.09978424866235665","0.037601188703694936","0.027611117446984194","0.2057530103464502","0.11699104864485743","0.10191883198623498","0.11676696005002278","0.10590656353488258","0.049922119648928745"
"174115","0.5879975997318904","0.13930031763264025","0.17398779510362286","0.18218000313815985","0.11425330885003412","0.1027213356685764","0.167770761682223","0.17966587081808422","0.09460346809042991","0.08052958563571055","0.2740272765439532","0.16974046571984688","0.14454850788992682","0.18073127600113612","0.15744295122706306","0.08610126077682176"
"188415","0.6274564161328134","0.20725388990094878","0.24341024988083704","0.23941817985935557","0.18952134466840345","0.15630572042336754","0.23173891468009053","0.23497296820826197","0.15412577618459974","0.14183104477222122","0.3224787304198986","0.24653025079495544","0.21573245382068865","0.24600539982892766","0.21517982017981988","0.14449803464509345"
"205551","0.47865268876484546","0.13078432048169","0.19171688861822536","0.18484799018126655","0.14248840376255886","0.12351658537918854","0.1565044521278031","0.14650378222460453","0.10020352532270471","0.07402457624854829","0.2680667474604198","0.17950164684969344","0.15921076490264394","0.1659251022758725","0.15052123951736623","0.09613557842892989"
"223517","0.40840281374116105","0.11806106391894297","0.17668526380414384","0.1721335630870003","0.11914061527321025","0.11935527890432962","0.1503792165326063","0.14475842077276402","0.10261174438870546","0.10372159843025705","0.24531230763859302","0.15780153878122216","0.1532073137975903","0.15456557449665786","0.14814802776730054","0.10309612351930689"
"240796","0.37523748532015144","0.0619417214706294","0.1453692152501761","0.13628124353182564","0.08024033006188612","0.0649441713198016","0.12072093078747333","0.11261581464892516","0.055458083594668056","0.04297796515336982","0.21894668230234604","0.13751112839321808","0.11418144742268112","0.1201814247104488","0.10956911249329138","0.04084942591999764"
"258373","0.4305439012130639","0.10816243440460853","0.17984700976160173","0.16132115584681417","0.11125270870523567","0.11518349080362883","0.1579994218443396","0.1396774299741133","0.10085861879928687","0.10215335750336285","0.24286063912095116","0.16745004370142957","0.15831059461700037","0.15125851187409178","0.1425970515979618","0.10165727544423578"
"276642","0.4789766299006869","0.08150105367174942","0.156592411380971","0.14692282948781046","0.08354932422413597","0.08074242120412763","0.13868008441626192","0.12457531029753427","0.04571833131428851","0.04043842275615836","0.23141482328045565","0.1459424312238792","0.1307383147846426","0.1270881120989335","0.1209562919543049","0.04236824699978454"
"295227","0.5974376422523765","0.1271800577725041","0.16848386069314394","0.15548326671767143","0.09776174545517216","0.0845052947021407","0.17119462647922878","0.15593542789542644","0.08008894048097842","0.07513245801133299","0.25592027137276696","0.15830278383550522","0.13832387506407334","0.1432585231205628","0.12302934155360112","0.05476611041925607"
"311213","0.5505903866885823","0.1271727577605792","0.16658060163399582","0.1577762150815413","0.11946906654078933","0.0936029828287537","0.1664091606021269","0.15443354976397417","0.09770708953287635","0.08924406679454369","0.25076276005406894","0.16632944893326806","0.13904255444115202","0.15894479684309012","0.13291104990339617","0.09315142830651382"
"328765","0.4238293721417884","0.05920509155234321","0.14605057412343672","0.13388131422759883","0.07892574993983406","0.06396931120157531","0.11806193534034767","0.11029382655607027","0.051026396369248724","0.0403453901650641","0.22564704176618677","0.13578007660847782","0.11483915382734257","0.12649826579545026","0.11413589445580212","0.05166207947982865"
"347094","0.3413957010517514","0.06256731869124768","0.1293027624323909","0.13019452878232488","0.07144429809234304","0.0667553790386771","0.10716205183748892","0.10907731543392736","0.054821668915108965","0.056461637674084034","0.20655208805241246","0.1255654990574821","0.11103962812046371","0.11702400180918335","0.11016574096114314","0.058907525849264473"
"365403","0.44220244291911187","0.05433069642031799","0.1253364325305817","0.12386061940618354","0.05628912523192887","0.05625317391681609","0.11146886613164647","0.11066408234434669","0.03141415071107169","0.04430914873249707","0.2033980613763865","0.1153260052643028","0.10594060226317252","0.11069551948728074","0.10361748903922446","0.03536355339415891"
"383939","0.3604347617033831","0.0854983772681652","0.1526855991618158","0.14069530384644893","0.08728320039319626","0.08529609221943442","0.13194771765119145","0.11656277424184165","0.0767637618628974","0.0767637618628974","0.22222460775506675","0.14755863581599074","0.13578116431622164","0.13135950220432396","0.12371251543390223","0.07676376186289738"
"402506","0.5737310147439155","0.14320645876835608","0.20758919416194158","0.1988460298416266","0.16883688736560543","0.12968075103644686","0.19222253492065358","0.18286300939873332","0.1505258287129639","0.11009040405316549","0.28764683393805823","0.2126582003162931","0.17896834881965032","0.20385114096041915","0.16466034641500238","0.12436390959265525"
"417527","0.5185902962868328","0.07382339313245803","0.1671029747430107","0.1643440271799597","0.1132068221021735","0.08064985859488184","0.13421805678012808","0.1330370543569626","0.08485027361527091","0.04447594505903116","0.2604572485324838","0.16476886496907275","0.12659662338891892","0.16522122312065224","0.13375895384985068","0.07805278572058737"
