"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_Time_Length","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_Time_Length","AirportFrom_AirportTo_Time_Length"
"17612","0.3756331609199259","0.3049906468055791","0.2681136660945278","0.24226782906960245","0.26972121672174804","0.24105687885611343","0.17787439820661075","0.3650325993968726","0.2853260333227127","0.2890567246498269","0.28786625157146883","0.36727847490506776","0.3027378659838224","0.2852000188262372","0.28105435752823177","0.34834959840971985"
"35659","0.31912579351228143","0.25146276947088075","0.20222741686978887","0.17984695737862352","0.21276870553916985","0.1808179152395888","0.09965398332122208","0.30639822333607686","0.22783554906950376","0.22113500411502232","0.22761837097797763","0.3116921451291443","0.2491874407419275","0.21957742734406185","0.22552539978357064","0.2922807916085335"
"53799","0.3836427136465079","0.3159008682074732","0.25680547223698946","0.23105139764833985","0.2659126925290981","0.23553323699350656","0.13538784820859984","0.3631847700916547","0.27669272841757575","0.2702438225087025","0.28205006072949934","0.37787114774887015","0.316665520155808","0.2846982135919595","0.291151493983827","0.34981364665071657"
"68078","0.407498873368859","0.3402280877322266","0.2776160432351551","0.24590717263311085","0.2892498591455955","0.2539098689536442","0.14739281413053634","0.3910539313518737","0.2990452834121269","0.2897356665263946","0.3018726968076511","0.4016278460735773","0.3373265196353947","0.2984772440311778","0.3053416034542961","0.37027597425543607"
"85189","0.3900533907917251","0.3036491967652088","0.25872550239473596","0.21325607560902007","0.2690212822151174","0.21438547724887813","0.13742645045034177","0.37706488968354207","0.27534407933849786","0.28447719631042895","0.2859224803523776","0.38212545752257454","0.2994742862628456","0.2725422664276306","0.2753107252940867","0.35352331135159204"
"103138","0.36906168225433683","0.2991574218644826","0.262702310783741","0.23462539853076678","0.2679745899072106","0.2364980997817687","0.18206032630918806","0.35974803820166074","0.27822503259845865","0.27915148071276624","0.28867824126334124","0.36145219329164635","0.2916470477373651","0.2695862185249305","0.27445269159167957","0.34055862609886606"
"120388","0.3275609646295017","0.2603042013158607","0.21423810390563824","0.1864134193881181","0.22777501390998942","0.1970573377873313","0.12680590232412303","0.31652171631502707","0.23656678844936227","0.23388089286199035","0.2450026727905023","0.3217076248152627","0.25678607030892997","0.23420730964937536","0.2422402756568095","0.303247896198336"
"137920","0.3347168368969515","0.26540538981124107","0.21881756147403436","0.19166347489606084","0.230549392231765","0.19582805291735172","0.12282471024151195","0.324143166250006","0.24310280525331415","0.23675523213840824","0.24791981645450933","0.32795368278279663","0.25996519502647614","0.23497791762373602","0.24139039625455835","0.30810145807734474"
"155976","0.3408736461162961","0.26670203175549523","0.22297585016787783","0.19172358079256577","0.23157879501323964","0.1957634736959425","0.11492185778127056","0.3313790047032428","0.2451277600913733","0.24136901974980995","0.25242529951791776","0.3326701281255459","0.2646008998484845","0.2358447377590055","0.24087319977508967","0.31522174032396666"
"174115","0.3958731639292112","0.3267106302897081","0.2650284673125795","0.23427362823771888","0.2783874552883698","0.24314710519090682","0.14061953125054943","0.377833412494082","0.28758397867849905","0.28237106309745685","0.29647331057314674","0.3887566703560818","0.32553659721351036","0.2858517378733969","0.30242970088185006","0.3615925751374379"
"188415","0.4454849530915368","0.3834469747959892","0.3373119249444025","0.30341501335841886","0.34096287225679434","0.308422990013335","0.20111154612979804","0.43260781076219057","0.3484770624398803","0.3510647829471171","0.35226257906195674","0.4432148726817516","0.3799927120716796","0.3497581628661317","0.3534898454594305","0.4184543746888528"
"205551","0.42104460213805867","0.3418629715526565","0.30595695612148793","0.2644734930945442","0.2976114616906191","0.260169325395849","0.18658871653617998","0.40909895612946356","0.315302089187212","0.3208335703362335","0.32290303109297586","0.41452061505705","0.3406549028450441","0.31109528013861","0.3060065911056333","0.38510956821287"
"223517","0.38397215813442925","0.3081930288090724","0.2639181846211603","0.23407190818056006","0.2701537979464715","0.23768743431658418","0.15983410631697775","0.3732197731456524","0.2862888781635329","0.28320836977265695","0.2892131840619136","0.3747575586370753","0.3037648434689803","0.2739729926850239","0.27803283863520917","0.3503815407332583"
"240796","0.35945016444465455","0.28556708603359543","0.2433894215107204","0.20915333698759828","0.24598103925859066","0.21064135953856894","0.13277199549580013","0.3491338313701926","0.26133971250485366","0.25789991927719924","0.2659621026671028","0.3517864108726412","0.2800625293230379","0.2512313114381166","0.25628325051977513","0.32994150925403676"
"258373","0.3776115494613448","0.29853841101741846","0.27299438828387235","0.23379993573595595","0.2595833011160978","0.2195529723530788","0.15098635763539836","0.3659345491453675","0.2822548708605538","0.2899744143318876","0.2776711081422475","0.37185287355142044","0.2940667919172283","0.2802182855227598","0.27031089797631674","0.34886446243043223"
"276642","0.4047040115612205","0.3110118468656865","0.26081499855648643","0.2252479624008627","0.2511944182080399","0.22247513658918264","0.13459733245418445","0.3665488426163092","0.27672579748555504","0.2803451317820429","0.27260856670130157","0.3986412473483716","0.3075921524332957","0.28372715089635037","0.27613386196552786","0.34869005533098574"
"295227","0.4204628339659166","0.3305240160743374","0.2679312820318318","0.23807204160384124","0.26663889687007736","0.23112119415878146","0.1306541540296315","0.3809857381205733","0.2882974298291887","0.28519364022351684","0.28193716808965014","0.4136970240461204","0.32774496949372645","0.29471504205482707","0.2940755020190434","0.36714321481595474"
"311213","0.408049193511499","0.32336449819931756","0.26150737272492847","0.23126303254839914","0.27162436146591323","0.2331939633893355","0.14821547761667803","0.37826731618098675","0.28518805365049593","0.2816674539053304","0.28724095815595035","0.4008670452107242","0.3186534987990737","0.28793124166114265","0.28707431843903825","0.36038486885242343"
"328765","0.3702208122918468","0.29155671593014904","0.24247261112202295","0.20845596658177526","0.249040457741101","0.21305474011481096","0.12519529949009736","0.35490215815622234","0.2660059400573888","0.2616889295671228","0.26978714607846793","0.36240665744018924","0.2882741073354962","0.25759790546502825","0.259795816436864","0.33537597846716816"
"347094","0.334331899910919","0.25935513688183687","0.2253297346255186","0.19006928351691443","0.2332643788299405","0.19362761327829284","0.12317125121471816","0.32618457648679716","0.24488983745286064","0.2407151573258609","0.25310167897699987","0.32870203372106094","0.25568117926179595","0.23371977513926348","0.24160405585789946","0.3095182246759967"
"365403","0.37494586917259587","0.2804329522368881","0.22398796151174832","0.19603244389881816","0.23013580718674115","0.2015713730970711","0.11154210351880033","0.33367559588391044","0.245568345645408","0.24420827504629836","0.2483257039798907","0.3665572018955766","0.2788966821069914","0.25427049605481683","0.256118433553009","0.3170877816443824"
"383939","0.35668260669438845","0.28153999853826833","0.2420645500831596","0.2132656525658609","0.24142545552996098","0.20940676987230675","0.1298788755895417","0.3483252784891921","0.2649156111488699","0.2637960805802533","0.26357586285291634","0.34882616871232114","0.27726574233745355","0.252510684099983","0.25344104908724935","0.3295128999394704"
"402506","0.4136117828964345","0.34330216416387027","0.28645694433825447","0.2615168262770217","0.2943177961528639","0.2567522907256358","0.16614094509792918","0.3978009504311424","0.3055463076051355","0.3078586497200636","0.3077690082923161","0.4097113792938686","0.3390958110969014","0.3044340967452745","0.3142492841772912","0.3811567503044278"
"417527","0.3980339126223272","0.32729151494688974","0.27124476856451446","0.23384312883480057","0.2746714035330712","0.23968766758701612","0.1352960693093737","0.3854418878540702","0.2988338885084565","0.28895626446660677","0.29850899997994673","0.38895460572412166","0.31954085311872465","0.28295822079941524","0.2897998083521223","0.3609950174998987"
"431918","0.4469500178228988","0.36756472121684886","0.3252833093086438","0.28081678006678945","0.33444271954530025","0.2862244430047713","0.18991459356298168","0.43367075659942883","0.33864048425108995","0.34296585610058633","0.3515434016738134","0.44051271661407687","0.3633446175070823","0.3352620674355307","0.3445578619257651","0.41473313633792896"
"449998","0.4135850089222794","0.32611094145791436","0.284511369738305","0.24054761658522367","0.2732536594696284","0.2400067578298544","0.15717670502303205","0.38889877225617464","0.28924794040079055","0.3014097409863336","0.29782100975407255","0.4094818685833404","0.3235609938126379","0.3020644167768693","0.30098689038695287","0.37226576445325466"
"468523","0.3784378589993535","0.30386693154358146","0.26365808557245873","0.2359343465627991","0.2588871709394885","0.23558726640355332","0.15971359662922913","0.37009708984298473","0.290342993676732","0.2858253173853171","0.28739674871628434","0.37271899408764325","0.30006991597103133","0.2737538938267284","0.27378165540222044","0.351615290340991"
"487025","0.36253411927907625","0.2774475643712264","0.24920193537851512","0.20767612394179488","0.24482948407414115","0.20337191955587902","0.1316007573098768","0.35400952690361076","0.2635794989820334","0.2696035750935249","0.2669462065155267","0.3558770803160163","0.27210006121517255","0.2512898067528349","0.2553253340270898","0.33588722504951335"
"505514","0.3532684577006441","0.2744618009673176","0.2396078741412338","0.20382245418005504","0.23972776162397064","0.20171714472424102","0.13067461416525994","0.3452335874621312","0.25471482410590174","0.2638922255310869","0.2610049746798034","0.3477235792232523","0.2706699712679869","0.24889610938794315","0.25031329387677637","0.3261515736794729"
"524020","0.3903429074821237","0.3120402416518536","0.2549725241053563","0.22622994978126956","0.2561241429614579","0.22068247294214852","0.13056053762949757","0.3622721471431477","0.27455246699814645","0.27033706247260025","0.27121924432082783","0.385044035227721","0.30586895838269385","0.2753435871098541","0.2835787055096879","0.349744425262021"
