"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_Time_Length","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_Time_Length","AirportFrom_AirportTo_Time_Length"
"17612","0.4555706849694","0.34028293017939804","0.2853576433394073","0.24223524324955256","0.2870386176530022","0.23855834645937565","0.14630021386849587","0.4366710202717644","0.3068589816692802","0.3131788005091979","0.31481693808126987","0.4405665594094275","0.33294507407181106","0.3021134620267826","0.2994765619621117","0.40519490849741235"
"35659","0.3329437336027646","0.26030319237919874","0.20891459373164045","0.18510906253572335","0.2196749088068456","0.18662921832340199","0.1020414394262093","0.31902229080631184","0.23614887538464885","0.22948907701230148","0.23595621064537944","0.3243464637194462","0.25778842312837963","0.22683957982474126","0.2321952964543133","0.3022716861614916"
"53799","0.5822095954244828","0.4213392404541816","0.3579324637956063","0.3108401963948044","0.3731048803206425","0.31398564409520957","0.2121020112439866","0.5074388498987961","0.3419806178162502","0.36343365792391225","0.3781234898533756","0.5567533858209406","0.4190633506062943","0.38331568202052824","0.38775918999273523","0.4684329379721426"
"68078","0.5872568997518863","0.43206832620487623","0.36606069673994035","0.3081864906544435","0.378946401225173","0.310576418899253","0.2143191445572602","0.5195240452164809","0.34945329853685203","0.3707522431240238","0.3842975251255978","0.5646538253640829","0.4249665952244731","0.3887146747096586","0.390780532040936","0.4749214571838142"
"85189","0.4491884113156043","0.33331181950954514","0.28792695249355904","0.23154973888360592","0.2928342797163267","0.2326540604509366","0.15360185040600938","0.42119755986593144","0.29755636114913164","0.3152239203311549","0.3142540145740764","0.43205859356564114","0.3277291011770821","0.3023291325953335","0.30149574883148655","0.3875472940995923"
"103138","0.43840355447963164","0.3274748451047865","0.27340120869413803","0.22716435159095227","0.28121532285722983","0.23120138723732178","0.14265805497001727","0.42102924483643356","0.29380646950944617","0.2996140478384077","0.3081611925118669","0.4252836475658477","0.31741341914782634","0.2879700469091719","0.2917964952701053","0.3908478653781907"
"120388","0.3576312787379038","0.27929467062246277","0.22803039576154538","0.19448732962142926","0.24069299993225238","0.2057296717500108","0.12321454162601114","0.3438260970755165","0.2517817979256728","0.24904653013932093","0.2603307467088506","0.34973107014814486","0.2752299968871255","0.2492936531439992","0.2562429596328939","0.32673868810333073"
"137920","0.37406831343150226","0.28906712196004825","0.23487804786959857","0.20188170461922128","0.2471647886973694","0.2038837830868916","0.11746858591862255","0.36004055252100664","0.26067255286931956","0.2547703523868487","0.26718740247153056","0.3647858097370089","0.28258107831893","0.25093447908553734","0.2581809557971636","0.3384661756779118"
"155976","0.3540434168302494","0.27483091531196346","0.22916882320203952","0.1964187789015422","0.238099179911415","0.200315637757816","0.11597913769740693","0.34307949091700407","0.2520279779261303","0.24841777054951514","0.2596522518012328","0.34420135772078175","0.2724538446078927","0.24243938179794794","0.24725943428342095","0.32458525424178764"
"174115","0.5811522111551135","0.42875830211768184","0.35873124473090184","0.3065595592238429","0.37462098288993584","0.3160635423637657","0.20954286606963862","0.5115753711585294","0.34569297100407415","0.36684817989995755","0.381118232592322","0.556314211069767","0.422465920539545","0.3788233904019799","0.3924899928697047","0.47194667074698016"
"188415","0.6189061924283457","0.46131336627234976","0.4072498833825011","0.34257832789483733","0.40980279835125866","0.3455572262341179","0.24102626135612115","0.5543879528063358","0.38411110035427876","0.41637680612833783","0.41876793378607524","0.597802349987911","0.4538462401249148","0.42001581362069534","0.42202589284577086","0.512734993051453"
"205551","0.49420157325661684","0.37583888774279817","0.3383505910654323","0.2855263033064033","0.3246883237997028","0.27757191625120337","0.19163627281241913","0.4663331425490875","0.34001204031295484","0.3590767795845463","0.3558231131503482","0.4778882397674455","0.37298529751376525","0.3454670966688896","0.3370639420881768","0.43045919164175916"
