"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_Time_Length","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_Time_Length","AirportTo_Time_Length"
"17612","0.0394682275408692","0.026189637623344832","0.024578581947575784","0.01850339590113839","0.019147026587565827","0.03263023905040263","0.02891336260415046","0.02721170266533817","0.02841515871300817","0.02599606767808073","0.0214409429155892","0.0336372841343511","0.026918476840086563","0.02494333977242963","0.026302746653855767","0.023844737126885857","0.011486476733266983","0.033058185152878165","0.029446171547351206","0.02497228795717373","0.024779948176047752"
"35659","0.017882685837646614","0.010698534984206776","0.01123812507449477","0.007964744634385686","0.007910277641456711","0.014099720874607802","0.011881105008856124","0.0115989830302833","0.012095331869273081","0.011937383393563516","0.008915820011559923","0.014558079360221039","0.01253160848107707","0.011955686698012478","0.012405147065157595","0.012258277709147275","0.005956906959037311","0.012751932370147292","0.011846386157326007","0.011256290920883101","0.010973539689854452"
"53799","0.3796277260234707","0.14688504479133763","0.14572622782101094","0.13335085957875398","0.11382550901459518","0.14085863134062987","0.14980129028890407","0.10802565243150392","0.16313492810198302","0.10834781542473687","0.09901303778156112","0.22454601567918442","0.16048363017277348","0.14108206491008818","0.16500289204283128","0.1399335366784454","0.08750664521255529","0.23400463653417175","0.12263658020702835","0.13323752130425165","0.1359235693035914"
"68078","0.3723118698702257","0.13924672291611453","0.1342334736961696","0.1401916249711058","0.10232574314895565","0.13709936744900605","0.15596889769095715","0.10205748896476151","0.1670250367447713","0.09858272509112567","0.10698997788501234","0.21916226463618443","0.16765144886052724","0.13494374031325068","0.17200858408477984","0.1280331765865086","0.10236576722004345","0.23619378999544252","0.11567163233776233","0.13867992738891136","0.1435917760197163"
"85189","0.12378302657730574","0.053215368205095946","0.04856054224819224","0.04590046866826579","0.02667387206367885","0.06904713257801183","0.07162806257415309","0.05360797664434935","0.06574492702472812","0.0496548674546187","0.04930905749850878","0.08441721899084412","0.0689881338641354","0.055715201017653336","0.06484162806247622","0.051856076258168585","0.04310034151887413","0.079640078150634","0.05863719697839613","0.06306359827900715","0.05849207056145828"
"103138","0.04956477168401728","0.03109260779939243","0.030761776724874568","0.02405968601859859","0.023443931719582284","0.040584758264355494","0.03663198385764344","0.03280392028622084","0.03661568647399359","0.0327278884375288","0.027012341731524316","0.04157462569066169","0.03208454873348807","0.02930956550806948","0.03163253372477984","0.0285553706516285","0.01307037572639387","0.04353770465594088","0.03602863184820618","0.031140560089334485","0.031249235151769823"
"120388","0.028212798460458294","0.017575057782539573","0.017552500272793377","0.013314346933309532","0.013046394667142818","0.02304193077999117","0.019764842424784382","0.018965727266415138","0.021021535775576524","0.019256812387783255","0.015264668829172011","0.023598785822696165","0.01984263309823574","0.018111121030860617","0.020521798648930677","0.018287692567132165","0.01040534079298476","0.022996815760500396","0.020514854824470897","0.018770843873067305","0.019132180658473375"
"137920","0.038910215800349035","0.02614953796493502","0.02542341462882065","0.01967492874097379","0.020864373479077075","0.03233172665040576","0.02903217116197255","0.027407835849448926","0.028573790406018578","0.026313135264729108","0.022341525556256077","0.033763692665635406","0.02681233005314875","0.0252495948670251","0.026376024255312006","0.024370425227125618","0.011443193285856638","0.03380267448921471","0.029687040526236625","0.026003517234540287","0.025801847897650197"
"155976","0.015024087974414983","0.008394075480188227","0.009648471485749932","0.006743655178126145","0.006906278408381021","0.01181872310176631","0.00976274314313273","0.010182790562603513","0.010155103516455271","0.0102431048446518","0.007765526405735572","0.011908709055017756","0.010217002445277972","0.010123257917499826","0.010372508504759636","0.010224763855876609","0.005351315518182674","0.010515743474865408","0.01050601881209607","0.009831969918311438","0.009779881143797664"
"174115","0.37611436471349136","0.146378224565005","0.14548953169329185","0.13333891699567862","0.11301589859503748","0.14039803737802642","0.1485970730300648","0.10732361634726645","0.16227423274118508","0.1067021335244496","0.09764061287408769","0.22350663890385453","0.15980407706302252","0.14040189646617787","0.16466445016475423","0.1384020830594513","0.08741212092940412","0.23313408847066833","0.12194167263906477","0.13208085425793184","0.1346645773874405"
"188415","0.3711151267033005","0.13773949906302776","0.1333666170430871","0.13905498096674573","0.10041598923951861","0.13661727161726905","0.154577448695091","0.10066476007652464","0.1661451946746013","0.09734314704902929","0.1065765280471163","0.2178408519584899","0.16674284865461145","0.1339603370485719","0.17142615554380042","0.1269828211004683","0.10316038536626772","0.2350347691523893","0.11498818175288737","0.13827778430719473","0.14270505638152572"
"205551","0.12169752405023598","0.0524027359283181","0.04795021184844228","0.04537213694338915","0.026033489391155164","0.06790888365439698","0.07094579547652914","0.053291228176306736","0.06485743300994411","0.04896451882916664","0.048602594401521836","0.08329213350708523","0.06843622453991238","0.05505641530797001","0.0640205477344767","0.051415440754209125","0.042836008944377044","0.07822685458465332","0.057724263218222105","0.062174539562385514","0.058250597170110475"
"223517","0.04918835796718629","0.03108276807133676","0.030758722272743642","0.023983670192032853","0.023469842016342286","0.040337750589164875","0.036160843893796035","0.03266795585751205","0.036281484474372704","0.0325104959173457","0.026611995855589703","0.04138410653655872","0.031853226861238114","0.028994807581221853","0.03133852571560463","0.028592168717425908","0.01284316923600833","0.04291203909112134","0.03571649252892167","0.030663227092075862","0.030846837475037307"
"240796","0.03194120614856472","0.0187813637193114","0.019425972316764684","0.014189304511885152","0.013625252233619514","0.02559736802558751","0.021562426918048383","0.020610870625836976","0.023091903845282646","0.0214879059022644","0.01644945484599189","0.026291885585937903","0.021716095027784894","0.01994354650291661","0.022008522434485416","0.020041698382054392","0.011123416479038039","0.026114537224111903","0.023324412838815107","0.02054499922382316","0.02095019757518901"
"258373","0.10929103595920696","0.047276948155514864","0.045742995499236834","0.028521369124200068","0.03240001400996846","0.06271331876549448","0.05815848767802672","0.05281362615986094","0.058953696951432585","0.05220763305173291","0.03669539846870623","0.06813923244188311","0.05258178030257399","0.04961389547712109","0.05257790317739654","0.04761920021272925","0.021998646319650768","0.07445039812049013","0.05651507552547959","0.05253048391227682","0.05106076073935709"
