"points","all_attributes","Airline","Flight","AirportFrom","AirportTo","Time","Length"
"17612","0.0394682275408697","0.014672293523430599","0.004928625876705908","0.011026341860210282","0.010619295963283405","0.0031663921523406025","0.005468450845554432"
"35659","0.017882685837647527","0.003999293404475109","0.0025082736006784706","0.004986767676144409","0.0050604910160771555","0.0018243036725922313","0.0013287123802488282"
"53799","0.37962772602347256","0.03566817694283236","0.04765129136603796","0.04529353327486192","0.04667966380803167","0.05822112302374176","0.024944944631143107"
"68078","0.37231186987022136","0.03201551190400146","0.04733140068790079","0.038306298039910425","0.038616426267596135","0.080978449094381","0.018141214115359836"
"85189","0.12378302657730572","0.013646262511736298","0.005747226867529792","0.01960291202153136","0.018034523032305037","0.03715871844751957","0.007875227774677349"
"103138","0.049564771684017246","0.01892213445341509","0.0035303214179305403","0.012729826295276218","0.012666070775409535","0.003858129434363533","0.007581587444619647"
"120388","0.028212798460458245","0.008555466277812483","0.002836135662490427","0.007599797637115731","0.008227201936335044","0.006135047466000049","0.0029778888789691454"
"137920","0.0389102158003493","0.01677891410109405","0.004156410087672091","0.01110043122868383","0.011350256069514156","0.0031077674436141983","0.005768374831221973"
"155976","0.01502408797441476","0.0036450661866959926","0.0016803606609649135","0.004314110772073377","0.004523616952659887","0.0016049021631142912","0.001349890056657213"
"174115","0.37611436471349197","0.035074912958478775","0.04712078097766392","0.04486953313514869","0.04641096320295838","0.0580258855759159","0.024315775189031705"
"188415","0.3711151267033005","0.030761705614646796","0.04733960483960484","0.037751284663049445","0.0380785391079509","0.08135460944284473","0.017305864070569943"
"205551","0.1216975240502357","0.013589140988689807","0.005780578586401339","0.01970524285264221","0.01800626647928087","0.03743395944596252","0.007913186054413615"
"223517","0.049188357967186194","0.018625200289424004","0.0033684270042215747","0.012543241245398368","0.012261384698996442","0.0038654142689816956","0.007261028971797895"
"240796","0.03194120614856484","0.008862383732867955","0.002978038643807343","0.008224403103636833","0.008674489229852906","0.00666329763057906","0.0031851124388712765"
"258373","0.10929103595920653","0.02380750427885917","0.0054899531961856846","0.019272937009487016","0.01976727825498027","0.006114397683169515","0.014333208602012273"
"276642","0.15039405796313488","0.008821611055644633","0.014107312927116034","0.008454853382122063","0.0093397370798841","0.009766878337607116","0.0029090237894445203"
"295227","0.35802049486337906","0.0354012006941371","0.05414688753924145","0.03780029344347276","0.038248533380078546","0.03365586130802303","0.02886421906496675"
"311213","0.28786156722595896","0.02045402991062941","0.04609367346382506","0.025131899539261877","0.027571391660957692","0.043836556622413786","0.013024514613459062"
"328765","0.10878413745061838","0.014115897601983951","0.007907889689481418","0.017382485566033938","0.017451429515808803","0.02543996000281097","0.008055233292151812"
"347094","0.014891509324653784","0.0015347556819479248","0.0012089491511378947","0.003364032290998284","0.003204198286648493","0.0018545548047119859","0.0017416000381494101"
"365403","0.13318063173566022","0.008195332261105479","0.013191486610717784","0.007023356515434354","0.007230937717553939","0.007799464112366525","8.05941796220469E-4"
"383939","0.00791475048232989","0.002157910581465863","0.0010095946886149315","0.0028398882196844586","0.0023990004913790894","5.247736393751978E-4","9.922654342463533E-4"
"402506","0.318533823208167","0.03862732423435759","0.04283258568074173","0.038105030723992406","0.03886157376118742","0.09261527317886804","0.018275432329784333"
"417527","0.2503532369671407","0.027788321698798267","0.009017061334061438","0.02997158990962791","0.0326963556003875","0.06999548141461656","0.020832164966961636"
"431918","0.36167866331771764","0.04631778065568266","0.05822803691220485","0.039390377651223746","0.040828088689895264","0.05715038298272704","0.030839802469955713"
"449998","0.20208537852461703","0.012230542319037906","0.03677649493031421","0.015064207062926212","0.014156858705647703","0.014519544265701692","0.006402299571256237"
"468523","0.006690771731135542","0.0017849272158052543","7.921235782804154E-4","0.0023263196115064265","0.0019850529344239832","7.25593950451589E-4","2.531236000164194E-4"
"487025","0.005728312315626231","0.0010937973449860602","0.0011359186426419532","0.002137709205587543","0.0019153687393227473","5.932440852931264E-4","2.7722765377169445E-4"
"505514","0.0072936395706098365","0.0019742081652389326","8.662795852040356E-4","0.0026064492873184306","0.0023091300129401858","3.1372984869883214E-4","5.785962259700628E-4"
"524020","0.297121230049937","0.044075760064418684","0.05120076285804706","0.03481357263942765","0.0357005377814665","0.07308875421929338","0.025857419861872316"
