"points","all_attributes","Airline_Flight","Airline_AirportFrom","Airline_AirportTo","Airline_Time","Airline_Length","Flight_AirportFrom","Flight_AirportTo","Flight_Time","Flight_Length","AirportFrom_AirportTo","AirportFrom_Time","AirportFrom_Length","AirportTo_Time","AirportTo_Length","Time_Length"
"17612","0.3756331609199259","0.1495698869977813","0.19070499608337324","0.19067834959216742","0.1509220366804336","0.15050527169792124","0.1728601038052603","0.17305957337674338","0.1458865159651623","0.14617408217411607","0.24537910540446636","0.18017465805188942","0.17266969802788826","0.17523072445860274","0.17442247396317473","0.14611896284705836"
"35659","0.31912579351228143","0.037124358651052555","0.10699070281992404","0.10185116465478573","0.044807622777668185","0.04162925243866159","0.08861859768235261","0.08315893950251389","0.023961483982954803","0.02978475370274875","0.18906846695111554","0.0877583000270533","0.09047679524382175","0.09171566610869993","0.08264342298653136","0.018410121131055796"
"53799","0.3836427136465079","0.06287176775650145","0.13543267824869645","0.13782109110802856","0.07548160514312184","0.07004736328415628","0.11803246953169996","0.11986978493237474","0.04973945727154721","0.06087277543968589","0.23146229722417896","0.12948457640874542","0.12143396098254229","0.12517860890966243","0.1196002208151648","0.03827134799357016"
"68078","0.407498873368859","0.07740600679799893","0.15818788726632046","0.15590668830807716","0.08298506064057151","0.07673177043040552","0.1409312294301572","0.14088434574099992","0.0633853229212846","0.06659122713547201","0.24899447173426187","0.14574688047052758","0.1370784233452421","0.14289854143365638","0.1346425865733279","0.06000236555933512"
"85189","0.3900533907917251","0.04354121461562214","0.12955715423011085","0.12273527646187742","0.09379217485106231","0.049987947345588646","0.10435944642418689","0.10258025930614142","0.06179493864898416","0.026385879879875257","0.21902900197805658","0.13655121130615216","0.10466969142268542","0.13440933196829705","0.10370078315122701","0.06179969677321944"
"103138","0.36906168225433683","0.15264572000688054","0.19016381520474446","0.18840957863917293","0.15807067091523672","0.15314495996529753","0.16569443125536484","0.1619063940063117","0.14094099169758068","0.14083427783293284","0.24036323563328985","0.17461112488343136","0.1666657682239836","0.16776258864653334","0.16546924575118416","0.14088541971725155"
"120388","0.3275609646295017","0.070268575457044","0.1248761918000154","0.12684608314568846","0.08255338164883633","0.07372231565653754","0.1044713308329343","0.10826495407270192","0.061935315737854865","0.05110445729706229","0.20038869148967065","0.1151417680989682","0.10393989860294219","0.11846504531509264","0.10652197307970644","0.055534535523656565"
"137920","0.3347168368969515","0.07364216982890061","0.12797034134027443","0.13261232625505046","0.07700843452415075","0.07510313006667269","0.1095551280895947","0.1128207597161925","0.06209816283438964","0.060802369238564226","0.20318113485618738","0.11585250155853212","0.11142035742651611","0.11732087309542544","0.11219940685634101","0.06257867689152463"
"155976","0.3408736461162961","0.046272026406632985","0.12036426524007456","0.12182801008238923","0.06247491531961856","0.053796404237575667","0.09726543693247854","0.09951231914987431","0.0372523430316234","0.026967324927727798","0.20409295149307555","0.11609778011554903","0.1010767180681304","0.11623895751073794","0.10512089249214175","0.04968394833993775"
"174115","0.3958731639292112","0.07299153386885551","0.14855313042470134","0.15572829850929798","0.0779848686118935","0.08286881873029425","0.13009636497780533","0.14001702731345367","0.056904802990625517","0.062318122161198676","0.24086134935479228","0.13658908520718466","0.1257369927513304","0.14213504406722666","0.14012916376251822","0.05603306574337156"
"188415","0.4454849530915368","0.1557572460437876","0.23219046810055533","0.2281645917702042","0.15364548178738807","0.15225992860876844","0.2073558372215082","0.2085831786001666","0.12577586096409862","0.13973396492999463","0.302412805659494","0.21534624114029427","0.20876932401948162","0.2147564807720478","0.2073212499965461","0.12347787217945022"
"205551","0.42104460213805867","0.12901938843863603","0.1849714871876802","0.1786394190887098","0.13948177306160947","0.12075900499699323","0.1518827009950548","0.1411355499066948","0.0998484385352385","0.07336560543939182","0.25928022294768793","0.17283177698293758","0.1552507193668662","0.15797481827267268","0.14658382977946982","0.09192202188308095"
"223517","0.38397215813442925","0.11629388158560393","0.1720777569318509","0.17017842509451456","0.11483697536112131","0.11799640487801807","0.1471461314676952","0.14331226062636473","0.1029274685494656","0.10330049565426826","0.23831140131912468","0.15372350663516046","0.1508925989698454","0.1505585423930982","0.14612236396183087","0.10254492907906472"
"240796","0.35945016444465455","0.0630952089199358","0.1434846348125901","0.13531570749637897","0.07973606816539404","0.06493463017739613","0.11881440077066066","0.11178380591689363","0.05519367622253522","0.04260858452093187","0.2150513640863538","0.13539297539433523","0.1126281508707756","0.11823103222897885","0.10854801843755366","0.04092259804659134"
"258373","0.3776115494613448","0.10335841191761112","0.1724608014835918","0.1539230689805059","0.10795079429013368","0.1091219492535346","0.15334946201162036","0.13581551190735897","0.1008100513509118","0.10143218547660399","0.23217791898413662","0.16158608345220732","0.15349621833749066","0.14560857016212184","0.13703680855992464","0.10060638720188018"
"276642","0.4047040115612205","0.07622679673882711","0.15384279107621426","0.14442854337970865","0.08255538769026713","0.0784914325922198","0.1322261396710486","0.11694358685719007","0.04178413944430458","0.03801522325797386","0.22834144884750932","0.14293402215430268","0.12931639768732134","0.1240998417152177","0.11959070740698952","0.04160136052525999"
"295227","0.4204628339659166","0.06661113454343241","0.15055426358147664","0.13303259593200484","0.07333331401982492","0.06724624425562158","0.13240628287575715","0.11451187768909116","0.05548106145681432","0.04921676269656316","0.22950758534753202","0.1357021555627155","0.12120411451899636","0.11865809227296417","0.10448243152839684","0.03450316489868332"
"311213","0.408049193511499","0.08481941085036827","0.1539574987121093","0.14866710044825365","0.10317669716140099","0.0901456762994861","0.1315912426615676","0.12389966930955684","0.0804740547127521","0.07773471065627995","0.2325468259935073","0.1476296212694007","0.1314969145836943","0.13945954337314379","0.12566154623740905","0.0805948390703936"
"328765","0.3702208122918468","0.05025987839070077","0.14009634997302362","0.12768363164394736","0.06883935032033756","0.0575880276081336","0.11291221437458403","0.10496723359547683","0.04315121973554761","0.0394649756113781","0.21650678563938805","0.12731170029136077","0.10981437853080953","0.1154137124412288","0.1098432039072184","0.04269745803648395"
"347094","0.334331899910919","0.06242697532162607","0.12868373851737816","0.12977003359440453","0.07082347669002739","0.0665841928436204","0.10682611087043878","0.1086431950842262","0.05429694439060967","0.056459031206761455","0.2056381954940668","0.12500089558071395","0.11059328203464909","0.11700989246231433","0.10985261106582869","0.05840702779516489"
"365403","0.37494586917259587","0.04497876144151417","0.1231300706307467","0.12180184434053418","0.051670466653636234","0.0546458605536739","0.10316548996560435","0.1020726329193013","0.027329796447648994","0.04226885906322727","0.1994327368630884","0.11230796277279459","0.10408466880701027","0.10648948031041731","0.10144126762815184","0.03449944272863681"
"383939","0.35668260669438845","0.08510548429057711","0.15219077207911563","0.14014342504035626","0.08722545925793065","0.08493400600642993","0.1317406245484512","0.11626029745838287","0.07671304687893254","0.07683355188772413","0.22117127456509866","0.14748721596079045","0.13569017672350597","0.13130493245272656","0.12345496431775235","0.07670677129789975"
"402506","0.4136117828964345","0.10956002022015035","0.19094855616422796","0.18027837147355752","0.11656051134874806","0.11832653227609694","0.1696331224881343","0.15657657552745613","0.09342812877339829","0.09910810980983362","0.2648944782959445","0.17305974884748285","0.16632105507121922","0.16004158927902487","0.15249009560492863","0.09083304845174245"
"417527","0.3980339126223272","0.06344585236424183","0.15082914577516754","0.1469991881513053","0.0738317202038098","0.06727403573801963","0.11918839373236043","0.11978057912485253","0.042189839000606036","0.03472105217561405","0.2400960546910447","0.12932124098421438","0.11528146878444694","0.13115453564207263","0.12008257985505821","0.04021600534916445"
"431918","0.4469500178228988","0.11180195256301426","0.1979967998922607","0.20206985362032617","0.14298428033626562","0.11781183938208445","0.16597160853511259","0.17550088182494936","0.11425112592156494","0.10646085017620974","0.28457663145740786","0.1985651020028081","0.1684504055747183","0.19211962925698323","0.17429440307388006","0.12476905682608906"
"449998","0.4135850089222794","0.07191634964179923","0.16140372814168988","0.15379469647714183","0.10891830710988581","0.08184112260507091","0.14000346087832638","0.13325966751093615","0.0738638462197697","0.05431576593298128","0.2388758755942239","0.1627009676326595","0.13131998981673726","0.14812979869790896","0.13489646615292814","0.060629958327733664"
"468523","0.3784378589993535","0.11942457504779265","0.1822174248540328","0.173668184501148","0.12120139969075529","0.12397429367080547","0.15628665872981354","0.14856302549848066","0.10078008750547364","0.10564055902508701","0.24675054950413206","0.16394121376884283","0.16064709339110705","0.1502348540626908","0.15205600847544093","0.09624666898894718"
"487025","0.36253411927907625","0.07491396949717383","0.15083687688888453","0.1364371184237515","0.08379248255971421","0.0765504951395188","0.11943620064910727","0.10886851130709908","0.0413432508782623","0.04865822657988711","0.21957560659617234","0.13239297887117918","0.11655477918601367","0.12248252737399118","0.11175931165110706","0.03914568678294406"
"505514","0.3532684577006441","0.06911944531297254","0.13764355113079013","0.13426398291450142","0.08775328655193837","0.07347480758592813","0.10836170317949184","0.10353444753212514","0.036279429265085636","0.03452132905220702","0.20226833368388883","0.13313794293316084","0.10781429186033104","0.11343232740525633","0.0996555505336153","0.03497806733883061"
"524020","0.3903429074821237","0.06949950526184233","0.1526783261068273","0.14094106667211953","0.07964785756540468","0.0794585618439081","0.12873076269152997","0.11682774906648012","0.06912409098271977","0.0721134034780756","0.22544739679504613","0.1415238559568773","0.1268826776393711","0.11975647352769891","0.11144657307735656","0.06142827481540183"
