"points","all_attributes","Airline_Flight_AirportFrom_AirportTo","Airline_Flight_AirportFrom_Time","Airline_Flight_AirportFrom_Length","Airline_Flight_AirportTo_Time","Airline_Flight_AirportTo_Length","Airline_Flight_Time_Length","Airline_AirportFrom_AirportTo_Time","Airline_AirportFrom_AirportTo_Length","Airline_AirportFrom_Time_Length","Airline_AirportTo_Time_Length","Flight_AirportFrom_AirportTo_Time","Flight_AirportFrom_AirportTo_Length","Flight_AirportFrom_Time_Length","Flight_AirportTo_Time_Length","AirportFrom_AirportTo_Time_Length"
"17612","0.3950840797366955","0.3166587971818786","0.28012686132172554","0.2507886893763407","0.27862996236101345","0.24769582391430256","0.18181623975482541","0.3822238116963383","0.29569675307520804","0.3016224159741636","0.2985487800855565","0.3847761505869599","0.31354747296536883","0.2947902825616","0.28949203483508495","0.36169684298099336"
"35659","0.32785867710734057","0.2568208950181778","0.2063839647169185","0.18336973426425326","0.21734936688957654","0.18467544838361988","0.10141372255428326","0.314091497828","0.23313149195331695","0.22653275359839034","0.2330235110100233","0.31940724846294827","0.2544527308915429","0.22406683540816807","0.22929223333245402","0.29784875691181806"
"53799","0.5801473903317579","0.42164413580884247","0.3572165792233045","0.3105961113741012","0.3718362437401565","0.3135703907628123","0.21179176704782207","0.5057425214767399","0.34164998784267214","0.36219251824539955","0.37652614038407717","0.5549450535024848","0.4193429406859457","0.38317371568162406","0.38709235457531266","0.4673814399492612"
"68078","0.5941288285336683","0.43618609623849947","0.37265581739434406","0.31696942154009794","0.3870389599153675","0.31694750427854973","0.22308186910848438","0.5261635846528206","0.3546944680737474","0.37832984646957796","0.3912830135300314","0.5712318633483292","0.4289838098723437","0.39414160562188494","0.39611879227790237","0.48093722335974687"
"85189","0.45052130654716527","0.3341783368776372","0.28921992984758954","0.23280258878280113","0.29384001428809703","0.23347044966548866","0.15274037678799252","0.4225191754693183","0.298811264804163","0.31676333941302925","0.315319104946915","0.43325250672337573","0.32853903988690153","0.3036198032491163","0.3022578674304597","0.38851485321440216"
"103138","0.39469006629901165","0.3136495432711472","0.27611367473540976","0.24360426038024086","0.28153827147932026","0.24489768353328115","0.18763923871258353","0.38296201556587806","0.2903454279879824","0.29496642419220687","0.3025403861665956","0.3849419829614269","0.30553053942691855","0.2820921887376425","0.2868767692035521","0.36004249722040393"
"120388","0.34194540170030674","0.2698866966243112","0.22259371683083642","0.19292702040492152","0.23533273814837805","0.2034595720620142","0.1303235028618473","0.3293164300806971","0.2452776240216591","0.24283615550198775","0.25382765427689963","0.3346357765676227","0.2660402543423712","0.24203715938060813","0.24911212292552995","0.3134594331855613"
"137920","0.35541653007226626","0.27911430466384585","0.23100072671724145","0.20193657403322807","0.2424634045969265","0.20505500619616143","0.12925358033834147","0.34299253641491134","0.2546624156388046","0.25005643203376454","0.2606725662276716","0.3471316605594149","0.2732302984979267","0.2468059923794454","0.251921873399996","0.3242569874886903"
"155976","0.3484048395978544","0.2706775977697501","0.2264405923068753","0.19419666383672704","0.2353024194863127","0.19806411489397993","0.1158276095321894","0.33773881726059546","0.2488700491451646","0.24522196632838097","0.256548923767734","0.3387412910682421","0.268488000639356","0.2390223365702635","0.24397641869729667","0.31976538409889604"
"174115","0.5879975997318904","0.43181970849038137","0.3641183255797988","0.31145983791829","0.3807864482394253","0.3205666922525536","0.21777148261077925","0.5175304380276392","0.34975259428259886","0.37245777266999824","0.3866021364929521","0.5625760049531202","0.4250849635506652","0.3827918170367906","0.39589791651644657","0.4770153981857497"
