"points","all_attributes","BranchNumber","ConsumerID","Date","ConsumptionTime"
"585000","0.9321999999999993","0.24479999999999993","0.2448","0.8132","0.4302"
"590000","0.45819999999999966","0.27719999999999995","0.27720000000000006","0.2772","0.45799999999999996"
"595000","0.8283999999999988","0.10440000000000008","0.10440000000000003","0.6528","0.18719999999999998"
"600000","0.5191999999999994","0.07000000000000002","0.07000000000000002","0.34720000000000006","0.17919999999999997"
"605000","0.24579999999999969","0.08560000000000002","0.0856","0.02319999999999997","0.187"
"610000","0.33099999999999985","0.13019999999999998","0.1302000000000001","0.1586","0.16840000000000002"
"615000","0.9213999999999972","0.0922","0.09220000000000005","0.9184","0.152"
"620000","0.23139999999999994","0.08700000000000002","0.08700000000000001","0.027199999999999988","0.1708"
"625000","0.7801999999999986","0.08440000000000003","0.08440000000000003","0.6048000000000001","0.17059999999999997"
"630000","0.6093999999999986","0.08259999999999999","0.08260000000000006","0.39520000000000005","0.1898"
"635000","0.2893999999999997","0.14500000000000005","0.14500000000000007","0.08580000000000006","0.1966"
"640000","0.4970000000000001","0.31560000000000016","0.3156","0.2986000000000001","0.48340000000000005"
"645000","0.9459999999999993","0.22700000000000006","0.22700000000000004","0.8032","0.4326"
"650000","0.4621999999999995","0.06540000000000001","0.06539999999999999","0.23399999999999999","0.23540000000000003"
"655000","0.5466000000000002","0.07020000000000001","0.07020000000000001","0.3257999999999999","0.2674"
"660000","0.9847999999999976","0.09200000000000005","0.09200000000000004","0.7312","0.2902"
"665000","0.34419999999999945","0.06800000000000002","0.06800000000000002","0.020599999999999976","0.27079999999999993"
"670000","0.9851999999999984","0.10640000000000006","0.10640000000000005","0.7343999999999998","0.29640000000000005"
"675000","0.5225999999999993","0.08359999999999998","0.08360000000000004","0.26560000000000006","0.2308"
"680000","0.23339999999999983","0.10340000000000006","0.10340000000000006","0.044000000000000025","0.15460000000000002"
"685000","0.3543999999999993","0.10640000000000006","0.10640000000000001","0.19980000000000003","0.1216"
