"points","all_attributes","BranchNumber","ConsumerID","Date","ConsumptionTime"
"1175000","0.36160030773929563","0.1027301584402994","0.1027301584402994","0.13752555717652337","0.17245305401764993"
"1180000","0.8742011782736565","0.07068260429629303","0.07068260429629303","0.8709601975086974","0.16623232761691814"
"1185000","0.2369964273397706","0.07927223890598847","0.07927223890598847","0.0","0.1862248789369505"
"1190000","0.7682687000405729","0.09319382557707885","0.09319382557707886","0.5955732187489488","0.18291124214688986"
"1195000","0.5105931173806605","0.08932156104257785","0.08932156104257785","0.40049258035120666","0.09847781264885658"
"1200000","0.2435367844846782","0.09688346635966863","0.09688346635966863","0.0","0.18090680856516256"
"1205000","0.3357498081071155","0.0924373580341817","0.0924373580341817","0.08540867830036503","0.1949315347033699"
"1210000","0.9239529170173607","0.09104375856965208","0.09104375856965208","0.9216857561651535","0.19305767126357112"
"1215000","0.34823772118412366","0.32266509484716377","0.3226650948471637","0.02415","0.15406731910388488"
"1220000","0.7670301542068969","0.13946324645772115","0.13946324645772115","0.5650566553597445","0.2758177262405795"
"1225000","0.6023970111276004","0.10824299665431666","0.10824299665431669","0.385125904089806","0.19928952811770578"
"1230000","0.33919732188916635","0.11346258357147522","0.1134625835714752","0.07546640522875818","0.2145301875455557"
"1235000","0.9287492810457507","0.09179829846933706","0.09179829846933706","0.9287492810457516","0.20982510901998838"
"1240000","0.2889913723058607","0.08543233518184794","0.08543233518184794","0.0","0.25181026154610986"
"1245000","0.27593689977522684","0.06973153762973354","0.06973153762973353","0.0","0.2358764696349128"
"1250000","0.5782908104241168","0.09818390094926491","0.09818390094926492","0.2795180588261581","0.2657753770163559"
"1255000","0.9882126709461347","0.09770329148237027","0.09770329148237027","0.7365134734433688","0.3390022201750718"
"1260000","0.3457470639221785","0.05679938298969773","0.05679938298969773","0.0","0.28419646105751123"
"1265000","0.9690135060992561","0.1592485213926543","0.15924852139265427","0.6605360133699714","0.3568558921683504"
"1270000","0.546562805903472","0.09651688032989215","0.09651688032989217","0.30509081318006787","0.2861613246678265"
"1275000","0.18932492691230263","0.07579429485627567","0.07579429485627569","0.0","0.13809760551557512"
"1280000","0.42763982531903466","0.07682379792201233","0.07682379792201234","0.22568361861689418","0.156598692729584"
"1285000","0.964269838980208","0.10077709606476586","0.10077709606476588","0.793156199146003","0.22364914931172492"
"1290000","0.3664506586842386","0.11860879211019454","0.11860879211019454","0.0","0.2877776156696111"
"1295000","0.9932039038970839","0.09466550581754854","0.09466550581754854","0.7536097391533829","0.2929312694698263"
"1300000","0.5428561757971069","0.0751368525717168","0.0751368525717168","0.26096575559405993","0.2756994945891369"
"1305000","0.5432711912666314","0.10869183276937561","0.10869183276937561","0.2235180688026539","0.2515885387582298"
"1310000","0.9538869076110539","0.0849869257091389","0.0849869257091389","0.7897422062080448","0.28338127695615994"
"1315000","0.3011713469531173","0.08021527075844345","0.08021527075844345","0.0","0.22606791625457587"
"1320000","0.3969939259116545","0.18084571379891673","0.1808457137989167","0.0","0.2947795106559852"
"1325000","0.6729226669109772","0.038779559456737736","0.038779559456737736","0.4121185424943226","0.29346475779274794"
"1330000","0.7577975645344875","0.1520935588963648","0.15209355889636478","0.5390159435388744","0.2673276105290418"
"1335000","0.24476394690206277","0.08607451396928818","0.08607451396928821","0.0","0.1736014984825347"
"1340000","0.9033142043038812","0.12247947465575333","0.1224794746557533","0.8782065609056122","0.17368247960851396"
"1345000","0.32050727950213437","0.08251051657962781","0.08251051657962782","0.12850317283163265","0.1284090579311449"
"1350000","0.713485386344274","0.0844099117860378","0.0844099117860378","0.5481571402857138","0.17418996816947685"
"1355000","0.6150929625548587","0.07133018642048754","0.07133018642048754","0.452398551255997","0.15513145034869674"
"1360000","0.3156859039008576","0.16486205925177883","0.16486205925177883","0.01955","0.2500130141360552"
"1365000","0.3429315721754909","0.26133019281511166","0.26133019281511166","0.029200000000000004","0.1907764873580336"
"1370000","0.9006569737762776","0.09539879183808936","0.09539879183808933","0.8672036565287071","0.18989530779465388"
"1375000","0.4940942251857072","0.15606629372807967","0.15606629372807967","0.15250120782999474","0.2519349641747134"
"1380000","0.6282320202984951","0.07875175983219448","0.07875175983219448","0.33443304170593197","0.25755165536106395"
"1385000","0.8619591571567309","0.21763800823609822","0.21763800823609822","0.6424133444325204","0.2469022215877239"
"1390000","0.33976226448083696","0.11748943194652241","0.11748943194652241","0.0","0.24964779272659843"
"1395000","0.3343439437513809","0.13282547217969087","0.13282547217969087","0.0","0.26859899262289655"
"1400000","0.7554028379825318","0.08400084777651073","0.08400084777651075","0.5272033382300365","0.24939842532611062"
"1405000","0.7452556816842397","0.06674366317605587","0.06674366317605587","0.47536492964821786","0.26053584251374146"
"1410000","0.3578095477868799","0.10331325649307747","0.10331325649307749","0.0","0.30374660925764063"
"1415000","0.9907479861910243","0.12222088170211293","0.12222088170211293","0.9907479861910242","0.24408040761013033"
"1420000","0.22312169946813798","0.0826246372175447","0.0826246372175447","0.009805753739930959","0.1378872530636175"
"1425000","0.7581019221155468","0.06420823950501564","0.06420823950501564","0.6284633236166522","0.1244700911206317"
