"points","all_attributes","BranchNumber","ConsumerID","Date","ConsumptionTime"
"183859","0.04838183904379716","0.044329817313731194","0.04432981731373121","0.014880968568305073","0.014774998833974746"
"367718","0.1684022204037252","0.03380508388670062","0.03380508388670062","0.13930469334917256","0.01915995175701599"
"551577","0.15553986061363584","0.05070584780564485","0.05070584780564484","0.1383273216064801","0.02304036589504467"
"735436","0.06004978893778354","0.033071546399873405","0.033071546399873405","0.04411463908297","0.01868537148181036"
"919295","0.2952067645688811","0.037637553672223434","0.037637553672223434","0.2725352736800205","0.009784671949700575"
"1103154","0.05134840611379929","0.04436919510732022","0.04436919510732023","0.010323128049211625","0.018699111819383323"
"1287013","0.1766636323443058","0.03825941754140041","0.03825941754140041","0.15726320448157444","0.017943097699867842"
"1470872","0.13086038438694034","0.0413513634688527","0.04135136346885271","0.11382622733100241","0.017720100729363263"
"1654731","0.06833418625116618","0.034167206403513097","0.03416720640351311","0.03673870181414975","0.008582663889175963"
"1838590","0.2584565984394015","0.04170867868712945","0.04170867868712944","0.2351723549256427","0.027967083471573326"
"2022449","0.03342024597782981","0.02629326114042979","0.026293261140429788","0.014516558884797635","0.016590381789608494"
