"points","all_attributes","BranchNumber","ConsumerID","Date","ConsumptionTime"
"42336","0.020408163265306138","0.020408163265306145","0.02040816326530615","0.0","0.016298185941043083"
"84672","0.04062736205593347","0.027210884353741485","0.027210884353741485","0.0","0.029761904761904753"
"127008","0.03439153439153442","7.086167800453291E-5","7.086167800453291E-5","0.0","0.034391534391534404"
"169344","0.04109977324263037","1.4172335600906583E-4","1.4172335600906583E-4","0.0","0.04109977324263038"
"211680","0.04743008314436883","2.1258503401359874E-4","2.1258503401359874E-4","0.0","0.04743008314436886"
"254016","0.04072184429327285","0.008172713529856396","0.008172713529856396","0.0","0.037816515495086925"
"296352","0.03944633408919125","0.03944633408919124","0.03944633408919122","0.0","0.020290060468631896"
"338688","7.086167800453552E-5","7.086167800453291E-5","7.086167800453291E-5","0.0","0.0"
"381024","7.086167800453552E-5","7.086167800453291E-5","7.086167800453291E-5","0.0","0.0"
"423360","0.26284958427815625","9.448223733937722E-5","9.448223733937722E-5","0.26284958427815575","0.0"
"465696","0.737150415721844","9.448223733937722E-5","9.448223733937722E-5","0.7371504157218443","0.0"
"508032","9.448223733938069E-5","9.448223733937722E-5","9.448223733937722E-5","0.0","0.0"
"550368","9.448223733938069E-5","9.448223733937722E-5","9.448223733937722E-5","0.0","0.0"
"592704","9.448223733938069E-5","9.448223733937722E-5","9.448223733937722E-5","0.0","0.0"
"635040","9.448223733938069E-5","9.448223733937722E-5","9.448223733937722E-5","0.0","2.3620559334858182E-5"
"677376","0.007369614512471633","0.007369614512471612","0.007369614512471612","0.0","0.004109977324263034"
"719712","0.04353269085411943","0.038099962207105056","0.03809996220710505","0.0","0.02995086923658355"
"762048","0.03750944822373397","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.03750944822373396"
"804384","0.04024943310657593","1.653439153439136E-4","1.653439153439136E-4","0.0","0.040249433106575985"
"846720","0.04284769463340886","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.04284769463340894"
"889056","0.6282123960695389","2.3620559334844998E-4","2.3620559334844998E-4","0.6282123960695389","0.03491118669690102"
"931392","0.3717876039304606","1.6534391534391013E-4","1.6534391534391013E-4","0.37178760393046106","0.04705215419501137"
"973728","0.03604497354497353","2.125850340136022E-4","2.125850340136022E-4","0.0","0.03604497354497356"
"1016064","0.041713907785336325","2.125850340136022E-4","2.125850340136022E-4","0.0","0.041713907785336374"
"1058400","0.0413832199546485","9.448223733937722E-5","9.448223733937722E-5","0.0","0.04138321995464854"
"1100736","0.03637566137566138","2.125850340136022E-4","2.125850340136022E-4","0.0","0.036375661375661394"
"1143072","0.04672146636432352","1.653439153439136E-4","1.653439153439136E-4","0.0","0.04672146636432353"
"1185408","0.034580498866213116","1.6534391534391707E-4","1.6534391534391707E-4","0.0","0.034580498866213186"
"1227744","0.043178382464096665","2.8344671201814553E-4","2.8344671201814553E-4","0.0","0.04317838246409676"
"1270080","0.039918745275888096","1.6534391534391707E-4","1.6534391534391707E-4","0.0","0.03991874527588815"
"1312416","0.03732048374905519","1.6534391534391707E-4","1.6534391534391707E-4","0.0","0.037320483749055194"
"1354752","0.8527021919879051","2.5982615268329776E-4","2.5982615268329776E-4","0.8527021919879063","0.04525699168556313"
"1397088","0.14729780801209388","1.889644746787579E-4","1.889644746787579E-4","0.1472978080120937","0.03311602418745277"
"1439424","0.04412320483749052","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.044123204837490576"
"1481760","0.03845427059712775","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.03845427059712775"
"1524096","0.03878495842781555","1.1810279667422152E-4","1.1810279667422152E-4","0.0","0.0387849584278156"
"1566432","0.04431216931216926","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.04431216931216933"
"1608768","0.033446712018140534","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.03344671201814062"
"1651104","0.045587679516250965","1.1810279667422499E-4","1.1810279667422499E-4","0.0","0.04558767951625095"
"1693440","0.037509448223733956","2.5982615268329776E-4","2.5982615268329776E-4","0.0","0.03750944822373396"
"1735776","0.04024943310657596","2.1258503401360568E-4","2.1258503401360568E-4","0.0","0.040249433106575985"
"1778112","0.09726946334089204","2.1258503401360568E-4","2.1258503401360568E-4","0.0771919879062736","0.04284769463340894"
"1820448","0.9228080120937242","2.3620559334844998E-4","2.3620559334844998E-4","0.9228080120937264","0.03491118669690102"
"1862784","0.047052154195011325","1.1810279667422152E-4","1.1810279667422152E-4","0.0","0.04705215419501137"
"1905120","0.03604497354497352","2.1258503401360568E-4","2.1258503401360568E-4","0.0","0.03604497354497356"
"1947456","0.041713907785336325","2.3620559334844998E-4","2.3620559334844998E-4","0.0","0.041713907785336374"
"1989792","0.04138321995464848","1.4172335600906583E-4","1.4172335600906583E-4","0.0","0.04138321995464854"
"2032128","0.03637566137566138","3.070672713529933E-4","3.070672713529933E-4","0.0","0.036375661375661394"
"2074464","0.046721466364323526","2.83446712018149E-4","2.83446712018149E-4","0.0","0.04672146636432353"
"2116800","0.03458049886621313","1.1810279667422152E-4","1.1810279667422152E-4","0.0","0.034580498866213186"
"2159136","0.04317838246409668","2.5982615268329776E-4","2.5982615268329776E-4","0.0","0.04317838246409676"
"2201472","0.03991874527588811","2.1258503401360915E-4","2.1258503401360915E-4","0.0","0.03991874527588815"
