"points","all_attributes","BranchNumber_ConsumerID","BranchNumber_Date","BranchNumber_ConsumptionTime","ConsumerID_Date","ConsumerID_ConsumptionTime","Date_ConsumptionTime"
"42336","0.08255880335688039","0.06867895393617424","0.06867895393617426","0.08255880335688043","0.06867895393617426","0.08255880335688041","0.052384781791584296"
"84672","0.06873060371400719","0.05940136659951994","0.059401366599519945","0.06873060371400719","0.05940136659951994","0.06873060371400719","0.025228718617272952"
"127008","0.04494783362992341","0.029743926369839482","0.029743926369839482","0.04494783362992342","0.029743926369839482","0.04494783362992341","0.012237139519327266"
"169344","0.05944981257457642","0.05037076860544778","0.05037076860544778","0.05944981257457641","0.05037076860544778","0.05944981257457641","0.017402368273664315"
"211680","0.04143161312244093","0.031549456493983795","0.03154945649398379","0.041431613122440945","0.031549456493983795","0.04143161312244095","0.019474195028696125"
"254016","0.05161388381459205","0.03328844333492504","0.03328844333492503","0.051613883814592046","0.03328844333492503","0.051613883814592046","0.02091885053427189"
"296352","0.04857122220226863","0.03468131195467247","0.034681311954672486","0.04857122220226862","0.03468131195467248","0.04857122220226862","0.018120672543232165"
"338688","0.06122479900641612","0.04569595122579571","0.0456959512257957","0.06122479900641611","0.045695951225795714","0.061224799006416114","0.019345238095238092"
"381024","0.04379032410310556","0.029875142415828487","0.029875142415828487","0.04379032410310556","0.029875142415828487","0.04379032410310554","0.013605442176870736"
"423360","0.13011755160437902","0.06226837735607281","0.12146827674076863","0.07424574181587018","0.12146827674076854","0.0742457418158702","0.08563445304426842"
"465696","0.2392344493930558","0.031086791639546786","0.23791645527227037","0.04315534237046574","0.2379164552722704","0.043155342370465734","0.22618096407939214"
"508032","0.048067108346107806","0.03635689105446526","0.03635689105446527","0.0480671083461078","0.03635689105446526","0.048067108346107806","0.01008597883597884"
"550368","0.05885249347417683","0.05286142248250409","0.052861422482504083","0.05885249347417678","0.0528614224825041","0.05885249347417681","0.03316326530612245"
"592704","0.06661728833523992","0.05800064146957462","0.05800064146957462","0.06661728833523994","0.05800064146957462","0.06661728833523992","0.03377739984882841"
"635040","0.05522956000275501","0.04422956760610632","0.04422956760610633","0.05522956000275504","0.04422956760610633","0.05522956000275502","0.014301259416373998"
"677376","0.07557319177738321","0.06109267049566458","0.0610926704956646","0.07557319177738324","0.061092670495664594","0.07557319177738324","0.05109304628035515"
"719712","0.06565703909258824","0.044373914128016424","0.04437391412801644","0.06565703909258823","0.04437391412801643","0.06565703909258824","0.03917072034402773"
"762048","0.06163087905756577","0.043645792326045534","0.04364579232604553","0.061630879057565785","0.043645792326045534","0.06163087905756576","0.03505079043452024"
"804384","0.0659252504880816","0.06592082157588507","0.06592082157588505","0.06592525048808162","0.06592082157588504","0.06592525048808162","0.04254860351750488"
"846720","0.05997473263957693","0.0652214785715688","0.0652214785715688","0.05997473263957697","0.0652214785715688","0.059974732639576936","0.041560092879622784"
"889056","0.22580469618790688","0.049019267281553765","0.2288891048790473","0.05694251663439694","0.22888910487904734","0.05694251663439692","0.21635204816544443"
"931392","0.1404661832405776","0.02598866687833525","0.1446847109220995","0.040112359818977456","0.14468471092209947","0.04011235981897744","0.11754727617920954"
"973728","0.06456375789291063","0.050501595752724684","0.050501595752724684","0.06456375789291065","0.05050159575272468","0.06456375789291062","0.0301603126513769"
"1016064","0.08733161422401713","0.07707534766661596","0.07707534766661597","0.08733161422401717","0.07707534766661596","0.08733161422401713","0.05200819862803788"
"1058400","0.07279742575117261","0.06188342502755768","0.06188342502755768","0.07279742575117266","0.061883425027557684","0.07279742575117266","0.022592648529220195"
"1100736","0.052491626894644844","0.04019824821806507","0.04019824821806506","0.05249162689464482","0.040198248218065065","0.05249162689464483","0.01762856005138565"
"1143072","0.06530795657088322","0.053836461065461576","0.05383646106546158","0.0653079565708832","0.05383646106546158","0.0653079565708832","0.03173365912031975"
"1185408","0.07640734724466401","0.06735938561025517","0.06735938561025519","0.07640734724466404","0.0673593856102552","0.07640734724466408","0.0274006201768541"
"1227744","0.10087790001443603","0.09622649237091951","0.09622649237091956","0.10087790001443604","0.09622649237091956","0.10087790001443604","0.07314050592722515"
"1270080","0.06880929775696898","0.054048643829114125","0.05404864382911413","0.06880929775696899","0.05404864382911413","0.06880929775696902","0.06050649506940141"
"1312416","0.058300047910537875","0.04560796561511589","0.045607965615115896","0.05830004791053788","0.04560796561511589","0.05830004791053788","0.020147680752078984"
"1354752","0.26567042191466317","0.05345085503959321","0.24525957338963875","0.06475625401431853","0.24525957338963877","0.06475625401431853","0.2426377304750122"
"1397088","0.10318432067615471","0.04167895741035798","0.08244479115299545","0.06361853323916253","0.08244479115299547","0.06361853323916254","0.0797882009048443"
