"points","all_attributes","BranchNumber","ConsumerID"
"175968","0.0010278944483495984","0.0010278944483495984","0.0010278944483495984"
"351752","0.03064366874497495","0.03064366874497495","0.03064366874497495"
"533192","4.6825764086287896E-4","4.6825764086287896E-4","4.6825764086287896E-4"
"714716","0.04498628781368254","0.04498628781368254","0.04498628781368254"
"904796","0.0","0.0","0.0"
"1094876","0.0","0.0","0.0"
"1284956","0.0","0.0","0.0"
"1475036","0.0","0.0","0.0"
"1665116","0.0","0.0","0.0"
"1855196","0.0","0.0","0.0"
"2045276","0.0","0.0","0.0"
