"points","all_attributes","BranchNumber_ConsumerID"
"42336","0.07560136156011464","0.07560136156011464"
"83808","0.06945015859118871","0.06945015859118871"
"124128","0.034475401360586","0.034475401360586"
"164448","0.05052754812258335","0.05052754812258335"
"204768","0.02361716796252412","0.02361716796252412"
"245088","0.0400342768196808","0.0400342768196808"
"285408","0.06254583415722652","0.06254583415722652"
"327560","0.04482174545464927","0.04482174545464927"
"369896","0.04455501821984898","0.04455501821984898"
"412232","0.07265408412168867","0.07265408412168867"
"454568","0.03719531094822694","0.03719531094822694"
"496904","0.038482431775686575","0.038482431775686575"
"539240","0.04273106246708247","0.04273106246708247"
"581576","0.05055438474916468","0.05055438474916468"
"623912","0.04444039064675129","0.04444039064675129"
"666247","0.029616515124861024","0.029616515124861024"
"708583","0.06603297255793868","0.06603297255793868"
"752732","0.03415286780703139","0.03415286780703139"
"797084","0.03497683597853556","0.03497683597853556"
"841436","0.03132305860404511","0.03132305860404511"
"885788","0.037224425098259836","0.037224425098259836"
"930140","0.024616649993655988","0.024616649993655988"
"974492","0.05769514823410423","0.05769514823410423"
"1018844","0.09015955534742356","0.09015955534742356"
"1063196","0.057410989287100096","0.057410989287100096"
"1107548","0.04316145514809542","0.04316145514809542"
"1151900","0.06657936957921654","0.06657936957921654"
"1196252","0.068078307787997","0.068078307787997"
"1240604","0.07405215426902714","0.07405215426902714"
"1284956","0.053105763148237964","0.053105763148237964"
"1329308","0.07342005380776702","0.07342005380776702"
"1373660","0.03270003757385784","0.03270003757385784"
"1418012","0.0348081394157772","0.0348081394157772"
"1462364","0.016849174067352188","0.016849174067352188"
"1506716","0.02188368698088147","0.02188368698088147"
"1551068","0.05243321477571243","0.05243321477571243"
"1595420","0.05103508311197528","0.05103508311197528"
"1639772","0.0519304325799406","0.0519304325799406"
"1684124","0.04604638630845316","0.04604638630845316"
"1728476","0.04301658283303323","0.04301658283303323"
"1772828","0.05466747151792606","0.05466747151792606"
"1817180","0.04569145316830048","0.04569145316830048"
"1861532","0.04248736212236006","0.04248736212236006"
"1905884","0.04938925092062406","0.04938925092062406"
"1950236","0.04255975678388807","0.04255975678388807"
"1994588","0.03237597969599941","0.03237597969599941"
"2038940","0.018319250953656673","0.018319250953656673"
"2083292","0.03074406143949709","0.03074406143949709"
"2127644","0.02941440403787132","0.02941440403787132"
"2171996","0.019322888390435448","0.019322888390435448"
"2216348","0.026016225123789264","0.026016225123789264"
