"points","all_attributes","BranchNumber","ConsumerID"
"175968","0.04225717071173932","0.04225717071173932","0.042257170711739324"
"351752","0.03972233208979441","0.03972233208979441","0.0397223320897944"
"533192","0.04090846756095972","0.04090846756095973","0.04090846756095971"
"714716","0.028541370635110197","0.028541370635110197","0.0285413706351102"
"904796","0.037736742424242437","0.037736742424242437","0.03773674242424243"
"1094876","0.045002104377104384","0.04500210437710438","0.04500210437710438"
"1284956","0.03886258417508418","0.038862584175084175","0.038862584175084175"
"1475036","0.04189288720538721","0.041892887205387204","0.0418928872053872"
"1665116","0.03250210437710438","0.03250210437710438","0.032502104377104386"
"1855196","0.03539036195286196","0.03539036195286195","0.03539036195286196"
"2045276","0.020133627946127948","0.020133627946127948","0.020133627946127945"
