"points","all_attributes","BranchNumber","ConsumerID"
"175968","0.04175963519868784","0.04175963519868784","0.041759635198687826"
"351752","0.05607454441843045","0.056074544418430454","0.05607454441843047"
"533192","0.04099919294418369","0.0409991929441837","0.04099919294418369"
"714716","0.055678230432395164","0.05567823043239518","0.0556782304323952"
"904796","0.03773674242424241","0.03773674242424242","0.03773674242424242"
"1094876","0.04500210437710436","0.04500210437710436","0.045002104377104384"
"1284956","0.03886258417508417","0.03886258417508415","0.03886258417508416"
"1475036","0.04189288720538719","0.0418928872053872","0.041892887205387204"
"1665116","0.0325021043771044","0.032502104377104386","0.03250210437710438"
"1855196","0.03539036195286195","0.03539036195286194","0.035390361952861944"
"2045276","0.020133627946127945","0.020133627946127938","0.02013362794612795"
