"points","all_attributes","Rcdminutes","Temperature","Humidity","Light","Voltage"
"100000","0.7275789948451589","0.07622263153459644","0.17884189628703875","0.44213391691376114","0.19635391678626837","0.20850262587919344"
"200000","0.6695399042598493","0.0630921621057313","0.2413888249483639","0.3318982539732871","0.3645404440564687","0.14420507168491697"
"300000","0.5752777844710515","0.06024072307715516","0.16472698534664917","0.5393839366799835","0.1987511603632837","0.10692802725943248"
"400000","0.5294697353678295","0.06706195918985658","0.14570274773169345","0.34007184472542107","0.182290647244588","0.13115149948312332"
"500000","0.6806492937409117","0.08138935488152126","0.1799120459348344","0.30785282211744436","0.2950178796916165","0.1960250351407078"
"600000","0.6569290516885655","0.08098744897849627","0.1755059201471586","0.33222269433984947","0.22370000485200336","0.19600543972354506"
"700000","0.4798024738605696","0.04741715983625504","0.13977953453732336","0.1766964810446718","0.21659334957660725","0.07494352370444374"
"800000","0.6987935754836601","0.05006159960197533","0.26728309133455236","0.30234692364002613","0.19553739800074993","0.21526498642137626"
"900000","0.6348482239523829","0.06898946395181879","0.2182954224996595","0.30874083648558237","0.26091224615673553","0.25662403911597287"
"1000000","0.6136793751140212","0.13418346570102282","0.23229847565590908","0.36684115944790174","0.18637087293672566","0.3894007611984502"
"1100000","0.6462114813302483","0.1429341015052003","0.24790703125874042","0.4929144238489705","0.27045317644645445","0.202661908447496"
"1200000","0.6740254432116249","0.05249443707990307","0.25307152964480056","0.32591420956786815","0.3227917713745135","0.15550863452207137"
"1300000","0.5974645908569143","0.0733551090666143","0.2426248777505552","0.2482620317034766","0.2815591005707918","0.1571577880338286"
"1400000","0.645650654355755","0.1060694652889215","0.2858111067242765","0.3519358608609528","0.2566168595682743","0.34192131962552236"
"1500000","0.5720067076761853","0.12990236744204706","0.3274813646198314","0.5587241773142296","0.19655087507473631","0.29414521254640213"
"1600000","0.5906040528764","0.12364055021840098","0.22722098708287447","0.3062767655748475","0.32887182342134125","0.1215077011248527"
"1700000","0.673401514238041","0.07109271215687875","0.23878615640961537","0.3054507217062166","0.4722088009189693","0.18560810153838528"
"1800000","0.7814273009567563","0.10860515282335358","0.5571012426447712","0.3358946142907078","0.18233358124531168","0.43791890217374513"
"1900000","0.7853053041435392","0.15658436207279391","0.3614481288337991","0.6014987730890374","0.18960468803832467","0.2485852452699216"
"2000000","0.5141228639613232","0.19259353852788477","0.2058055154290429","0.3782903206498174","0.3668817225908502","0.18239671021576714"
"2100000","0.4529503873025635","0.28471233887512815","0.2498999968933854","0.26523170131538293","0.39853735821034064","0.24129030229224174"
