"points","all_attributes","Rcdminutes_Temperature_Humidity","Rcdminutes_Temperature_Light","Rcdminutes_Temperature_Voltage","Rcdminutes_Humidity_Light","Rcdminutes_Humidity_Voltage","Rcdminutes_Light_Voltage","Temperature_Humidity_Light","Temperature_Humidity_Voltage","Temperature_Light_Voltage","Humidity_Light_Voltage"
"50000","0.8142199999999994","0.7870999999999998","0.7603600000000001","0.6832999999999997","0.79406","0.7804800000000001","0.7644799999999999","0.5699","0.37304","0.5877000000000001","0.4945800000000001"
"100000","0.9312200000000003","0.8936000000000001","0.8856800000000001","0.8301","0.9263000000000001","0.89444","0.7679199999999999","0.7269800000000001","0.3902599999999999","0.6023599999999999","0.7434000000000001"
"150000","0.7931000000000002","0.7441200000000002","0.7685400000000002","0.7441200000000001","0.7537199999999998","0.7085599999999999","0.7702","0.6775000000000002","0.47959999999999997","0.68374","0.65386"
"200000","0.94682","0.9294399999999998","0.9276399999999999","0.9170400000000001","0.8496799999999998","0.8114800000000002","0.7845800000000002","0.9300599999999998","0.90794","0.9196000000000002","0.8002999999999998"
"250000","0.9027599999999993","0.8432600000000001","0.8698999999999999","0.8219400000000001","0.87972","0.8389400000000001","0.8617800000000003","0.7215200000000002","0.6795000000000002","0.6490600000000001","0.60082"
"300000","0.9882400000000003","0.98824","0.8156199999999998","0.8179799999999999","0.9882399999999998","0.9882399999999998","0.7423199999999999","0.8250600000000001","0.8267800000000002","0.65768","0.8269400000000001"
"350000","0.7733600000000002","0.7279200000000002","0.74208","0.7175200000000002","0.70072","0.6767800000000002","0.6931399999999999","0.5420200000000002","0.5244200000000001","0.5234800000000001","0.41674000000000005"
"400000","0.8804799999999984","0.86312","0.6439600000000001","0.63656","0.8306199999999999","0.8261999999999997","0.6245799999999999","0.7617999999999999","0.7336800000000001","0.4551799999999999","0.65288"
"450000","0.7061399999999998","0.64834","0.6478799999999997","0.6113999999999999","0.6556799999999999","0.6413000000000001","0.6471199999999998","0.4779399999999999","0.34676","0.4944","0.49235999999999996"
"500000","0.8211799999999991","0.6379","0.80542","0.6374000000000001","0.7995199999999998","0.6325999999999998","0.77504","0.7404799999999999","0.5383","0.7401400000000001","0.7403799999999998"
"550000","0.8604600000000002","0.8453599999999999","0.7468","0.7478399999999998","0.77088","0.6872399999999997","0.7263399999999998","0.798","0.7358600000000001","0.75166","0.68154"
"600000","0.8989200000000002","0.8837400000000002","0.85238","0.85666","0.8477999999999999","0.84502","0.8154399999999997","0.79518","0.7209200000000001","0.7729400000000002","0.6970199999999998"
"650000","0.9391599999999997","0.93482","0.9292599999999996","0.9222199999999999","0.8011999999999999","0.79342","0.75074","0.8832199999999998","0.87804","0.8671599999999996","0.6923199999999999"
