"points","all_attributes","Rcdminutes_Temperature_Humidity","Rcdminutes_Temperature_Light","Rcdminutes_Temperature_Voltage","Rcdminutes_Humidity_Light","Rcdminutes_Humidity_Voltage","Rcdminutes_Light_Voltage","Temperature_Humidity_Light","Temperature_Humidity_Voltage","Temperature_Light_Voltage","Humidity_Light_Voltage"
"100000","0.7275789948451589","0.7727324644219278","0.5076441615751653","0.49368672338746716","0.7734291166126644","0.7762935346976975","0.44426082028234376","0.7112585546699961","0.5303550361944995","0.4620586149275513","0.6947560517180513"
"200000","0.6695399042598493","0.5713096547739416","0.6272442674147247","0.46451606469229834","0.6955142235225747","0.5617340079337352","0.44848995129172825","0.6484178710533671","0.46193422192958283","0.5742929761607907","0.6536757984600217"
"300000","0.5752777844710515","0.5904436185706755","0.4163259567536479","0.3670881661944567","0.5736346784075189","0.5824162645301764","0.32112958084787374","0.5610702501341244","0.5609890191024896","0.3464784055091721","0.5620562763859704"
"400000","0.5294697353678295","0.4848008169571205","0.3583047835847575","0.3339454081289657","0.49055563757591286","0.45347140384076917","0.3022152623189349","0.4986750613327295","0.47519938389890637","0.3366771025867284","0.46886668250147323"
"500000","0.6806492937409117","0.5322198628601416","0.5102759058684109","0.3867534142586763","0.6676926948404133","0.5308407028303289","0.49520009006136545","0.6361272682239408","0.46468974274872943","0.5209743577167127","0.6159817813077857"
"600000","0.6569290516885655","0.644023052829671","0.4883723291512337","0.4235651534610412","0.6292071295152811","0.5912171016386848","0.4251283323723548","0.6298968852018106","0.5399689917472856","0.46506356504902874","0.5596318139637343"
"700000","0.4798024738605696","0.3677463200909907","0.3954666403490859","0.2899702706546329","0.41424744150398685","0.29368357642752746","0.28452711907513184","0.4099810408122677","0.28803636941934574","0.36662388379149474","0.35754528451833517"
"800000","0.6987935754836601","0.6825093519190191","0.5926687660706121","0.6110170096960515","0.6778199359638435","0.671094115769978","0.48865344195927024","0.6145601477421013","0.5200775229669096","0.5298350347124057","0.542026891591356"
"900000","0.6348482239523829","0.6197162980341012","0.5426348654612831","0.45698783682194394","0.6197116911885725","0.629336453948172","0.5223256142007505","0.6507304555751475","0.54433141781327","0.5358849793219232","0.6024214397314418"
"1000000","0.6136793751140212","0.7157051345733976","0.4046305637152126","0.6019892654878665","0.7039842007444742","0.6550481380884248","0.5503433924533797","0.6874553048815345","0.6646743986417625","0.5671652289913536","0.6668843167045206"
"1100000","0.6462114813302483","0.7204122025157609","0.5916728058084728","0.4264666793087705","0.7853015256795147","0.6928081491347546","0.472610688990785","0.7687117374375759","0.5617114188193506","0.547249206982294","0.7007798816377443"
"1200000","0.6740254432116249","0.5856637892148752","0.6276885276615012","0.4578112143786322","0.6888190933156904","0.5595494972944641","0.5080053919597548","0.6680943540969044","0.45864706090592483","0.6022119042547198","0.5854261677382029"
"1300000","0.5974645908569143","0.529029880555702","0.5649898578423691","0.48144241815254013","0.5699583430157898","0.48498289816413254","0.4548872398635866","0.5791043639568281","0.38726121936212543","0.5162771121665454","0.526855339261173"
"1400000","0.645650654355755","0.599279448272625","0.5857994851273693","0.6616002682296134","0.5978373438859999","0.6839775290016465","0.5947311193550163","0.6785953827856872","0.6434671094039547","0.6976537939125287","0.7271766645058059"
"1500000","0.5720067076761853","0.6655262118699559","0.5834899249219043","0.5575185496847833","0.639695124434942","0.6751632346574159","0.4235129688627347","0.6317178537529856","0.612644631414495","0.5205962005502851","0.603980446377267"
"1600000","0.5906040528764","0.51725145277752","0.5361301580660089","0.36298725778128643","0.6087347875168307","0.4557685050051566","0.42478267074266984","0.5993801719562154","0.438678758755529","0.4823343261141803","0.5113377030812332"
"1700000","0.673401514238041","0.567171903508172","0.6185116975898471","0.3840211255132663","0.7156051106592","0.5006199689390468","0.5845620488123644","0.7053873906520738","0.5069234520637828","0.5975449744020082","0.6204230937910477"
"1800000","0.7814273009567563","0.7474879154871777","0.7283974053462351","0.7498740834402784","0.608033665895908","0.699287504579917","0.6918542028648077","0.7285765082147354","0.7575346241467645","0.7848418913315084","0.7192019531663375"
"1900000","0.7853053041435392","0.800528204959733","0.49480329086437774","0.4552956525432834","0.7021643416360349","0.7025651641185785","0.37033969919412263","0.7834792232641733","0.745824208066878","0.4637940543526312","0.6944897760699874"
"2000000","0.5141228639613232","0.38092131107293997","0.4319506983639357","0.22321867502971585","0.5233814089313732","0.3795995147291417","0.4276327280700165","0.4785073790120581","0.38024051998490616","0.37557449559727013","0.48828589266992234"
"2100000","0.4529503873025635","0.2704219994478346","0.45409741689356375","0.26183049683553605","0.46364293335078993","0.27935337683486633","0.45441359332285824","0.37334383620339995","0.24027836349152726","0.369239165913229","0.38052076420697306"
