"points","all_attributes","Rcdminutes_Temperature_Humidity_Light","Rcdminutes_Temperature_Humidity_Voltage","Rcdminutes_Temperature_Light_Voltage","Rcdminutes_Humidity_Light_Voltage","Temperature_Humidity_Light_Voltage"
"100000","0.7795399999999997","0.7501899999999995","0.7150100000000003","0.54719","0.7628599999999996","0.6768000000000001"
"200000","0.7095899999999996","0.6756499999999999","0.6279999999999999","0.6270900000000003","0.55006","0.6333800000000006"
"300000","0.9056599999999994","0.90191","0.9005299999999999","0.3250399999999998","0.8165499999999991","0.8670700000000008"
"400000","0.6237400000000002","0.6080800000000001","0.59976","0.27159999999999995","0.5146199999999994","0.59488"
"500000","0.6054499999999999","0.5757100000000002","0.44391","0.4662400000000001","0.5656399999999998","0.5721499999999999"
"600000","0.6619199999999994","0.6457300000000005","0.6265799999999998","0.40775999999999996","0.5222300000000002","0.5444000000000001"
"700000","0.3987399999999997","0.37346","0.3213199999999999","0.3487299999999998","0.2783800000000001","0.28191000000000005"
"800000","0.7114100000000008","0.6622399999999998","0.6556","0.5760900000000002","0.5905599999999998","0.5311400000000002"
"900000","0.7547100000000012","0.6779700000000001","0.6587499999999997","0.5067800000000003","0.68439","0.60333"
"1000000","0.8286300000000004","0.7218100000000006","0.8051600000000005","0.5959500000000002","0.7946499999999997","0.7838300000000005"
"1100000","0.88922","0.8663800000000004","0.81795","0.5505699999999999","0.8371099999999995","0.7746199999999998"
"1200000","0.6119499999999997","0.5896599999999996","0.49805999999999984","0.5595899999999995","0.5508","0.5526399999999999"
"1300000","0.59043","0.52268","0.4976000000000003","0.4960899999999999","0.4537099999999998","0.42795999999999984"
"1400000","0.8113499999999997","0.7388599999999994","0.7784900000000001","0.6415700000000001","0.7527399999999995","0.7471000000000002"
"1500000","0.9089099999999997","0.9067499999999994","0.8967600000000004","0.6829500000000002","0.85309","0.8442399999999999"
"1600000","0.6288099999999996","0.6212900000000001","0.5691499999999998","0.5212000000000001","0.56595","0.5808299999999998"
"1700000","0.7312199999999998","0.7180999999999997","0.50382","0.6509400000000001","0.6848000000000002","0.6634800000000004"
"1800000","0.7244700000000002","0.6429","0.6356299999999998","0.6620299999999997","0.65924","0.6895800000000004"
"1900000","0.5942200000000005","0.5804800000000003","0.56269","0.39943999999999996","0.57917","0.5586699999999999"
"2000000","0.49634000000000017","0.4963400000000001","0.36573999999999995","0.33575","0.49061999999999995","0.44478999999999996"
"2100000","0.28651000000000004","0.28650999999999993","0.2699700000000001","0.28446","0.2841599999999999","0.18215000000000006"
