"points","all_attributes","Rcdminutes_Temperature","Rcdminutes_Humidity","Rcdminutes_Light","Rcdminutes_Voltage","Temperature_Humidity","Temperature_Light","Temperature_Voltage","Humidity_Light","Humidity_Voltage","Light_Voltage"
"50000","0.8769999999999987","0.7010399999999994","0.8036199999999992","0.84692","0.7064200000000003","0.47072","0.7325400000000009","0.35386000000000023","0.7033199999999997","0.34772000000000036","0.6286799999999999"
"100000","0.9701399999999988","0.8536799999999988","0.9299399999999999","0.8082200000000005","0.7683999999999997","0.5505599999999997","0.7258000000000004","0.3390999999999999","0.8557600000000003","0.4218599999999998","0.6441599999999997"
"150000","0.9032199999999987","0.7526599999999991","0.7529800000000002","0.8232000000000002","0.7360999999999996","0.5829600000000004","0.7910000000000001","0.5219","0.7978000000000007","0.5500400000000003","0.7756"
"200000","0.9790399999999987","0.9368799999999999","0.8831599999999997","0.8163000000000001","0.7827999999999997","0.9229599999999997","0.9529600000000005","0.9228400000000003","0.8991999999999999","0.8031400000000002","0.7514399999999999"
"250000","0.9495199999999984","0.84566","0.8914000000000002","0.8866199999999994","0.7678600000000002","0.7782599999999997","0.7701799999999999","0.6919000000000003","0.7379999999999995","0.6544","0.6230800000000002"
"300000","0.9890199999999996","0.8413199999999996","0.988279999999999","0.75894","0.7571999999999993","0.8615","0.7192000000000002","0.7062800000000001","0.8592599999999997","0.8332399999999998","0.5478399999999994"
"350000","0.8616999999999996","0.77842","0.7148999999999996","0.7441799999999991","0.6879199999999996","0.6530600000000004","0.65684","0.6024399999999995","0.4915999999999997","0.45444","0.47035999999999983"
"400000","0.9176599999999984","0.6520600000000003","0.8621200000000007","0.6614199999999992","0.6436400000000003","0.7769399999999996","0.5865200000000007","0.41622000000000015","0.7236999999999999","0.6424800000000002","0.4363999999999997"
"450000","0.8341399999999982","0.6846800000000007","0.6781000000000009","0.7099799999999998","0.6480999999999996","0.4705000000000001","0.65326","0.4403","0.6632200000000006","0.39682000000000034","0.6118599999999994"
"500000","0.9163599999999967","0.6881999999999997","0.7092999999999997","0.8586400000000011","0.6243399999999999","0.6874999999999989","0.8633599999999992","0.5912399999999999","0.8832399999999999","0.6549600000000001","0.8450000000000008"
