"points","all_attributes","Rcdminutes_Temperature","Rcdminutes_Humidity","Rcdminutes_Light","Rcdminutes_Voltage","Temperature_Humidity","Temperature_Light","Temperature_Voltage","Humidity_Light","Humidity_Voltage","Light_Voltage"
"100000","0.7275789948451589","0.3279570598254266","0.7889860137802633","0.3304596966817189","0.30030227733633336","0.5043926808349352","0.37010671203036527","0.3097844674691363","0.6837730444328454","0.4824439900981168","0.3164588843446134"
"200000","0.6695399042598493","0.4082741806636182","0.5233399732694781","0.40081959192591426","0.1926820767691432","0.3531047714341082","0.5693243169541383","0.30899372274837833","0.6337044011957649","0.4347430344013521","0.39778452423396365"
"300000","0.5752777844710515","0.311702308820078","0.5386218708234138","0.2583392278855557","0.15533443981203385","0.5661982707623843","0.2909119946601216","0.23284221467346022","0.5672272493310965","0.6038560400599938","0.2575039769191822"
"400000","0.5294697353678295","0.2486766142059436","0.435664540843105","0.2112674640894383","0.2005791853012997","0.4606388569799744","0.28247582091300405","0.23771259361689","0.44846534850851366","0.40295697389988944","0.25090320149113926"
"500000","0.6806492937409117","0.2680459428637496","0.5110273802727374","0.3373107724227637","0.29296952547945826","0.4230894490179709","0.4301149381135644","0.31403206990399696","0.5955131375938982","0.3463374919565663","0.44973949016935333"
"600000","0.6569290516885655","0.34564390430444814","0.5812310176061524","0.25228393349072314","0.2835086500231336","0.4954744193135852","0.3847198066992046","0.2967212240544014","0.5266506810686532","0.3756383835008057","0.3678991010915564"
"700000","0.4798024738605696","0.2511380934697384","0.274613949632435","0.2513684845338538","0.11697779740665393","0.25866615910060586","0.3288118003975953","0.19855885710701351","0.3332513387155281","0.1976569279222049","0.25054439020976804"
"800000","0.6987935754836601","0.5322583348497776","0.6253226517816993","0.2730330358094494","0.34293055093150476","0.46933852423814515","0.4514744077060798","0.38314521930181644","0.5020921077214727","0.4042456189222581","0.36811720064433334"
"900000","0.6348482239523829","0.33919616760377974","0.5668700643923906","0.35896209164174003","0.3259838226893917","0.48528199090843155","0.44281727797566695","0.3415323998796506","0.5377048912872716","0.3878217545106223","0.42404960062782304"
"1000000","0.6136793751140212","0.3436156826125595","0.6807570881883556","0.21853299579774615","0.5473336381299062","0.5378464553360875","0.333154393768169","0.4780460641253601","0.6091341511549059","0.5642108301732287","0.4953803087324677"
"1100000","0.6462114813302483","0.41213154336478147","0.7487340605270071","0.3797444382140487","0.2736845065266367","0.5537875920849403","0.5410957944209547","0.28449387695612116","0.7752554850966188","0.5025986080177093","0.3633643889381931"
"1200000","0.6740254432116249","0.41235189910935055","0.5481884792194734","0.37356940668993666","0.23497452458777807","0.4332562982449257","0.5637165206285429","0.30736853727579455","0.5717847685303291","0.35151421001756356","0.4231961048850691"
"1300000","0.5974645908569143","0.46086586653306444","0.4374612631833719","0.3084915451306448","0.2648873813749865","0.3592962447119447","0.49140910120522274","0.2828978265115921","0.4684123785440481","0.30552017935518627","0.3963883572790285"
"1400000","0.645650654355755","0.4860110926670089","0.585339875553049","0.28795803760271477","0.4608503758970657","0.49251385307565043","0.5322028001377177","0.5391380886301291","0.6225284792336271","0.5721841881301976","0.5064750750647979"
"1500000","0.5720067076761853","0.5352119291624242","0.7390738990702924","0.2243812370940525","0.37961197000733415","0.6320837275958946","0.5038484974852193","0.39238022870130346","0.7292564484416887","0.5725136904968333","0.39066515965840026"
"1600000","0.5906040528764","0.3595348089758442","0.4809619991043145","0.3710351025404299","0.20121526356131347","0.44118429994619873","0.4839992303849029","0.24655177263707098","0.5106472514304872","0.3143161610493517","0.3857190559127965"
"1700000","0.673401514238041","0.34690300386828415","0.5297885936602325","0.5471590108948796","0.1930455037790793","0.49981327874102055","0.6069920354309816","0.27988229778871504","0.630025043805792","0.3219844646586693","0.509759542035127"
"1800000","0.7814273009567563","0.6418604756568537","0.4365356127967389","0.35152732838149786","0.5666928095326288","0.6759815416441608","0.6679000263420873","0.6799456108804354","0.4813777569428582","0.54815923241968","0.6282343155451735"
"1900000","0.7853053041435392","0.4164774280586324","0.6727094249406007","0.26842658636681005","0.2704122589459125","0.7291921759546839","0.42801533914552997","0.4287489111578644","0.658781042231671","0.6533762303909136","0.293909106993632"
"2000000","0.5141228639613232","0.22218821300644515","0.37959951472914166","0.4268867474408223","0.19979561087072506","0.38030051998490616","0.37585715782198026","0.20592413670719906","0.48828589266992234","0.3782303206498173","0.3688761343233869"
"2100000","0.4529503873025635","0.2767838012434524","0.28846199806593764","0.4792701545901101","0.2707715246409912","0.24027836349152729","0.3804201664578226","0.22938608373785319","0.39132332569387074","0.2527029317590947","0.37630900171946446"
