"points","all_attributes","Rcdminutes_Temperature_Humidity_Light","Rcdminutes_Temperature_Humidity_Voltage","Rcdminutes_Temperature_Light_Voltage","Rcdminutes_Humidity_Light_Voltage","Temperature_Humidity_Light_Voltage"
"10000","0.726575948155999","0.7163158027386","0.7215301486980044","0.7022752444240854","0.726575948155999","0.336394627366181"
"20000","0.8968106129692053","0.8941758496182802","0.580344954440094","0.8945191787477594","0.8968106129692052","0.895989865905667"
"30000","0.9563927694767257","0.9561485040672127","0.9561288582979763","0.9553726352485379","0.9515801808361837","0.881927480378568"
"40000","0.5822705012065248","0.5822705012065248","0.5685423544925383","0.5579190182853616","0.4373830636616567","0.521058368447952"
"50000","0.8125349615504132","0.8125349615504132","0.7558861994484892","0.8103669124591012","0.7781495052490844","0.7204240379226702"
"60000","0.9440679438811912","0.9429054583667996","0.8915406553168332","0.9328231016505221","0.9010791472144699","0.9382388573427295"
"70000","0.7180174196602929","0.7104247492576596","0.7174002073171076","0.6565276804323448","0.5983953297379514","0.6738647312879906"
"80000","0.742193188453445","0.7387908800662532","0.7168402019632377","0.7326989294374072","0.7291404771118684","0.5991597029462726"
"90000","0.6500104677868223","0.6243923254797562","0.6424296817606212","0.37937633504457796","0.6500104677868223","0.616793699729836"
"100000","0.8782441133407195","0.8771721197063846","0.8782441133407196","0.8734550355567219","0.8782441133407195","0.604041936749069"
"110000","0.9062116161133251","0.9035280852120766","0.4806113119035379","0.9056171716688807","0.9062116161133251","0.9062116161133251"
"120000","0.9562323498874534","0.9560387328661767","0.9540750121143962","0.9528409124468102","0.9543445508470532","0.6905971979455787"
"130000","0.4988264314194738","0.4859752058250662","0.47148578964773696","0.4074551303044936","0.3352269365913671","0.4763430172957932"
"140000","0.9277060349183665","0.9277060349183665","0.9060199679184832","0.912795460687698","0.9139899311227648","0.8455049263695273"
"150000","0.8949363488333352","0.8927418072116159","0.7018741549540408","0.8776354178103062","0.8428317611453578","0.8949363488333352"
"160000","0.6921823368794217","0.6891471623572997","0.6884881742855087","0.6720093075150216","0.6921823368794217","0.366788859110653"
"170000","0.6123624734397864","0.590715958719408","0.5842881450988581","0.5792608935630756","0.608396503889845","0.4306696751851277"
"180000","0.6340502722993098","0.5867432072972167","0.6320093730717258","0.5559993765087031","0.6340502722993098","0.45978926681620325"
"190000","0.7367477805326128","0.7307443317780047","0.7367477805326128","0.7366477805326128","0.7367477805326128","0.2256390449796627"
"200000","0.9107057826960709","0.910034060922827","0.8218836411824504","0.9053867038924633","0.9107057826960709","0.910476044015567"
"210000","0.9293544409512375","0.9282028487466437","0.9252406536169914","0.9250808647146235","0.9161167090809372","0.7945958868414186"
"220000","0.7621752989530152","0.7620748641704064","0.6785799882171311","0.6214831380672485","0.6995542863223413","0.758997914095998"
"230000","0.9837448504602675","0.9837448504602675","0.9835467461948647","0.9835467461948647","0.9837448504602675","0.679727520546598"
"240000","0.794375180720112","0.7930200658857448","0.6300086508216832","0.7864481930483302","0.7656278125977005","0.7943751807201118"
"250000","0.8577482260070081","0.8571029099153078","0.8528192339158364","0.8433302320735394","0.8240709992829349","0.7761491979655755"
"260000","0.7620549974605048","0.7281127974832079","0.7581287088912662","0.716030142740405","0.5268667630573751","0.7585284289340838"
"270000","0.9311424173763253","0.9256867099380153","0.6966208633617833","0.9310386673763251","0.9311424173763253","0.8960594868724604"
"280000","0.7331583939158852","0.7252964550993788","0.7331583939158853","0.7123609295843288","0.7331583939158852","0.40970263823295683"
"290000","0.9562059005103402","0.9560530357010596","0.9167066663276007","0.9555736226095858","0.9562059005103403","0.9562059005103403"
"300000","0.9441457744644933","0.9441457744644933","0.9431695183068578","0.9438824229233307","0.9413970632518516","0.5892424575158808"
"310000","0.49109871152298457","0.484243407075833","0.45969297048170465","0.3346922776228429","0.4125522183630365","0.45422913243197865"
"320000","0.8829721061470232","0.8828689633845306","0.8736668397622304","0.8774438471225036","0.876622986078496","0.6532081965082599"
"330000","0.8703502088295015","0.8698767678124011","0.7021409796374637","0.8573283441702602","0.8106183164428205","0.8621228372803247"
"340000","0.7885858569415282","0.7796839039605328","0.7681068374228027","0.7779614147568522","0.6810651982001245","0.7275447705112001"
"350000","0.7553198817022111","0.7495976526225301","0.7311652046371653","0.7531060155449497","0.6729967861059094","0.6129314211248159"
"360000","0.8742108349068383","0.8706976480101568","0.7045443848473046","0.8722386322151329","0.8643604487648364","0.8573536926180757"
"370000","0.9735849362997808","0.9735849362997808","0.9735849362997808","0.9735849362997808","0.9735849362997808","0.5540262604729665"
"380000","0.9248279070538835","0.9222585211520992","0.8680525183688805","0.9248279070538835","0.8997860196143991","0.9243192490452254"
"390000","0.7956581161466495","0.7953510346015852","0.7738748176517566","0.7865296024168054","0.7635198589671619","0.5950294910141309"
"400000","0.6993344083552382","0.6960173240477037","0.6495224148371116","0.6065635398974797","0.6514724215526937","0.6499312075132041"
"410000","0.7085478426566418","0.7069997594037734","0.6346023580873666","0.6849181871669232","0.6627197395059979","0.5193196319831519"
"420000","0.8501795906143281","0.8475773656524502","0.8040203956032793","0.8346668438225823","0.8222469754158647","0.8200664240218062"
