"points","all_attributes","Rcdminutes","Temperature","Humidity","Light","Voltage"
"100000","0.10973","0.20018","0.49166000000000004","0.06926999999999998","0.23239","0.7795399999999993"
"200000","0.025110000000000007","0.379","0.29488","0.12719","0.06701000000000001","0.70959"
"300000","0.11659000000000001","0.11435000000000002","0.7158400000000001","0.15848","0.004289999999999975","0.9056600000000002"
"400000","0.08371000000000002","0.03234","0.38124","0.05021999999999999","0.09009999999999996","0.6237400000000001"
"500000","0.06524","0.14823","0.38582","0.19748","0.25904000000000005","0.6054500000000004"
"600000","0.09181000000000003","0.20426","0.35195","0.04228000000000002","0.06155999999999998","0.661920000000001"
"700000","0.008450000000000027","0.16085","0.09131999999999998","0.05472000000000001","0.05636999999999997","0.3987399999999998"
"800000","0.06644","0.25346","0.06327999999999999","0.07029","0.18233000000000002","0.7114099999999997"
"900000","0.03857000000000002","0.18946999999999997","0.14476999999999995","0.16413","0.20944999999999997","0.7547099999999997"
"1000000","0.08165000000000001","0.16075999999999996","0.30908","0.14398999999999998","0.47226999999999997","0.8286299999999999"
"1100000","0.1175","0.21425999999999995","0.57391","0.27995","0.09954000000000003","0.8892199999999997"
"1200000","0.11919","0.35400000000000004","0.33232000000000006","0.25753000000000004","0.13543","0.6119499999999997"
"1300000","0.07383","0.20032999999999995","0.06794","0.16221","0.12645","0.5904300000000001"
"1400000","0.11590999999999999","0.2542","0.46998","0.09720000000000001","0.38197000000000003","0.8113499999999996"
"1500000","0.30102","0.41952","0.72468","0.22733","0.26181","0.9089099999999996"
"1600000","0.35045","0.27954","0.2765","0.38367000000000007","0.06456000000000003","0.6288099999999999"
"1700000","0.17016","0.10161000000000002","0.29515","0.47570999999999997","0.10450999999999999","0.7312200000000001"
"1800000","0.14669000000000004","0.43299","0.18807000000000001","0.28564","0.5337400000000001","0.7244700000000007"
"1900000","0.14323000000000002","0.29318","0.51807","0.11657000000000001","0.20642","0.5942200000000003"
"2000000","0.1754","0.052199999999999976","0.34823","0.22558999999999996","0.01212000000000001","0.4963399999999999"
"2100000","0.22515","0.05372999999999997","0.06849","0.1344","0.07762000000000001","0.2865099999999999"
