"points","all_attributes","Rcdminutes_Temperature_Humidity","Rcdminutes_Temperature_Light","Rcdminutes_Temperature_Voltage","Rcdminutes_Humidity_Light","Rcdminutes_Humidity_Voltage","Rcdminutes_Light_Voltage","Temperature_Humidity_Light","Temperature_Humidity_Voltage","Temperature_Light_Voltage","Humidity_Light_Voltage"
"50000","0.8769999999999987","0.8200999999999992","0.85456","0.7236799999999994","0.8645","0.8124199999999999","0.8543400000000003","0.7620000000000012","0.48726","0.7395799999999992","0.7064599999999994"
"100000","0.9701399999999988","0.9334599999999991","0.9330999999999996","0.8657799999999993","0.9677799999999999","0.9334999999999993","0.8259799999999998","0.8696000000000005","0.5781599999999997","0.7761799999999992","0.8748799999999999"
"150000","0.9032199999999987","0.7915999999999996","0.8408799999999997","0.7889199999999994","0.8677800000000009","0.78524","0.8570199999999991","0.8099400000000003","0.6032000000000004","0.8003599999999991","0.8049600000000001"
"200000","0.9790399999999987","0.9513199999999993","0.9748600000000002","0.9495599999999994","0.9318399999999997","0.8914999999999995","0.8533","0.9575399999999998","0.9287400000000006","0.9566999999999996","0.9038999999999998"
"250000","0.9495199999999984","0.9115999999999985","0.9154399999999991","0.8655199999999994","0.9317599999999978","0.905019999999999","0.8980399999999995","0.8532199999999994","0.7995999999999989","0.7803200000000002","0.7578399999999995"
"300000","0.9890199999999996","0.9888199999999986","0.8562200000000001","0.8611399999999997","0.9884200000000006","0.9882999999999995","0.792099999999999","0.8872199999999996","0.8629599999999995","0.7374000000000002","0.8610199999999986"
"350000","0.8616999999999996","0.8154399999999997","0.826399999999999","0.7890399999999991","0.7865199999999993","0.7394400000000001","0.7655199999999982","0.7138399999999996","0.6705199999999996","0.6749599999999992","0.5585600000000001"
"400000","0.9176599999999984","0.8979199999999996","0.7195999999999997","0.6900999999999983","0.8801999999999993","0.8670199999999996","0.6922000000000001","0.8683599999999988","0.7789199999999984","0.6055000000000003","0.7569799999999997"
"450000","0.8341399999999982","0.73376","0.7820999999999995","0.7068599999999992","0.7816200000000004","0.7041999999999994","0.7424999999999982","0.71366","0.5173000000000002","0.6931399999999999","0.7011999999999989"
"500000","0.9163599999999967","0.7511999999999991","0.8937599999999989","0.6980199999999996","0.9010800000000001","0.7257999999999986","0.8840599999999997","0.8995599999999997","0.6955799999999986","0.8689999999999991","0.8933999999999995"
"550000","0.9218799999999985","0.8736600000000002","0.8065399999999995","0.7914200000000001","0.8609599999999994","0.7670799999999994","0.7823999999999994","0.8984399999999997","0.8055399999999988","0.8182399999999991","0.8007799999999983"
"600000","0.9443599999999988","0.9313800000000005","0.8925600000000001","0.8950399999999995","0.9075399999999993","0.9022799999999999","0.8599799999999999","0.8885599999999998","0.8284399999999995","0.8723199999999995","0.8237199999999989"
"650000","0.95286","0.9439199999999998","0.9412800000000012","0.932259999999999","0.8678199999999988","0.8271599999999992","0.804499999999999","0.9328999999999991","0.9050800000000004","0.9279399999999994","0.8114600000000007"
"700000","0.8424599999999991","0.8189200000000005","0.8019400000000009","0.8047199999999989","0.7759799999999994","0.7741999999999993","0.7518199999999995","0.7801600000000005","0.7564600000000005","0.7872799999999985","0.7251400000000011"
"750000","0.9279199999999986","0.91118","0.8983199999999999","0.9081799999999985","0.8702199999999995","0.8789200000000001","0.7984200000000004","0.8780600000000007","0.8348399999999996","0.8883799999999987","0.8223999999999998"
"800000","0.94238","0.9394400000000005","0.9220400000000007","0.9344199999999996","0.9306799999999995","0.9292199999999992","0.9130399999999997","0.76896","0.7316599999999999","0.7625799999999989","0.6290599999999995"
"850000","0.9496599999999997","0.9445000000000007","0.9279000000000005","0.9219999999999999","0.9333199999999993","0.9344199999999978","0.8855","0.8439800000000004","0.7657999999999999","0.7947599999999995","0.7977399999999994"
"900000","0.8922799999999976","0.8322599999999991","0.7840799999999992","0.8424199999999992","0.8044399999999995","0.8668999999999993","0.8133399999999985","0.7216599999999991","0.6681200000000003","0.6717000000000001","0.6816599999999993"
"950000","0.9506999999999951","0.9375799999999996","0.8413199999999995","0.819159999999999","0.9372599999999991","0.9347799999999998","0.8375399999999994","0.9098799999999995","0.8681199999999994","0.6587599999999991","0.8918199999999986"
"1000000","0.9527799999999982","0.9270200000000006","0.8788199999999998","0.9115199999999987","0.9285799999999998","0.9281599999999998","0.9048799999999998","0.931059999999999","0.9162399999999988","0.8230999999999989","0.9334199999999995"
"1050000","0.9262799999999978","0.9091400000000003","0.8745399999999988","0.8966199999999995","0.8148199999999988","0.8670600000000005","0.8043399999999985","0.8158199999999993","0.7681999999999989","0.7106399999999988","0.7613399999999995"
"1100000","0.9731599999999954","0.9525800000000006","0.8239999999999992","0.7967","0.9568000000000003","0.9308599999999989","0.7655999999999977","0.8795800000000006","0.68514","0.7016399999999989","0.8443399999999986"
"1150000","0.896739999999999","0.7966599999999998","0.8718799999999999","0.7814199999999992","0.8803600000000003","0.7884000000000001","0.8204599999999982","0.8523599999999998","0.5705199999999998","0.8207399999999997","0.8125799999999991"
"1200000","0.9455399999999997","0.8728000000000004","0.9210599999999998","0.8085799999999994","0.9291800000000002","0.8536000000000001","0.8478000000000006","0.9330199999999994","0.8323799999999997","0.9172399999999995","0.9151999999999999"
"1250000","0.7985599999999983","0.7535400000000001","0.7099799999999984","0.7263599999999996","0.7357399999999996","0.7514599999999994","0.6880599999999987","0.7160599999999996","0.6663999999999997","0.7163599999999987","0.6766600000000003"
"1300000","0.8445799999999998","0.7360999999999998","0.7822799999999998","0.6942","0.7886599999999985","0.6894800000000005","0.7486999999999993","0.6869799999999981","0.5044400000000003","0.657479999999999","0.6539599999999995"
"1350000","0.8988600000000009","0.8473600000000008","0.8520599999999996","0.8380599999999997","0.7793600000000002","0.8375999999999999","0.8205400000000002","0.7231599999999995","0.6099000000000003","0.7279399999999993","0.7193999999999995"
"1400000","0.963999999999999","0.9302999999999992","0.8956800000000008","0.8547999999999993","0.9411800000000002","0.9205200000000006","0.8403600000000004","0.936339999999999","0.7399399999999993","0.8857999999999995","0.9318200000000013"
"1450000","0.9459599999999988","0.8305599999999985","0.7385799999999991","0.7142599999999999","0.9005999999999997","0.8008800000000006","0.8069000000000001","0.8723799999999998","0.7437199999999996","0.7913000000000001","0.8780199999999996"
"1500000","0.9016400000000013","0.8881600000000001","0.704179999999999","0.6580200000000012","0.8517800000000009","0.8406200000000001","0.6369999999999996","0.8407799999999975","0.6312999999999995","0.6666200000000008","0.7719199999999996"
"1550000","0.8602999999999985","0.7642999999999994","0.7308399999999993","0.60902","0.8131200000000003","0.7314200000000003","0.4385","0.7997399999999991","0.6061799999999999","0.6377600000000008","0.7265199999999994"
"1600000","0.6946799999999994","0.6386199999999997","0.6475799999999996","0.5937600000000002","0.6426399999999997","0.5949399999999999","0.5964999999999996","0.6419399999999998","0.5525799999999998","0.5986","0.5434200000000003"
"1650000","0.9172399999999994","0.9115199999999994","0.7523399999999997","0.78046","0.9032800000000005","0.8994200000000004","0.6474200000000007","0.8330799999999983","0.8175999999999989","0.6208000000000004","0.7173000000000008"
"1700000","0.9589799999999973","0.8496400000000003","0.9146199999999997","0.6375799999999997","0.9468799999999998","0.8166400000000003","0.9090199999999995","0.9232399999999987","0.7523999999999993","0.8975399999999992","0.8644599999999998"
"1750000","0.8641999999999974","0.7515999999999988","0.7372800000000003","0.6768399999999992","0.7469800000000004","0.7284","0.6325799999999996","0.7362399999999993","0.49126000000000003","0.6840599999999994","0.6863"
"1800000","0.8969799999999994","0.7356599999999996","0.7725800000000007","0.7589999999999996","0.6942000000000002","0.6625399999999995","0.6948199999999994","0.742139999999999","0.7401799999999995","0.7753199999999983","0.6939400000000002"
"1850000","0.8859799999999988","0.7852399999999997","0.7594999999999998","0.7205400000000005","0.7121200000000003","0.7044400000000007","0.651499999999999","0.8129400000000007","0.7040999999999998","0.748159999999999","0.6955600000000001"
"1900000","0.8005999999999982","0.75228","0.5837999999999998","0.5026200000000002","0.724979999999999","0.6987199999999997","0.5624999999999998","0.7336399999999994","0.6220999999999999","0.5228","0.6870200000000003"
