"points","all_attributes","Rcdminutes","Temperature","Humidity","Light","Voltage"
"10000","0.6936999999999999","0.6840999999999999","0.0029000000000000067","0.16540000000000002","0.026400000000000014","0.11400000000000002"
"20000","0.7867","0.3159","0.266","0.3147","0.7448","0.05710000000000003"
"30000","0.9504999999999993","0.9502","0.643","0.5054000000000001","0.19650000000000004","0.13669999999999996"
"40000","0.4453999999999999","0.32689999999999997","0.252","0.20699999999999996","0.02599999999999997","5.999999999999707E-4"
"50000","0.7492000000000001","0.6731","0.5063","0.10829999999999998","0.44239999999999996","0.0053999999999999795"
"60000","0.8849999999999996","0.5048","0.8155","0.7256","0.6739","0.032299999999999995"
"70000","0.6139000000000001","0.4952","0.558","0.23820000000000002","0.0797","0.05810000000000004"
"80000","0.6948","0.6823","0.28659999999999997","0.3030999999999999","0.23369999999999996","0.05399999999999999"
"90000","0.5303","0.3177","0.004600000000000024","0.327","0.01620000000000002","0.11470000000000001"
"100000","0.8758","0.8747","0.0","0.38980000000000004","0.08560000000000005","0.242"
"110000","0.7881999999999999","0.12530000000000002","0.2161","0.3087","0.7303","0.1407"
"120000","0.9511999999999998","0.9512","0.4372","0.4095","0.23370000000000002","0.24970000000000003"
"130000","0.38629999999999987","0.15190000000000003","0.22149999999999997","0.1372","0.013000000000000032","0.05179999999999998"
"140000","0.8934999999999996","0.8481","0.28790000000000004","0.44430000000000003","0.48519999999999996","0.03459999999999998"
"150000","0.7232","0.3328","0.5782","0.19749999999999995","0.49","0.08920000000000003"
"160000","0.6714999999999998","0.6672","0.05190000000000003","0.16749999999999998","0.09829999999999997","0.07829999999999997"
"170000","0.5366","0.5174000000000001","0.010499999999999978","0.21350000000000002","0.11440000000000003","0.1605"
"180000","0.5635","0.48260000000000003","0.0","0.2905","0.02939999999999998","0.20360000000000003"
"190000","0.7328999999999999","0.7317","0.0","0.05120000000000001","0.0076000000000000095","0.14589999999999997"
"200000","0.8173999999999999","0.2683","0.7366","0.793","0.4436","0.5241"
"210000","0.9097000000000002","0.9086","0.5069","0.2492","0.3929","0.17959999999999998"
"220000","0.5334999999999996","0.09140000000000002","0.18340000000000004","0.24880000000000002","0.2592","0.014799999999999997"
"230000","0.9836000000000001","0.9836","0.07990000000000004","0.03640000000000002","0.29179999999999995","0.0031999999999999923"
"240000","0.6562999999999996","0.19630000000000003","0.41739999999999994","0.3614","0.47940000000000005","0.04300000000000002"
"250000","0.8273999999999996","0.8037","0.5171","0.22319999999999998","0.1822","0.11269999999999997"
"260000","0.6663","0.37060000000000004","0.5771","0.1778","0.03970000000000001","0.20450000000000002"
"270000","0.938","0.6294","0.08230000000000001","0.19000000000000006","0.8825000000000001","0.29969999999999997"
"280000","0.706","0.706","0.0","0.25220000000000004","0.0494","0.2036"
"290000","0.9486","0.29400000000000004","0.8941000000000001","0.9035000000000001","0.9478","0.7217"
"300000","0.9411999999999996","0.9412","0.10049999999999999","0.10039999999999999","0.22740000000000005","0.07469999999999999"
"310000","0.3563","0.13880000000000003","0.1139","0.1981","0.014499999999999937","0.014899999999999969"
"320000","0.8642","0.8612","0.145","0.011499999999999977","0.2604","0.008099999999999982"
"330000","0.7610999999999997","0.3759","0.3893","0.07789999999999998","0.5951","0.05169999999999999"
"340000","0.7343","0.6241","0.5498","0.021700000000000035","0.13149999999999998","0.10929999999999998"
"350000","0.7241","0.6188","0.48140000000000005","0.04369999999999996","0.03049999999999997","0.1753"
"360000","0.8727000000000001","0.3812","0.40199999999999997","0.09430000000000002","0.8268","0.4134"
"370000","0.9841999999999997","0.9842","0.19929999999999995","0.07970000000000001","0.36900000000000005","0.02849999999999999"
"380000","0.8719000000000002","0.2557","0.7756000000000001","0.6658000000000001","0.8292","0.6698"
"390000","0.7590000000000001","0.7443","0.3004","0.2861","0.21479999999999996","0.06970000000000001"
"400000","0.599","0.4477","0.05170000000000002","0.2249","0.245","0.023599999999999996"
"410000","0.6003999999999997","0.5523","0.14009999999999997","0.0989","0.21369999999999997","0.05050000000000003"
"420000","0.7692000000000003","0.7242999999999999","0.3904000000000001","0.26450000000000007","0.5344","0.06310000000000006"
"430000","0.6221000000000002","0.27569999999999995","0.5962999999999999","0.3049","0.1387","0.2637"
"440000","0.9995999999999997","0.9996","0.6425000000000001","0.3264000000000001","0.6581999999999999","0.3852"
"450000","0.4489999999999999","0.44420000000000004","0.17610000000000003","0.1367","0.13460000000000005","0.1368"
"460000","0.8541999999999996","0.5558000000000001","0.65","0.6433","0.8477999999999999","0.5132"
"470000","0.7585999999999998","0.7213","0.29600000000000004","0.2546","0.44930000000000003","0.20179999999999998"
"480000","0.4210999999999998","0.27869999999999995","0.10819999999999998","0.07689999999999997","0.0417","0.01620000000000001"
"490000","0.8865999999999998","0.8766","0.2367","0.2844","0.16140000000000004","0.029500000000000026"
"500000","0.6817999999999997","0.12339999999999997","0.36539999999999995","0.3276","0.5638000000000001","0.19320000000000004"
"510000","0.9110999999999999","0.9065","0.4052","0.1379","0.15689999999999998","0.24779999999999996"
"520000","0.5153999999999997","0.40469999999999995","0.2782","0.08420000000000004","0.034800000000000025","0.2157"
"530000","0.66","0.5952999999999999","0.4769","0.1277","0.08600000000000002","0.05449999999999995"
"540000","0.7081999999999998","0.7041999999999999","0.1421","0.047700000000000034","0.05779999999999996","0.08710000000000001"
"550000","0.8741999999999999","0.29579999999999995","0.8304000000000001","0.7049999999999998","0.7345","0.5354"
"560000","0.9929999999999997","0.9928","0.35869999999999996","0.2248","0.16469999999999996","0.1441"
"570000","0.39510000000000006","0.23670000000000002","0.13949999999999996","0.08149999999999998","0.0905","0.07429999999999999"
"580000","0.7779999999999997","0.7633","0.11340000000000001","0.19199999999999998","0.19269999999999998","0.011300000000000011"
"590000","0.8337999999999998","0.4282","0.34490000000000004","0.23900000000000002","0.7620999999999999","0.29800000000000004"
"600000","0.7411999999999996","0.5718","0.5680000000000001","0.2472","0.06540000000000001","0.1834"
"610000","0.6293","0.5867","0.4393","0.21529999999999996","0.10319999999999999","0.040500000000000015"
"620000","0.5607999999999997","0.4133","0.44","0.3003","0.1099","0.087"
"630000","0.7553000000000001","0.7553","0.04110000000000001","0.1522","0.034700000000000036","0.13359999999999997"
"640000","0.8316999999999999","0.24470000000000003","0.41159999999999997","0.3335","0.8071999999999999","0.08339999999999997"
"650000","0.9134999999999996","0.913","0.6202","0.5428","0.23500000000000001","0.4195"
"660000","0.37999999999999995","0.08699999999999998","0.2771","0.20529999999999998","0.02699999999999999","0.25249999999999995"
"670000","0.9707000000000005","0.9707","0.05940000000000001","0.15170000000000003","0.1964","0.015400000000000044"
"680000","0.7893","0.23240000000000002","0.3736","0.6218000000000001","0.7247","0.31900000000000006"
"690000","0.8176999999999996","0.7676000000000001","0.5768","0.44099999999999995","0.15470000000000003","0.3823"
"700000","0.7065000000000003","0.3909","0.6411","0.2834","0.008100000000000019","0.04990000000000003"
"710000","0.6287999999999999","0.6091","0.3282","0.13440000000000002","0.2693","0.08759999999999998"
"720000","0.5836999999999999","0.5468999999999999","0.3505999999999999","0.17470000000000002","0.010700000000000001","0.1991"
"730000","0.7275999999999998","0.45309999999999995","0.17669999999999997","0.22299999999999998","0.5594","0.052"
"740000","0.8270999999999998","0.6936","0.6819000000000001","0.5634","0.3676999999999999","0.3284"
"750000","0.5195","0.3064","0.27640000000000003","0.1995","0.029999999999999985","0.3243"
"760000","0.8203000000000003","0.8169","0.07250000000000001","0.1461","0.06739999999999997","0.11610000000000001"
"770000","0.6495","0.18310000000000004","0.09869999999999997","0.2646","0.6171","0.14629999999999999"
"780000","0.9592999999999996","0.9591","0.194","0.5388000000000001","0.2953","0.41980000000000006"
"790000","0.5312999999999998","0.04090000000000002","0.42129999999999995","0.10980000000000001","0.008799999999999995","0.16979999999999998"
"800000","0.7948999999999996","0.7928","0.29969999999999997","0.0541","0.009400000000000025","0.03520000000000001"
"810000","0.3476","0.20720000000000002","0.29379999999999995","0.10749999999999996","0.001999999999999974","0.02679999999999997"
"820000","0.6459999999999999","0.6117","0.3642","0.17700000000000002","0.0072000000000000085","0.09120000000000003"
"830000","0.6872999999999997","0.3883","0.30800000000000005","0.27179999999999993","0.5509000000000001","0.13839999999999997"
"840000","0.6972000000000002","0.4485","0.3186","0.2548","0.4274","0.1535"
"850000","0.6148","0.5515","0.11059999999999998","0.24719999999999998","0.02610000000000004","0.05719999999999995"
"860000","0.5714999999999998","0.5544","0.063","0.1276","0.02199999999999998","0.07750000000000001"
"870000","0.6563999999999999","0.4456","0.09099999999999998","0.2334","0.39069999999999994","0.10849999999999996"
"880000","0.7994999999999997","0.7018","0.5143","0.48230000000000006","0.5698","0.1299"
"890000","0.41959999999999986","0.2982","0.18350000000000005","0.07619999999999999","0.17809999999999998","0.05289999999999999"
"900000","0.8751999999999999","0.8741","0.4486","0.01329999999999999","0.26649999999999996","0.0726"
"910000","0.5888","0.24260000000000004","0.3757","0.17379999999999995","0.5068999999999999","0.20989999999999995"
"920000","0.7795999999999998","0.7574","0.34930000000000005","0.26130000000000003","0.6819","0.14540000000000003"
"930000","0.7219999999999998","0.46509999999999996","0.3175","0.22039999999999996","0.617","0.1316"
"940000","0.6708999999999997","0.5348999999999999","0.1043","0.2775","0.033499999999999974","0.08999999999999996"
"950000","0.6532999999999998","0.5662","0.046300000000000036","0.223","0.07829999999999995","0.03910000000000006"
"960000","0.5783","0.43379999999999996","0.23729999999999998","0.2027","0.3981","0.15610000000000002"
"970000","0.8125999999999993","0.6903","0.3395000000000001","0.3671","0.5067999999999999","0.1452"
"980000","0.43629999999999997","0.3097","0.24539999999999998","0.0909","0.05869999999999996","0.06969999999999997"
