"points","all_attributes","Rcdminutes_Temperature","Rcdminutes_Humidity","Rcdminutes_Light","Rcdminutes_Voltage","Temperature_Humidity","Temperature_Light","Temperature_Voltage","Humidity_Light","Humidity_Voltage","Light_Voltage"
"100000","0.9293701575007995","0.4600990410807468","0.839102253469999","0.34049699751815493","0.3245816342118899","0.6785684072952994","0.4465995036891206","0.3584757940049533","0.7788054435549302","0.5811609890070512","0.3482882952150651"
"200000","0.87725267097811","0.5586030818745844","0.5978395349772256","0.4305810583222868","0.18201087302690183","0.5138012694654281","0.719323600499653","0.48902242468317275","0.7043189288474212","0.483850822452614","0.4219952935387674"
"300000","0.949285997219238","0.36971973596677427","0.7852236334635655","0.3194542807654489","0.20931981608936845","0.8769267908000321","0.3533662031113899","0.2562246094308993","0.8354817700747104","0.7736096670951399","0.3170583943425199"
"400000","0.7508502324573072","0.2672884264961837","0.5272400032795616","0.24392742870171463","0.22824299556050118","0.6016988619070358","0.2980144694198188","0.24831514097099674","0.5658593771496957","0.4831878081481672","0.2592126761426426"
"500000","0.8022576001455302","0.29527054852808315","0.5462673215918387","0.37511759233784053","0.3288925682885471","0.518380617667338","0.48787880240455983","0.36154121676744266","0.6922060009264208","0.46897321464558356","0.5109615093401234"
"600000","0.8330886534714428","0.40393820281194787","0.6371265675968169","0.26424091756553847","0.30142850301846413","0.6138882044671109","0.425539520543794","0.3361120485145988","0.5923438716459305","0.48461633886749744","0.3539766526154956"
"700000","0.5877610782929368","0.3269639740780178","0.2828501009258174","0.24022932869870822","0.11349133829021121","0.3017989527385662","0.3823622483028246","0.26075429177821424","0.3625796369091365","0.21322764182177548","0.2514694175074734"
"800000","0.8714656719736271","0.5740241725586053","0.6831489599498092","0.27129967117232134","0.35605568042442887","0.4989952816346262","0.495149865029284","0.4841746311475746","0.5222322530208916","0.44520559541457744","0.3777066467966433"
"900000","0.876185930172813","0.3731945486260656","0.6925104103613956","0.3937113535329169","0.32084225675407096","0.584070730303212","0.47077422107885314","0.41360753426998015","0.6014408784060856","0.44189564211837795","0.4699886848028967"
"1000000","0.9069190096038351","0.4019780579910121","0.7608153350993025","0.2650143576741557","0.5868184136798974","0.61124909197891","0.4060953976601177","0.6118306840383309","0.7116045913310516","0.7399611958690867","0.5982705188717832"
"1100000","0.9694670433823771","0.47926860987178427","0.8643223528537991","0.4117688863448188","0.33552978259225696","0.7279605873776628","0.6030487379666362","0.33603411270663774","0.8722538239764955","0.6431916912638604","0.45916945930349085"
"1200000","0.807162894455992","0.46841523214872177","0.5594314645327594","0.43069988473641085","0.26607077397977685","0.48485125056989536","0.6465605809890542","0.4327049643154848","0.6834609286431605","0.43157659615646377","0.48079820732819273"
"1300000","0.7632284309113716","0.5123329327196837","0.43375630387359854","0.32246009445953655","0.2961833153388714","0.4057808987080067","0.5270776687858697","0.3583887175201479","0.47884666946659266","0.3435480397325886","0.43351924764399546"
"1400000","0.9053623643579979","0.5520487067265302","0.6694216413597894","0.3237707132205796","0.5200353049299177","0.5974922508941772","0.6216940963350074","0.6040567169418082","0.6698456539671606","0.7179787295937512","0.5487027170666019"
"1500000","0.9376731447328602","0.6883844049654387","0.8958500810035528","0.35395277305581063","0.4999619461708641","0.7850705368176615","0.6662812340741501","0.4977978288443025","0.8574274402426734","0.7473074080447485","0.4898971635650538"
"1600000","0.7519515622477504","0.4679728669349999","0.5677337661630778","0.4860440696026472","0.37138352607979297","0.5597094564621505","0.5656072625324206","0.35180685368512904","0.5379302182674774","0.38222029999699003","0.4554360920013898"
"1700000","0.8672852846793466","0.4304209752681946","0.5804040255402895","0.6600160673261779","0.24988926525751348","0.5542464472812492","0.6995529058367841","0.27278909732221973","0.6960646148743495","0.38647366400036737","0.6141891364080202"
"1800000","0.8982737653895262","0.6269430188069921","0.4709835968524828","0.41804384439213255","0.5916665895927972","0.6975518962998718","0.6828661591592496","0.6852406316420977","0.5695692905733688","0.6346705265983098","0.6594731880015966"
"1900000","0.841264056933706","0.4229848286530458","0.6712298223262757","0.3300393914786614","0.28422632888049554","0.7272471021089356","0.43088416306857313","0.41166220995507413","0.6631134760294037","0.6472568533983843","0.2982375445166131"
"2000000","0.6394210263021981","0.23327104618428973","0.4386574005959761","0.4602891616154461","0.20652294854569653","0.3842271944278624","0.3979461982093931","0.08466076664456265","0.5721108331943443","0.37675080389531795","0.37650887392852433"
"2100000","0.4484384120313076","0.26142062507976666","0.2653489275444333","0.44466995221751643","0.2600283036511952","0.03535452335172354","0.30330356121982793","0.02108184719907534","0.3073910428882514","0.03370223497617761","0.3029182215859859"
