"points","all_attributes","Rcdminutes","Temperature","Humidity","Light","Voltage"
"5000","0.0","0.0059962429284266105","0.11128801936303984","0.11066509864276085","0.04911257279992785","0.22461454783572515"
"10000","0.3685455442980204","0.0","0.12707096135889476","0.01720879120879121","0.07003051086155022","0.45303690220325527"
"15000","0.6307151643027635","0.0","0.0860843610999373","0.0349600746274132","0.06648913801624542","0.6373422903898425"
"20000","0.0","0.02911687381767636","0.24486111693128051","0.7824188221868491","0.05506382261454916","0.7954367152649024"
"25000","0.09999945045209442","0.4864621542057617","0.6625362138932991","0.5528940146549783","0.13876108740947246","0.843778310988274"
"30000","0.9002400985324711","0.6977410500563521","0.42128325240729453","0.07603240802750899","0.08542447110419725","0.9138967974393803"
"35000","0.0","0.3673721331210233","0.25273676390931926","0.05572960886487117","4.179487179487172E-4","0.4980405250805928"
"40000","0.0","0.2601942654030575","0.1057438754345501","0.06233044271003472","0.0","0.31858726511018226"
"45000","0.6506858229054076","0.1544779274694506","0.17546735578323908","0.07810599001989668","0.0014588888888888891","0.704148529471996"
"50000","0.3430230656805179","0.3938326586970841","0.03030835067545363","0.3844552870523954","1.9778867102396427E-4","0.6247171787541629"
"55000","0.0","0.5216133246422836","0.22504315815298043","0.6297640215828031","0.005174708258080873","0.7476808832458559"
"60000","0.009506504118500106","0.7093241900240682","0.5662677899928764","0.7138842337525457","0.03528209868786126","0.888838056402913"
"65000","0.9889909428758082","0.23355358977088414","0.1972604075825164","0.06846311456053361","0.040761793809159966","0.9889909428758082"
"70000","0.0","0.2994220064281273","0.18683620643389678","0.008432740032897006","0.04155693726146899","0.44934966326903747"
"75000","0.0","0.3317854980667721","0.15276439578724582","0.19146228163028234","0.043975647501926333","0.4963408524522552"
"80000","0.36452689386422","0.11572896954753412","0.12454568190554281","0.1803622300720412","0.029051110266245395","0.48016251588087105"
"85000","0.6355499411133301","0.009423300970873787","0.25370831553052","0.02219954385964912","0.03613242609503244","0.6589778880319631"
"90000","0.0","0.0","0.3491848595387237","0.006978070175438596","0.07596328539727654","0.4004278044197029"
"95000","0.0","0.0","0.3228551260168554","0.0","0.11653838917282444","0.38641015686232544"
"100000","0.7494366603969073","0.0","0.25559080134530476","0.0","0.12346698070008008","0.760875399508307"
"105000","0.252424488127029","0.00285","0.13430707183557777","0.22624355622341027","0.13437237903981658","0.4271771832411616"
