"points","all_attributes","Rcdminutes","Temperature","Humidity","Light","Voltage"
"5000","0.06180000000000001","0.06680000000000001","0.16060000000000008","0.16080000000000005","0.10260000000000005","0.26499999999999996"
"10000","0.3762000000000001","0.053000000000000005","0.16560000000000002","0.07000000000000002","0.11380000000000004","0.46240000000000014"
"15000","0.6317999999999999","0.05020000000000001","0.12300000000000004","0.07499999999999998","0.09680000000000001","0.6392000000000002"
"20000","0.060600000000000015","0.08500000000000003","0.2638","0.785","0.10500000000000002","0.7967999999999994"
"25000","0.11660000000000001","0.49960000000000016","0.6664","0.5604000000000001","0.17220000000000002","0.8439999999999994"
"30000","0.9004000000000002","0.7041999999999998","0.431","0.11759999999999998","0.1274","0.9141999999999989"
"35000","0.05619999999999998","0.38939999999999975","0.2889999999999999","0.108","0.05659999999999999","0.5192000000000001"
"40000","0.04600000000000003","0.2883999999999999","0.14359999999999998","0.10579999999999998","0.04600000000000003","0.3432"
"45000","0.6540000000000002","0.19079999999999997","0.2246","0.12040000000000002","0.06580000000000003","0.7065999999999992"
"50000","0.34619999999999995","0.4079999999999999","0.08419999999999997","0.40919999999999995","0.064","0.6318000000000001"
"55000","0.03740000000000001","0.5250000000000002","0.24180000000000001","0.6316","0.04120000000000001","0.7457999999999996"
"60000","0.05000000000000006","0.7140000000000002","0.5728000000000002","0.7189999999999993","0.07579999999999998","0.8855999999999989"
"65000","0.9904000000000003","0.2550000000000001","0.22059999999999994","0.09700000000000003","0.08039999999999999","0.9903999999999996"
"70000","0.032799999999999996","0.31640000000000007","0.2066000000000001","0.0382","0.0712","0.458"
"75000","0.04399999999999999","0.3514000000000002","0.18320000000000003","0.2172","0.0814","0.5012000000000001"
"80000","0.3646","0.14439999999999995","0.15019999999999997","0.1997999999999999","0.06160000000000001","0.4858000000000001"
"85000","0.6354","0.05199999999999999","0.27740000000000004","0.0648","0.071","0.6572000000000002"
"90000","0.03480000000000001","0.03480000000000001","0.3616000000000001","0.0396","0.09960000000000004","0.40799999999999986"
"95000","0.03000000000000001","0.03000000000000001","0.33259999999999995","0.030000000000000002","0.1382","0.39299999999999996"
"100000","0.7494000000000001","0.04079999999999999","0.27680000000000005","0.0408","0.14920000000000003","0.7619999999999996"
"105000","0.25099999999999995","0.05079999999999997","0.1718","0.24300000000000005","0.1678","0.4365999999999997"
"110000","0.05160000000000001","0.05339999999999999","0.13720000000000007","0.8066","0.1438","0.8135999999999998"
"115000","0.10620000000000002","0.4505999999999999","0.7423999999999998","0.6484","0.40640000000000004","0.8829999999999982"
"120000","0.9023999999999999","0.20360000000000006","0.2442","0.11000000000000001","0.10040000000000002","0.9125999999999981"
"125000","0.0468","0.3816","0.1588","0.14760000000000006","0.0818","0.49600000000000016"
"130000","0.035","0.16920000000000007","0.17820000000000003","0.07499999999999997","0.05339999999999998","0.30699999999999994"
"135000","0.30400000000000005","0.2154","0.13500000000000004","0.17000000000000004","0.0554","0.5054000000000003"
"140000","0.6962","0.4244000000000001","0.43700000000000006","0.5748000000000002","0.0568","0.856799999999999"
"145000","0.04279999999999999","0.4320000000000001","0.2882","0.5641999999999998","0.0758","0.706799999999999"
"150000","0.047999999999999994","0.36079999999999995","0.1986","0.6588000000000002","0.1152","0.7875999999999992"
"155000","0.6655999999999999","0.1312","0.1544","0.16700000000000004","0.09299999999999996","0.6918"
"160000","0.3428000000000001","0.04640000000000002","0.13340000000000002","0.0606","0.07740000000000001","0.3994"
"165000","0.05519999999999999","0.05999999999999999","0.18840000000000004","0.2216","0.09440000000000005","0.3394000000000002"
"170000","0.05439999999999999","0.04160000000000001","0.1204","0.10040000000000006","0.1158","0.23679999999999993"
"175000","0.9655999999999998","0.0404","0.19699999999999995","0.0504","0.12980000000000003","0.9659999999999994"
"180000","0.045","0.045","0.22860000000000003","0.0622","0.1924","0.3428"
"185000","0.032000000000000015","0.032000000000000015","0.05000000000000002","0.03480000000000002","0.11140000000000001","0.12619999999999998"
"190000","0.46340000000000003","0.041199999999999994","0.06720000000000001","0.0458","0.12180000000000003","0.4806"
"195000","0.5366000000000001","0.043800000000000026","0.05640000000000001","0.0658","0.11400000000000002","0.5507999999999998"
"200000","0.0362","0.6126000000000003","0.7021999999999992","0.5888","0.5507999999999997","0.8251999999999992"
"205000","0.03779999999999999","0.4719999999999999","0.4270000000000001","0.38720000000000027","0.23359999999999997","0.6567999999999998"
"210000","0.8172000000000003","0.5335999999999997","0.33320000000000005","0.32159999999999983","0.13440000000000002","0.8617999999999991"
"215000","0.18860000000000002","0.31459999999999994","0.29059999999999997","0.27220000000000016","0.05439999999999998","0.5335999999999997"
"220000","0.042600000000000006","0.33900000000000013","0.421","0.3742000000000001","0.052599999999999994","0.6327999999999999"
"225000","0.07559999999999997","0.33099999999999996","0.4012000000000001","0.15060000000000007","0.06060000000000001","0.5108000000000001"
"230000","0.9672000000000003","0.19540000000000005","0.2535999999999999","0.46099999999999997","0.044800000000000006","0.9675999999999995"
"235000","0.04400000000000002","0.10480000000000003","0.16399999999999992","0.1648","0.04520000000000001","0.282"
"240000","0.04080000000000001","0.27919999999999984","0.24399999999999997","0.5288000000000002","0.05900000000000001","0.6059999999999994"
"245000","0.39300000000000007","0.6776000000000002","0.6195999999999998","0.34379999999999994","0.08739999999999999","0.7663999999999995"
"250000","0.6074","0.4667999999999999","0.1906","0.13680000000000003","0.1002","0.7151999999999994"
"255000","0.037600000000000015","0.3016","0.15259999999999999","0.0706","0.09900000000000002","0.41919999999999974"
"260000","0.041600000000000005","0.40420000000000006","0.19919999999999996","0.05000000000000002","0.13820000000000007","0.5597999999999999"
"265000","0.7411999999999995","0.18160000000000007","0.2008000000000001","0.12960000000000002","0.19079999999999994","0.7737999999999992"
"270000","0.331","0.1186","0.21119999999999997","0.8764","0.3164","0.9109999999999995"
"275000","0.047999999999999994","0.047999999999999994","0.3146000000000001","0.047999999999999994","0.19760000000000003","0.3787999999999999"
"280000","0.4120000000000001","0.05880000000000001","0.1794","0.05880000000000001","0.1508","0.4748"
"285000","0.5879999999999999","0.1004","0.16580000000000003","0.17520000000000013","0.1488","0.5994"
"290000","0.0698","0.7933999999999991","0.8347999999999993","0.9109999999999987","0.7132000000000001","0.9131999999999975"
"295000","0.048200000000000014","0.6714000000000004","0.4854000000000001","0.6289999999999997","0.24100000000000002","0.8233999999999986"
"300000","0.8824","0.3086","0.2588000000000001","0.15419999999999992","0.097","0.8915999999999991"
"305000","0.1386","0.40659999999999996","0.23340000000000002","0.14679999999999996","0.08080000000000004","0.5441999999999996"
"310000","0.053999999999999986","0.18760000000000004","0.21939999999999998","0.08420000000000001","0.06779999999999997","0.3518000000000001"
"315000","0.2788","0.12020000000000003","0.15960000000000002","0.17620000000000005","0.05039999999999998","0.44540000000000024"
"320000","0.7223999999999998","0.1814","0.17300000000000004","0.3587999999999999","0.05740000000000002","0.7679999999999996"
"325000","0.05579999999999998","0.43120000000000014","0.21999999999999992","0.47039999999999993","0.07419999999999999","0.6507999999999998"
"330000","0.10959999999999998","0.43200000000000005","0.22800000000000004","0.6182000000000003","0.1442","0.7543999999999991"
"335000","0.7518","0.27180000000000004","0.17279999999999995","0.36560000000000015","0.11999999999999997","0.7633999999999993"
"340000","0.25","0.4448","0.1308","0.12500000000000003","0.11840000000000002","0.6017999999999998"
"345000","0.04680000000000001","0.2648000000000001","0.10600000000000004","0.058","0.1214","0.3423999999999998"
"350000","0.23760000000000012","0.32220000000000004","0.049199999999999994","0.1218","0.11400000000000006","0.5164"
"355000","0.7624","0.27440000000000003","0.0766","0.16299999999999998","0.14260000000000003","0.7817999999999995"
"360000","0.12260000000000003","0.36819999999999997","0.19039999999999999","0.7930000000000003","0.38400000000000006","0.8227999999999994"
"365000","0.05819999999999999","0.059399999999999994","0.16940000000000005","0.05819999999999999","0.22820000000000004","0.30679999999999996"
"370000","0.9684000000000001","0.0666","0.25659999999999994","0.0666","0.12500000000000003","0.9683999999999997"
"375000","0.13240000000000005","0.4556000000000001","0.44080000000000014","0.7531999999999991","0.4420000000000002","0.7531999999999993"
"380000","0.0464","0.7561999999999999","0.5704000000000001","0.7951999999999995","0.5963999999999999","0.8505999999999985"
"385000","0.5113999999999999","0.34639999999999993","0.21200000000000005","0.20240000000000005","0.11220000000000002","0.6565999999999997"
"390000","0.4886000000000001","0.2634000000000001","0.15879999999999997","0.26059999999999994","0.0694","0.5991999999999998"
"395000","0.04839999999999999","0.3633999999999999","0.20999999999999996","0.386","0.09960000000000004","0.5395999999999996"
"400000","0.044800000000000006","0.29139999999999994","0.3124","0.22260000000000008","0.07880000000000001","0.5302"
"405000","0.8953999999999995","0.13860000000000003","0.16020000000000004","0.4592000000000002","0.05900000000000001","0.9249999999999988"
"410000","0.12299999999999998","0.2862","0.15800000000000008","0.6157999999999998","0.10300000000000004","0.6977999999999989"
"415000","0.0722","0.16659999999999997","0.19739999999999994","0.7465999999999997","0.0942","0.7739999999999999"
"420000","0.4486000000000001","0.45220000000000005","0.366","0.43640000000000007","0.0968","0.7003999999999989"
"425000","0.5514000000000002","0.5571999999999998","0.17800000000000007","0.09979999999999997","0.12100000000000001","0.7179999999999995"
"430000","0.0782","0.3820000000000001","0.21800000000000003","0.09739999999999996","0.21580000000000002","0.5626"
"435000","0.06480000000000001","0.4636","0.20660000000000006","0.4144","0.20940000000000003","0.6072"
"440000","0.9991999999999996","0.4449999999999999","0.3862000000000001","0.38080000000000014","0.295","0.999199999999999"
"445000","0.11860000000000002","0.39599999999999996","0.39940000000000003","0.3507999999999999","0.3355999999999999","0.6363999999999997"
"450000","0.051800000000000006","0.07120000000000001","0.10500000000000005","0.058200000000000016","0.12600000000000006","0.1898"
"455000","0.8883999999999997","0.04840000000000001","0.13119999999999998","0.048400000000000026","0.0882","0.8889999999999993"
"460000","0.1554","0.42960000000000037","0.4630000000000002","0.739","0.40060000000000023","0.7433999999999962"
"465000","0.049600000000000005","0.754","0.7203999999999994","0.8172","0.5910000000000001","0.8887999999999961"
"470000","0.44260000000000005","0.4464000000000001","0.29680000000000006","0.3098","0.1364","0.6875999999999984"
"475000","0.5573999999999999","0.39780000000000004","0.2904000000000001","0.1412","0.13599999999999998","0.7099999999999987"
"480000","0.05059999999999999","0.20419999999999996","0.13720000000000002","0.08599999999999998","0.06679999999999998","0.2983999999999999"
"485000","0.054","0.23300000000000007","0.18500000000000005","0.2078000000000001","0.08339999999999997","0.44139999999999996"
"490000","0.7532000000000002","0.4812","0.29679999999999995","0.24159999999999993","0.16259999999999997","0.818199999999999"
"495000","0.2481999999999999","0.28760000000000013","0.4750000000000002","0.3800000000000002","0.12020000000000004","0.6819999999999997"
"500000","0.0644","0.5441999999999998","0.3848","0.5287999999999998","0.22940000000000005","0.7481999999999996"
