"Distance","Attributes"
"0.10917704586254103","Flight","DayOfWeek","Time","Length"
"0.2592193437347904","Airline","DayOfWeek","Time","Length"
"0.2913226640916744","AirportTo","DayOfWeek","Time","Length"
"0.2914459047704501","Flight","AirportTo","DayOfWeek","Time"
"0.30554386299799396","Airline","Flight","Time","Length"
"0.3125198652471165","Flight","AirportTo","DayOfWeek","Length"
"0.32013493075669575","Airline","Flight","DayOfWeek","Length"
"0.32927918882971996","Airline","Flight","DayOfWeek","Time"
"0.342527364688986","Flight","AirportTo","Time","Length"
"0.37679311628919165","AirportFrom","DayOfWeek","Time","Length"
"0.3887744459755597","Flight","AirportFrom","DayOfWeek","Time"
"0.4033293090812785","Flight","AirportFrom","DayOfWeek","Length"
"0.4298112734972431","Flight","AirportFrom","Time","Length"
"0.4776307928557253","AirportFrom","AirportTo","Time","Length"
"0.48575645549472657","Flight","AirportFrom","AirportTo","Time"
"0.5059377807390101","Airline","AirportTo","DayOfWeek","Time"
"0.5253120999351426","Airline","AirportTo","DayOfWeek","Length"
"0.529398876465636","Flight","AirportFrom","AirportTo","Length"
"0.5300137358370248","Airline","Flight","AirportTo","DayOfWeek"
"0.5349356068884313","Airline","AirportTo","Time","Length"
"0.5407746049241782","Airline","Flight","AirportTo","Time"
"0.5493142279292558","AirportFrom","AirportTo","DayOfWeek","Time"
"0.5534969991806914","Airline","Flight","AirportTo","Length"
"0.5536424474244822","Flight","AirportFrom","AirportTo","DayOfWeek"
"0.5609617219498402","Airline","AirportFrom","DayOfWeek","Time"
"0.5729063272053254","Airline","AirportFrom","DayOfWeek","Length"
"0.5801570562015452","Airline","Flight","AirportFrom","DayOfWeek"
"0.5831571738674951","Airline","AirportFrom","Time","Length"
"0.5925176298646482","Airline","Flight","AirportFrom","Time"
"0.6007044428258038","Airline","Flight","AirportFrom","Length"
"0.6008584842393663","AirportFrom","AirportTo","DayOfWeek","Length"
"0.6726212011088254","Airline","AirportFrom","AirportTo","DayOfWeek"
"0.6791438565744083","Airline","AirportFrom","AirportTo","Time"
"0.6921513399106615","Airline","Flight","AirportFrom","AirportTo"
"0.7046385803537198","Airline","AirportFrom","AirportTo","Length"
