"Distance","mean","sd","max","min","Attributes"
"0.044578659764164516","0.008915731952832903","0.007333203595572684","0.018694276675294788_0.515090=4.0","8.6281276962899E-4_0.515090=1.0","_0.515090"
"0.04860511935576649","0.009721023871153298","0.006335948534578251","0.017400057520851317_0.728443=2.0","0.003163646821972968_0.728443=1.0","_0.728443"
"0.049467932125395436","0.009893586425079088","0.007484206598621116","0.019269485188380786_0.527291=3.0","1.4380212827148908E-4_0.527291=2.0","_0.527291"
"0.051193557664653444","0.010238711532930688","0.00568464200363586","0.01754385964912282_0.806830=2.0","0.002300834052343978_0.806830=1.0","_0.806830"
"0.054069600230083406","0.010813920046016681","0.006419279329529789","0.021857923497267756_0.580818=3.0","0.005176876617773954_0.580818=1.0","_0.580818"
"0.06025309174575785","0.012050618349151571","0.009348880393403694","0.0271786022433132_0.165138=2.0","0.0029479436295657135_0.165138=3.0","_0.165138"
"0.060684498130572334","0.012136899626114467","0.007891186829299861","0.02027610008628128_0.474520=3.0","0.002300834052343978_0.474520=2.0","_0.474520"
"0.06068449813057235","0.012136899626114469","0.008229829848065182","0.02358354903652575_0.723993=3.0","0.002013229795800972_0.723993=4.0","_0.723993"
"0.06471095772217428","0.012942191544434855","0.004875507192454612","0.019557089444923778_0.342575=3.0","0.006327293643945922_0.342575=1.0","_0.342575"
"0.06629278113316077","0.013258556226632153","0.0059082815493139325","0.020779407535231526_1.445783=2.0","0.0043859649122807015_1.445783=1.0","_1.445783"
"0.06701179177451827","0.013402358354903655","0.00858572169386574","0.023871153293068728_0.763062=0.0","0.001581823410986491_0.763062=1.0","_0.763062"
"0.06830601092896174","0.013661202185792348","0.009981696142300125","0.02574058096059821_1.340477=4.0","0.0026603393730227215_1.340477=1.0","_1.340477"
"0.06844981305723326","0.013689962611446652","0.006078425978727843","0.02272073626689676_0.532422=0.0","0.007333908541846415_0.532422=1.0","_0.532422"
"0.06931262582686228","0.013862525165372456","0.006442752616011378","0.018262870290480307_0.605065=2.0","0.002588438308886984_0.605065=1.0","_0.605065"
"0.07362668967500718","0.014725337935001437","0.014823952439414308","0.03681334483750359_1.358106=4.0","5.033074489502465E-4_1.358106=1.0","_1.358106"
"0.0736266896750072","0.014725337935001439","0.007577021336415366","0.02272073626689676_1.729739=4.0","0.005608283002588435_1.729739=1.0","_1.729739"
"0.07679033649698018","0.015358067299396035","0.010670176058608991","0.028185217141213692_0.761388=0.0","0.004314063848144964_0.761388=1.0","_0.761388"
"0.07707794075352316","0.015415588150704632","0.007679222152046894","0.022145527753810748_0.649457=0.0","0.002444636180615481_0.649457=1.0","_0.649457"
"0.07880356629278112","0.015760713258556224","0.006543865912377801","0.025021570319240724_0.535883=0.0","0.009203336209375898_0.535883=1.0","_0.535883"
"0.07937877480586712","0.013229795800977854","0.013719959016488377","0.03400920333620937_class=5.0","0.001581823410986491_class=3.0","_class"
"0.07995398331895312","0.015990796663790625","0.005805226197134242","0.021570319240724764_2.160130=0.0","0.009059534081104395_2.160130=4.0","_2.160130"
"0.08052919183203912","0.016105838366407825","0.008919934855065443","0.024949669255104973_-0.493482=0.0","0.001581823410986491_-0.493482=3.0","_-0.493482"
"0.09577221742881796","0.019154443485763593","0.01031343009202919","0.0366695427092321_0.198946=2.0","0.011216566005176884_0.198946=3.0","_0.198946"
"0.10037388553350587","0.020074777106701174","0.0076921370086994465","0.02545297670405522_0.430440=4.0","0.006758700028760431_0.430440=1.0","_0.430440"
"0.10238711532930689","0.020477423065861377","0.019543762059643095","0.051193557664653444_0.334017=4.0","0.003451251078515974_0.334017=2.0","_0.334017"
"0.10382513661202185","0.02076502732240437","0.007352459521243551","0.03055795225769342_-0.361030=0.0","0.012798389416163361_-0.361030=3.0","_-0.361030"
"0.10526315789473686","0.02105263157894737","0.018626289504900435","0.05263157894736843_0.815048=4.0","0.005895887259131441_0.815048=1.0","_0.815048"
"0.1078515962036238","0.02157031924072476","0.011407597242032642","0.03465631291343112_0.399746=3.0","0.007909117054932413_0.399746=1.0","_0.399746"
"0.11044003451251079","0.022088006902502157","0.009238992977562203","0.034368708656888125_0.246473=4.0","0.011935576646534371_0.246473=1.0","_0.246473"
"0.11159045153868277","0.022318090307736554","0.010745132318432332","0.033649698015530624_-0.400115=3.0","0.008052919183203902_-0.400115=1.0","_-0.400115"
"0.1115904515386828","0.02231809030773656","0.02102418344355731","0.0557952257693414_1.868245=1.0","0.001294219154443485_1.868245=0.0","_1.868245"
"0.11274086856485474","0.022548173712970947","0.015661118033830496","0.040408398044291055_2185.974100=2.0","7.909117054932385E-4_2185.974100=3.0","_2185.974100"
"0.11633592177164223","0.023267184354328445","0.020877981710047625","0.058167960885821116_-1.643650=4.0","0.005608283002588435_-1.643650=0.0","_-1.643650"
"0.11748633879781421","0.023497267759562842","0.02398099367431504","0.05744895024446363_1.765738=1.0","0.001294219154443485_1.765738=3.0","_1.765738"
"0.1179177451826287","0.02358354903652574","0.024022273576299578","0.058958872591314354_0.218904=4.0","0.001294219154443485_0.218904=3.0","_0.218904"
"0.1186367558239862","0.02372735116479724","0.017324053731885537","0.044506758700028765_-3.037772=4.0","0.004601668104687942_-3.037772=3.0","_-3.037772"
"0.11949956859361519","0.023899913718723038","0.020945225502965088","0.05356629278113316_-1.200617=4.0","0.006183491515674419_-1.200617=3.0","_-1.200617"
"0.12151279838941614","0.02430255967788323","0.010398718588769663","0.03436870865688811_-0.426662=3.0","0.010928961748633878_-0.426662=2.0","_-0.426662"
"0.12899050905953408","0.025798101811906816","0.026326169861468452","0.056586137474834625_1.746493=4.0","8.6281276962899E-4_1.746493=2.0","_1.746493"
"0.13100373885533506","0.026200747771067012","0.019239588176460914","0.057233247052056374_-0.902241=0.0","0.008268622375611157_-0.902241=4.0","_-0.902241"
"0.13244176013805004","0.026488352027610008","0.01313514569100615","0.04903652574058097_-0.619214=0.0","0.017184354328444063_-0.619214=4.0","_-0.619214"
"0.13301696865113602","0.026603393730227205","0.01835555449099993","0.0550762151279839_-0.545079=0.0","0.010641357492090872_-0.545079=3.0","_-0.545079"
"0.1400632729364395","0.0280126545872879","0.015012918086762207","0.036813344837503606_-0.638167=3.0","0.001294219154443485_-0.638167=2.0","_-0.638167"
"0.14020707506471092","0.028041415012942182","0.016931517477184823","0.05694564279551337_-1.071137=0.0","0.013157894736842105_-1.071137=4.0","_-1.071137"
"0.14049467932125395","0.02809893586425079","0.014574241058530146","0.047526603393730216_-0.550743=4.0","0.0135893011216566_-0.550743=1.0","_-0.550743"
"0.14265171124532644","0.02853034224906529","0.019330183548731162","0.05104975553638194_3020.919100=1.0","0.006327293643945922_3020.919100=2.0","_3020.919100"
"0.1439459303997699","0.028789186079953982","0.010629521241110395","0.04680759275237273_3128.848900=4.0","0.01876617773943054_3128.848900=3.0","_3128.848900"
"0.14408973252804141","0.02881794650560828","0.01414180793423708","0.04227782571182054_1.768526=1.0","0.0066867989646246795_1.768526=2.0","_1.768526"
