"2-ple"	"Distance"
"16"	"0.02669978022672088"
"15"	"0.032776803093905335"
"56"	"0.0345017132348637"
"14"	"0.07254877193130081"
"46"	"0.07281522795191644"
"45"	"0.09879891588445502"
"35"	"0.19767803513438914"
"06"	"0.20248492686478908"
"05"	"0.20417252963083932"
"34"	"0.21255477105215162"
"13"	"0.21895654841099169"
"36"	"0.22582102925208636"
"04"	"0.22755122523060778"
"01"	"0.2765648192218397"
"25"	"0.2954125693464169"
"24"	"0.30674753890853"
"26"	"0.31838520332862263"
"12"	"0.3252940106462165"
"03"	"0.4563130110993323"
"23"	"0.4881798453281188"
"02"	"0.513156217057712"
