"points","all_attributes","Airline_Flight","Airline_AirportFrom","Airline_AirportTo","Airline_DayOfWeek","Airline_Time","Airline_Length","Flight_AirportFrom","Flight_AirportTo","Flight_DayOfWeek","Flight_Time","Flight_Length","AirportFrom_AirportTo","AirportFrom_DayOfWeek","AirportFrom_Time","AirportFrom_Length","AirportTo_DayOfWeek","AirportTo_Time","AirportTo_Length","DayOfWeek_Time","DayOfWeek_Length","Time_Length"
"10000","0.4982749999999506","0.045307410201617354","0.16151664509382826","0.14891415844481687","0.14881685319146207","0.3057622392502449","0.06601247147122667","0.12859903076550888","0.12327277013896161","0.14601172466886525","0.29683874276515004","0.04283035688600133","0.27464159210688543","0.1664843323703472","0.34555043345867953","0.13346273967654376","0.16899902582530044","0.3366820122158149","0.12322275137936867","0.4140939290723301","0.14892723440463082","0.2967379133097025"
"20000","0.4934333333332843","0.1284387772490824","0.21823306598722889","0.20075746363986802","0.27022793784387633","0.27405400709273997","0.13541715866483806","0.18957301249520106","0.17782849593672048","0.27006973824099956","0.2666731573950046","0.12083135257586894","0.30924284354203","0.2835149760856545","0.3218590946472681","0.1858489611364012","0.29916395757284747","0.30716527984993924","0.17865711066382572","0.4217587939698492","0.27017470765711615","0.26648113069729257"
"30000","0.4980333333332841","0.045684021924097276","0.14153774683383694","0.1372533308970475","0.15369596667714838","0.22506604151086956","0.05655231827474395","0.12140516058633903","0.11917728372149293","0.1423610927547982","0.22050505036890855","0.04331201129266965","0.25908921371541516","0.17630810033413502","0.2820845796431541","0.11965915354448754","0.17694446948932743","0.26692335787860916","0.12181070666573385","0.41541348153949004","0.14348941315973082","0.21734954540551166"
"40000","0.49477083333328425","0.05957464233154989","0.14864715339357648","0.15083810074603587","0.24098289891087932","0.2984279013556166","0.0710510086347209","0.12424457769830043","0.12023451193665946","0.24117530286148764","0.28763739980424263","0.04856663709578794","0.26189209582234313","0.2523362601110568","0.33809916156833264","0.12644061587567182","0.2597635342112408","0.33322083620126625","0.1295328691884704","0.4198054498668177","0.24095988583311154","0.28858452363051107"
"50000","0.4997999999999501","0.06280647519949242","0.1530082199670096","0.1681884020463026","0.19919489380560837","0.3170120643568028","0.07857757069337999","0.13701047835197597","0.14484854300021033","0.17827295722753483","0.30060919376231315","0.050001971439347155","0.27379326868779025","0.22122554217358134","0.3756182537711778","0.13392729003643405","0.2153498951048525","0.3606525575971205","0.14282817922272315","0.4157420923193341","0.17062567839708193","0.2943928234648069"
"60000","0.4999999999999499","0.05986589059120017","0.146533262670933","0.14908728536356755","0.22503398251373477","0.1973848066547003","0.06176345314367105","0.13114465516266036","0.12705338763506693","0.22485704442293636","0.15396012180796043","0.05270795716456421","0.27117543360981927","0.239560375370479","0.28738289231065584","0.1324225322553142","0.24444883490264965","0.26905687607657647","0.1227707411284402","0.42724941509367637","0.22588247184338733","0.13822547003136693"
"70000","0.4956499999999504","0.06578532928923597","0.16914145901751926","0.17013962091486973","0.32177253274892736","0.16643308048184116","0.07506298107611738","0.1462958799266279","0.14503179355357726","0.3232673424565619","0.11829107932885817","0.05110274861133894","0.29606453462056914","0.33243360345431705","0.24252199518447295","0.1438551231889784","0.3474378360314262","0.2388619901620638","0.14599359246374957","0.43655123962112347","0.32420122463461115","0.11017794554780087"
"80000","0.4973666666666173","0.05341113019270561","0.16920560288910713","0.1684228690340036","0.2118391683043309","0.2361465967636224","0.06697250795274215","0.13206592521817245","0.13621613734845994","0.20594056429156302","0.22586378375202024","0.034550420705821906","0.29485464205899936","0.22987577432547088","0.2884283365560668","0.1319594937200815","0.22353834726909969","0.2777198137276488","0.1324307744369285","0.41778765395718764","0.20591462510836236","0.22378582818154516"
"90000","0.4969541666666174","0.05827942392016589","0.16411026232476816","0.1728384700548429","0.23040060741802146","0.24168259499176845","0.07034854774877838","0.13577372779938862","0.1434934009814103","0.22886735772120825","0.21519026131843744","0.04653615462904643","0.2924180915319985","0.24524538648115682","0.30006146330709654","0.13638010143720536","0.25145715313209555","0.30899180354397715","0.1445415273517627","0.4175090197705841","0.2288897566871055","0.2127189054452568"
"100000","0.4987749999999505","0.16049284067090352","0.2151726627353754","0.22282693422276476","0.22509496218400415","0.3342276228323157","0.15940956601065534","0.1929962691934905","0.1981819583177626","0.18567093233169357","0.3273791077833458","0.1556523612720837","0.30913231539185865","0.2570566135158699","0.36529522152697463","0.1894875382215289","0.24567489886447455","0.37535302362316736","0.20180739455143595","0.41702948763588443","0.1943102353422247","0.3293814228816595"
