"points","all_attributes","Airline","Flight","AirportFrom","AirportTo","DayOfWeek","Time","Length"
"5000","0.49229999999995705","0.1735407537536709","0.17269813563262548","0.1980204194057194","0.1962520555592512","0.17180000000000004","0.34013042035971597","0.1748636313758885"
"10000","0.4965499999999561","0.04180834496156974","0.02996190001758363","0.09661402518654735","0.08571683920859839","0.023400000000000004","0.3281878581446604","0.025439397812423763"
"15000","0.4939499999999566","0.17418984855898628","0.1781192529708012","0.19051686896602021","0.21162236157203437","0.1450674774885146","0.3420894027252236","0.1787073361139487"
"20000","0.4868666666666233","0.07377527714034923","0.059799283451178846","0.13588591206345693","0.11601022806519098","0.20413027658291455","0.34351758793969844","0.061551773013458974"
"25000","0.4990666666666218","0.0669673268183833","0.05946677030859053","0.10929194841911603","0.10107118517955488","0.05879999999999999","0.32257662905252504","0.06139564925122379"
"30000","0.4960666666666236","0.049347641733700695","0.03903450188329333","0.09705021993724382","0.08874307937482817","0.02560000000000001","0.33082696307898013","0.032061165371705586"
"35000","0.49499166666662275","0.16298022975561116","0.1679010056280893","0.1842770186452403","0.184140317796041","0.27364635456752656","0.34928428163078057","0.1702737115096195"
"40000","0.4895416666666233","0.09951307607162363","0.09623389406150898","0.12341048339569116","0.127594981634365","0.13191941202487903","0.33961089973363545","0.09678528995479938"
"45000","0.49106666666662324","0.06629046150530171","0.06456503626971608","0.11856769057078495","0.09573729827204876","0.06440000000000001","0.33055335864719093","0.06528074917217308"
"50000","0.4995999999999553","0.04084385569429301","0.04967693573041467","0.10588951118322","0.11428906882717388","0.068656668081074","0.33148418463866813","0.0500118327688651"
"55000","0.4874499999999569","0.10253494524513278","0.06443951898788194","0.12136227452281273","0.11738619527143287","0.24665935835137387","0.35720132262447596","0.038573757740493125"
"60000","0.4999999999999547","0.10722349244507326","0.1028870364893269","0.13688260350003995","0.14513922798278303","0.10339999999999996","0.3544988301873528","0.10555674876376045"
"65000","0.493499999999956","0.0906244190343069","0.09047035378962776","0.12388282351282336","0.14387505939021078","0.11001515545159195","0.36506655462184867","0.09413339077976617"
"70000","0.491299999999956","0.06263557848849298","0.02518451138443703","0.10557022822658471","0.11103697021127772","0.24387865302809572","0.373102479242247","0.028630335729527827"
"75000","0.4945533333332889","0.15004465700243227","0.14716516424868673","0.17201026461714503","0.17744065756710545","0.1472","0.3379865522830062","0.14919315602633101"
"80000","0.49473333333328967","0.056605809891293365","0.04350645444212472","0.1034656331322396","0.10520203751822473","0.04180000000000003","0.3355753079143753","0.04216207464134797"
"85000","0.4988999999999556","0.17712922961184893","0.1776947950561409","0.20204509075320112","0.19514845480886364","0.28137891894179895","0.3425136073495019","0.177388220582041"
"90000","0.49390833333329004","0.12114516179092485","0.11879713243137657","0.14837114691133443","0.1612979901369773","0.1287975215547703","0.33501803954116816","0.11986066830621023"
"95000","0.4955499999999563","0.06236976299565038","0.02772437511831779","0.11614806300939665","0.11081719412984849","0.023599999999999982","0.32178834286265073","0.04299038288471546"
"100000","0.49754999999995586","0.1276179380363289","0.12632990547379525","0.15144039257875996","0.16075728450000146","0.1159976037731039","0.3340589752717687","0.12728153847186696"
"105000","0.4858666666666239","0.08819612684731065","0.08052820974619619","0.12464405686803386","0.11575257016498597","0.21679634161117078","0.34340851467454087","0.08038280764161178"
"110000","0.49989999999995455","0.05975107557165373","0.05155762011695095","0.10455377789722027","0.10568268343148232","0.04840000000000001","0.3337215289212767","0.04965428460958791"
"115000","0.492799999999957","0.034534741858857465","0.022446339142589283","0.07397046208142799","0.09393721982738944","0.005399999999999988","0.3274211579305072","0.006864764668963722"
"120000","0.4935499999999559","0.08734755336432644","0.0920309441665666","0.11414402585057085","0.13062223687669372","0.2765724156701031","0.3539996706142967","0.09372607885613263"
"125000","0.4864666666666238","0.10849626341302726","0.10883266530140154","0.133618592704228","0.138033247625354","0.12394171261058108","0.3364295426685526","0.10983278889513956"
"130000","0.49585833333328966","0.08552347651822","0.08299668830851037","0.12184295366466885","0.1121830687474468","0.08340000000000003","0.345541440136036","0.08444322338215793"
"135000","0.4980749999999562","0.10477000945392397","0.10773253505896226","0.13804357290319613","0.14763578014189413","0.12649496986301373","0.3418107115328223","0.10750309280851211"
"140000","0.4871333333332906","0.024891825080000526","0.0141061361420149","0.10231690870040033","0.10100604750474258","0.2301539692307692","0.3391428555617045","0.015756416983671657"
