"points","all_attributes","Airline_Flight_AirportFrom","Airline_Flight_AirportTo","Airline_Flight_DayOfWeek","Airline_Flight_Time","Airline_Flight_Length","Airline_AirportFrom_AirportTo","Airline_AirportFrom_DayOfWeek","Airline_AirportFrom_Time","Airline_AirportFrom_Length","Airline_AirportTo_DayOfWeek","Airline_AirportTo_Time","Airline_AirportTo_Length","Airline_DayOfWeek_Time","Airline_DayOfWeek_Length","Airline_Time_Length","Flight_AirportFrom_AirportTo","Flight_AirportFrom_DayOfWeek","Flight_AirportFrom_Time","Flight_AirportFrom_Length","Flight_AirportTo_DayOfWeek","Flight_AirportTo_Time","Flight_AirportTo_Length","Flight_DayOfWeek_Time","Flight_DayOfWeek_Length","Flight_Time_Length","AirportFrom_AirportTo_DayOfWeek","AirportFrom_AirportTo_Time","AirportFrom_AirportTo_Length","AirportFrom_DayOfWeek_Time","AirportFrom_DayOfWeek_Length","AirportFrom_Time_Length","AirportTo_DayOfWeek_Time","AirportTo_DayOfWeek_Length","AirportTo_Time_Length","DayOfWeek_Time_Length"
"100000","0.49355999999917943","0.08736000000000237","0.0812500000000017","0.23355999999999993","0.053930000000000027","0.04295000000000002","0.12710000000000782","0.2876300000000041","0.11516000000000642","0.09305000000000269","0.28476000000000423","0.11026000000000592","0.08999000000000225","0.2728700000000001","0.23592000000000007","0.05650000000000001","0.14107000000001377","0.2715000000000044","0.09933000000000311","0.08620000000000183","0.2682700000000041","0.09322000000000209","0.08260000000000134","0.2620899999999999","0.22766999999999998","0.04018000000000001","0.35091999999994244","0.17415000000003197","0.11512000000000544","0.3158799999999934","0.27314000000000566","0.09951000000000303","0.3083499999999954","0.270270000000007","0.0951400000000029","0.26090000000000013"
"200000","0.545239999999405","0.17074000000000383","0.16622000000000262","0.2659899999999997","0.15637000000000015","0.15470999999999996","0.19118000000000906","0.3082999999999911","0.1898100000000101","0.1734200000000039","0.30771999999999633","0.18754000000000864","0.1710400000000033","0.31632000000000077","0.26778999999999986","0.1578400000000001","0.20422000000001606","0.2926100000000004","0.17760000000000437","0.1694500000000024","0.2906800000000002","0.17443000000000322","0.16599000000000214","0.30922999999999984","0.26318000000000014","0.1537699999999999","0.36142999999992886","0.23175000000003448","0.18281000000000636","0.3473799999999823","0.2933200000000022","0.17698000000000477","0.3408499999999867","0.2930800000000008","0.17361000000000343","0.3093700000000002"
"300000","0.633989999999902","0.13201000000000276","0.12093000000000204","0.28123","0.09664000000000002","0.08142000000000008","0.17824000000000964","0.34652999999997797","0.16842000000000845","0.14022000000000318","0.3315399999999909","0.1600800000000081","0.1342500000000029","0.3300599999999997","0.28438999999999975","0.10424000000000012","0.20134000000001628","0.3233199999999941","0.14705000000000354","0.13112000000000215","0.30917999999999907","0.13902000000000314","0.12341000000000195","0.2982400000000001","0.2586","0.07076999999999993","0.39616999999989466","0.228350000000033","0.15758000000000644","0.3731599999999801","0.32135999999999404","0.14472000000000323","0.35640999999998496","0.30959999999999843","0.13835000000000328","0.29845000000000016"
"400000","0.5900999999996622","0.133620000000003","0.11869000000000235","0.2589200000000001","0.08795999999999994","0.07732000000000001","0.16502000000001046","0.3303699999999896","0.15684000000000814","0.13308000000000417","0.31249999999999584","0.1469700000000078","0.12326000000000292","0.28766999999999954","0.25774000000000014","0.08800000000000018","0.19669000000001702","0.31244999999999884","0.14238000000000395","0.1319400000000024","0.29445999999999983","0.13152000000000372","0.11980000000000192","0.25326999999999994","0.23205","0.06335","0.3857599999999074","0.21982000000003432","0.1511400000000064","0.3472899999999884","0.30862999999999663","0.1374400000000034","0.3227499999999914","0.29686000000000057","0.131210000000003","0.25238999999999995"
