"points","all_attributes","Airline_Flight","Airline_AirportFrom","Airline_AirportTo","Airline_DayOfWeek","Airline_Time","Airline_Length","Flight_AirportFrom","Flight_AirportTo","Flight_DayOfWeek","Flight_Time","Flight_Length","AirportFrom_AirportTo","AirportFrom_DayOfWeek","AirportFrom_Time","AirportFrom_Length","AirportTo_DayOfWeek","AirportTo_Time","AirportTo_Length","DayOfWeek_Time","DayOfWeek_Length","Time_Length"
"10000","0.9926152499094174","0.053107487544797605","0.1908056336688036","0.18805633598105004","0.24144772933561326","0.7124310319134401","0.08299575177634029","0.16328468742443109","0.15927415749185603","0.2411824695953535","0.7106525775759716","0.05157221305293244","0.33066100790529385","0.2729898900155837","0.7272865283701553","0.16826671066042226","0.29641975978235896","0.7178610002043426","0.1599330506981793","0.951835047171325","0.24674361678150067","0.7106525775759716"
"20000","0.9822231601086271","0.08810074338410573","0.22470128801637618","0.21800135758998634","0.7467116823592211","0.6758333250694022","0.09798061940733166","0.1857312126641027","0.18252850555491162","0.7467116823592211","0.6728277757612504","0.055021497738010884","0.3699443303167132","0.7568498250482292","0.6948339761800997","0.18735701618428663","0.7472441644765371","0.7020906362101379","0.17951727477725715","0.8809450293010561","0.746711682359221","0.6736178969435489"
"30000","0.9817604507380829","0.05429058445376396","0.18626664238665178","0.18005964631708463","0.4329173341250587","0.6496724236244806","0.07140702567029217","0.16314436481171413","0.15700975992434138","0.43116930718130664","0.6475177792527985","0.04975360810376541","0.32977264839566856","0.44141171965667264","0.6719627659044736","0.16218512750239944","0.44668877253674005","0.6787239401362798","0.15409295160877676","0.8403591433120451","0.43116930718130664","0.6464330405193097"
"40000","0.9853254420913652","0.06921665312868497","0.19012179263057624","0.18400713209850458","0.5703010747827113","0.7272068499339653","0.07981639863644457","0.1618038495536825","0.15309634889797924","0.5703010747827113","0.7267977835131944","0.045412456940229676","0.3372693652792581","0.5792920566944064","0.7381808677911169","0.1643235635778732","0.5731626487185938","0.7339136823311959","0.16092611728181205","0.9279429095756897","0.5703010747827113","0.7267977835131947"
"50000","0.9988306779661675","0.10942554907105734","0.1968287606662487","0.20893121901696687","0.6181503031886076","0.7214621294192595","0.09691603269905491","0.1815218636721659","0.18678636586245","0.6181503031886078","0.7160516639374495","0.059186187082630265","0.34548346388033657","0.6213053746232584","0.7419297269702746","0.17153310441258943","0.6283733356256079","0.7387468797002992","0.17402314528776913","0.9921717734695457","0.6181503031886076","0.7099950775028486"
"60000","0.9995198057963772","0.08043330447407276","0.19638929665180155","0.18712195697788145","0.38875309260558405","0.5804603716852582","0.08065859773052916","0.1748533722809262","0.15848200789724223","0.381973572575652","0.575337588838329","0.04766645434066374","0.3377969252576411","0.444935184921189","0.600097509955435","0.16484955593461217","0.42258241310468936","0.5898461559177945","0.15565831819067483","0.9955098090113988","0.381973572575652","0.575337588838329"
"70000","0.9884348738918244","0.1273445415761044","0.216171152859026","0.2138644438994755","0.8103569046152943","0.394937351937352","0.09665516038114016","0.1995137247515546","0.19509469218235082","0.8103569046152942","0.38868036796904","0.05646537124291265","0.3557133784560921","0.8158310299246306","0.45084992246502864","0.17184991258964138","0.8110623185613934","0.4576458361574397","0.1800711096424882","0.9072609611000106","0.8103569046152942","0.38239626171915164"
"80000","0.9823909468962249","0.06532993398488263","0.20474906741319798","0.20278222426942413","0.48361923236612414","0.6472148928588961","0.08471067518235664","0.16709270911960614","0.17095465871356957","0.48361923236612414","0.6459637087904816","0.042127292174805424","0.35494121271854273","0.4907846251462659","0.675034031277152","0.16775419908917796","0.4972540843453688","0.6663757676787365","0.16755885974198292","0.8534890261854211","0.48361923236612414","0.6459637087904816"
"90000","0.9830230075882245","0.06520535830936441","0.20390781666022967","0.20143181516492617","0.5227392729417316","0.6923118133469817","0.07780052874900104","0.1727632962982801","0.16852577737481086","0.5227392729417315","0.6923118133469817","0.04264407590499176","0.3542813839204203","0.536611983446154","0.7127542537376734","0.16852836235876356","0.5265282773349629","0.7038434315682142","0.16992519239949105","0.8834489741291186","0.5227392729417316","0.6923118133469814"
"100000","0.9948109542733905","0.09311563507955428","0.2149598713062733","0.20484350256527167","0.6730378499706573","0.7193677522155588","0.09729588657198021","0.17646748592447611","0.17051179983146675","0.6692685022008442","0.7151594327376267","0.04567524197909693","0.35766771325831714","0.671431543336009","0.7361436383222826","0.17334886055680707","0.6813145525851112","0.7291730304416459","0.16746278212068574","0.9575460344121975","0.6692685022008443","0.7151594327376267"
