"points","all_attributes","Airline_Flight","Airline_AirportFrom","Airline_AirportTo","Airline_DayOfWeek","Airline_Time","Airline_Length","Flight_AirportFrom","Flight_AirportTo","Flight_DayOfWeek","Flight_Time","Flight_Length","AirportFrom_AirportTo","AirportFrom_DayOfWeek","AirportFrom_Time","AirportFrom_Length","AirportTo_DayOfWeek","AirportTo_Time","AirportTo_Length","DayOfWeek_Time","DayOfWeek_Length","Time_Length"
"50000","0.4999599999992827","0.033716576937585965","0.0837802159749187","0.08201607076249726","0.42462048927431395","0.040494284589580945","0.038203195392486906","0.0716998155657471","0.06809008555778098","0.42099544938097944","0.024187799292296176","0.027530939435929973","0.13948783294378503","0.4291559432768155","0.07877703661416977","0.07131941917739001","0.4272209848939716","0.07671483715322816","0.07092884608583931","0.4831484184638669","0.4209845629157564","0.01832363327433757"
"100000","0.49975499999927814","0.08133692391260566","0.11115886731395305","0.10621249563731074","0.42220055455179784","0.07732913750781989","0.07994071118920817","0.09544882537653282","0.09185507016815585","0.41686066261772137","0.06420818534819696","0.06908262050608997","0.1497599786431038","0.43480040733640785","0.09993029927057794","0.09564273272157353","0.43094426310368317","0.09687157929347903","0.09420415267894708","0.4834058975271769","0.41753668831323837","0.06405312297415054"
"150000","0.4993374999992782","0.08965748348177385","0.11693380245925397","0.11753737268251116","0.44034226370347324","0.08902120477933498","0.08946450147391122","0.10139697244173065","0.10102702116200112","0.43997318163724075","0.077657873305597","0.08267975083090237","0.15595738996141692","0.44275462327597853","0.10493050814511562","0.10231802370878941","0.4420274453487972","0.10472442938250202","0.10187372056405358","0.4841918751133376","0.44018604334408934","0.07732731688702638"
"200000","0.4990866666659416","0.08719410796733944","0.1254526502644725","0.12128977813221306","0.44497971154275695","0.09503194738083291","0.09156659499613483","0.11280091239905957","0.10771087198724136","0.4445478980103591","0.08749034750343254","0.0850836449145727","0.16745595370155703","0.4496864345988726","0.12464500341865888","0.11555819780932","0.4484259021759888","0.11576429552788789","0.11372309083029346","0.4826461941112322","0.44516975974374196","0.08780790825741606"
"250000","0.49949749999928456","0.08135730390533143","0.1302183754735118","0.1142396614800221","0.44138537619813784","0.08075264710901119","0.0810596294532311","0.11193645892618383","0.09643318153242258","0.4412847792986081","0.06039387379424467","0.06330095902838764","0.17059439210958638","0.4439851451771014","0.1190664083332628","0.11004011761197995","0.4447350580874345","0.09945524779611363","0.09543546900245994","0.48344598087759927","0.44176935612057705","0.056003229411632514"
"300000","0.4994949999992836","0.05400072643299833","0.10955461181701365","0.09399042602238458","0.4501538170226905","0.05455739650174167","0.05516037887807971","0.09510812750089113","0.07711586145074734","0.4508988573705686","0.030971104551896247","0.03232652434468718","0.15212084907590892","0.4537080196498948","0.10132869881574588","0.09547542333510756","0.45262877421889336","0.08205240829192197","0.08185546149822376","0.48524785361755585","0.45092318692011724","0.028218128484204453"
"350000","0.4994441666659501","0.04952920067451863","0.1053098412553027","0.09254161906836779","0.4497791112566567","0.051806615966916846","0.051149007869739464","0.091095743412621","0.08062993873115838","0.44982534962527865","0.03866234687811598","0.04107573253264757","0.15241185296822868","0.45115979209133145","0.096880404904742","0.09065798616896716","0.45676171762955114","0.08333887000471885","0.08126982200632868","0.4837425432128944","0.4501172517235322","0.034065298090375895"
"400000","0.49930333333261506","0.09734275870281357","0.14779181781394324","0.13996921433477374","0.424779188876704","0.09997928756544312","0.10243160444433018","0.13040282446917997","0.12517153936830475","0.42222807445874744","0.09226200706642762","0.09504557565391203","0.1881560730815528","0.4381983377383636","0.13500859606861723","0.13207109191096988","0.4299289666474747","0.12362688410009078","0.12526675358440453","0.4808888739521701","0.42273160919803626","0.09269076988459832"
"450000","0.5000099999992759","0.08980846392286744","0.14058244548929494","0.1310373743509445","0.5001753495448371","0.10288164639756535","0.09442822876207084","0.1222184815932619","0.11378870954377264","0.5020005104766663","0.09231028834444042","0.08105710303912735","0.1796120703914049","0.5000350753164535","0.13594330542663138","0.12115872646396829","0.49996889085894214","0.11685670479264776","0.11417705239808666","0.4882237209922647","0.4844318937223234","0.08930429882740443"
