"points","all_attributes","Airline","Flight","AirportFrom","AirportTo","DayOfWeek","Time","Length"
"10000","0.9890999999999017","0.0232","0.006800000000000014","0.053300000000000104","0.061300000000000084","0.2388","0.7129","0.02880000000000002"
"20000","0.974399999999903","0.0178","0.0030000000000000027","0.0558000000000001","0.05620000000000015","0.7612","0.6704","0.0262"
"30000","0.9686999999999034","0.026899999999999997","0.013899999999999996","0.05710000000000016","0.057100000000000095","0.43410000000000004","0.6461999999999999","0.01089999999999998"
"40000","0.9798999999999021","0.029599999999999998","0.01659999999999999","0.057900000000000125","0.05850000000000011","0.5659000000000001","0.7284999999999999","0.009999999999999995"
"50000","0.9979999999999004","0.04600000000000002","0.030300000000000007","0.05290000000000015","0.06680000000000007","0.6201","0.7061","0.020900000000000002"
"60000","0.9990999999999","0.03829999999999997","0.010599999999999984","0.06420000000000008","0.05670000000000012","0.3799","0.5778000000000001","0.008199999999999999"
"70000","0.9844999999999013","0.05059999999999999","0.03119999999999999","0.06630000000000011","0.06860000000000001","0.8078","0.383","0.0126"
"80000","0.9703999999999035","0.02349999999999999","0.009800000000000003","0.061100000000000126","0.05480000000000015","0.48109999999999997","0.6444","0.012899999999999995"
"90000","0.9721999999999035","0.0263","0.01709999999999999","0.06020000000000007","0.05700000000000015","0.5188999999999999","0.6934","0.0077999999999999875"
"100000","0.9910999999999015","0.03810000000000001","0.013499999999999998","0.06080000000000013","0.0568000000000001","0.6861999999999999","0.7154","0.008200000000000013"
"110000","0.9991999999999005","0.04029999999999999","0.014399999999999996","0.05990000000000004","0.05340000000000007","0.31379999999999997","0.6941","0.021900000000000003"
"120000","0.9891999999999017","0.0395","0.011899999999999994","0.07389999999999998","0.07990000000000007","0.9612","0.6888000000000001","0.03309999999999999"
"130000","0.9835999999999022","0.02509999999999999","0.008800000000000002","0.052000000000000136","0.058500000000000094","0.20800000000000002","0.671","0.027900000000000008"
"140000","0.9720999999999033","0.0185","0.006200000000000011","0.057400000000000125","0.05330000000000011","0.792","0.6365","0.02780000000000002"
"150000","0.9715999999999034","0.02470000000000001","0.007499999999999993","0.05960000000000014","0.05760000000000011","0.4024","0.6781999999999999","0.014600000000000016"
"160000","0.988699999999902","0.028299999999999992","0.012999999999999998","0.056500000000000085","0.055600000000000115","0.5976","0.7293000000000001","0.005600000000000008"
"170000","0.990199999999901","0.04509999999999999","0.028200000000000017","0.05350000000000013","0.06250000000000008","0.5885","0.6762","0.0174"
"180000","0.9921999999999009","0.03749999999999999","0.015999999999999986","0.06380000000000018","0.05380000000000012","0.4115","0.5477000000000001","0.012900000000000009"
"190000","0.9815999999999018","0.0475","0.033600000000000005","0.06580000000000011","0.06360000000000011","0.8415","0.3509","0.009599999999999997"
"200000","0.9676999999999037","0.021699999999999994","0.011999999999999983","0.061900000000000094","0.05550000000000012","0.44489999999999996","0.6182","0.015299999999999994"
"210000","0.9786999999999028","0.028500000000000008","0.018000000000000016","0.05800000000000013","0.0591000000000001","0.5550999999999999","0.7313000000000001","0.0097"
"220000","0.9987999999999005","0.04250000000000001","0.017700000000000007","0.0583000000000001","0.05810000000000013","0.6483","0.716","0.006900000000000003"
"230000","0.9903999999999012","0.039200000000000006","0.01620000000000002","0.057500000000000134","0.05020000000000007","0.3517","0.6952999999999999","0.019800000000000012"
"240000","0.9799999999999022","0.0364","0.013100000000000014","0.0669000000000001","0.0626000000000001","0.9204","0.6514","0.02919999999999999"
"250000","0.9765999999999027","0.02319999999999999","0.010599999999999998","0.05660000000000011","0.054900000000000046","0.16269999999999998","0.6333","0.023699999999999985"
"260000","0.9700999999999033","0.024799999999999992","0.010399999999999993","0.05110000000000013","0.05550000000000009","0.8372999999999999","0.6361","0.035100000000000006"
"270000","0.9793999999999021","0.0288","0.016199999999999992","0.0569000000000001","0.055600000000000024","0.3358","0.7221","0.014600000000000002"
"280000","0.9915999999999012","0.03129999999999999","0.02339999999999999","0.06300000000000014","0.06000000000000013","0.6642","0.7201000000000001","0.010100000000000012"
"290000","0.9707999999999034","0.04459999999999997","0.026800000000000004","0.0541000000000001","0.05950000000000012","0.47729999999999995","0.6879000000000001","0.024400000000000005"
"300000","0.9745999999999028","0.0526","0.05869999999999999","0.07520000000000004","0.057000000000000085","0.5226999999999999","0.5588000000000001","0.021999999999999992"
"310000","0.9772999999999022","0.058600000000000006","0.06899999999999999","0.07899999999999992","0.06520000000000013","0.8787","0.4709","0.026400000000000007"
"320000","0.9758999999999026","0.040000000000000015","0.017700000000000007","0.06030000000000013","0.06670000000000008","0.12350000000000005","0.6242999999999999","0.039999999999999994"
"330000","0.972899999999903","0.032199999999999986","0.017199999999999993","0.05250000000000009","0.05660000000000012","0.8765000000000001","0.7134","0.026300000000000004"
"340000","0.9898999999999011","0.028699999999999996","0.008900000000000005","0.051200000000000113","0.055200000000000096","0.29059999999999997","0.7205999999999999","0.021300000000000013"
"350000","0.9838999999999021","0.0315","0.0174","0.058200000000000106","0.0575000000000001","0.7094","0.7209999999999999","0.00949999999999998"
"360000","0.9673999999999036","0.034100000000000005","0.023599999999999982","0.0609000000000001","0.05760000000000012","0.4597","0.6763999999999999","0.013800000000000007"
"370000","0.9790999999999024","0.03760000000000001","0.026099999999999984","0.06190000000000009","0.06350000000000008","0.5403","0.7515000000000001","0.016399999999999998"
"380000","0.9996999999999001","0.03999999999999999","0.026200000000000015","0.05840000000000012","0.06520000000000006","0.6061000000000001","0.7684","0.01580000000000001"
"390000","0.9722999999999034","0.031199999999999985","0.018699999999999994","0.062100000000000086","0.05900000000000008","0.39390000000000003","0.7252","0.014600000000000002"
"400000","0.9715999999999032","0.037999999999999985","0.03620000000000001","0.06040000000000012","0.0564000000000001","0.7494000000000001","0.6688999999999999","0.016100000000000017"
"410000","0.9866999999999014","0.05460000000000001","0.0364","0.07080000000000011","0.06880000000000006","0.25060000000000004","0.5015000000000001","0.0218"
"420000","0.9984999999999002","0.08379999999999999","0.04720000000000002","0.07110000000000008","0.07179999999999999","0.7527","0.3692","0.014399999999999996"
"430000","0.9894999999999008","0.04469999999999998","0.047700000000000006","0.058700000000000085","0.0520000000000001","0.8082","0.5036","0.011899999999999994"
"440000","0.9784999999999028","0.04579999999999999","0.016899999999999984","0.06690000000000006","0.08129999999999997","0.19179999999999997","0.6906000000000001","0.0378"
"450000","0.9998999999999002","0.024199999999999992","0.0358","0.0903","0.10209999999999998","0.9998","0.7658999999999999","0.025099999999999997"
"460000","0.9820999999999023","0.02340000000000001","0.011999999999999997","0.05840000000000011","0.07270000000000004","0.14770000000000003","0.7614000000000001","0.02850000000000001"
"470000","0.9704999999999033","0.024700000000000017","0.013299999999999979","0.051100000000000076","0.055200000000000096","0.8523000000000001","0.7039","0.026600000000000013"
"480000","0.9828999999999019","0.026000000000000006","0.017299999999999982","0.053100000000000105","0.059100000000000104","0.2975","0.7161","0.018299999999999997"
"490000","0.9840999999999017","0.03","0.025700000000000014","0.0590000000000001","0.06130000000000009","0.7025","0.7144999999999999","0.009800000000000017"
"500000","0.9672999999999036","0.03609999999999999","0.02620000000000003","0.059800000000000096","0.0616000000000001","0.4486","0.6915","0.01440000000000001"
"510000","0.9806999999999023","0.042800000000000005","0.02750000000000001","0.05930000000000014","0.06680000000000007","0.5514","0.768","0.018299999999999997"
"520000","0.9976999999999006","0.050099999999999985","0.03480000000000001","0.055200000000000096","0.06380000000000005","0.598","0.7242999999999999","0.027400000000000008"
